報告数・累積報告数、疾病・都道府県別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026年37週(09月07日～09月13日),2026年09月16日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エボラ出血熱,,クリミア・コンゴ出血熱,,痘そう,,南米出血熱,,ペスト,,マールブルグ病,,ラッサ熱,,急性灰白髄炎,,結核,,ジフテリア,,重症急性呼吸器症候群,,中東呼吸器症候群,,鳥インフルエンザ（Ｈ５Ｎ１）,,鳥インフルエンザ（Ｈ７Ｎ９）,,コレラ,,細菌性赤痢,,腸管出血性大腸菌感染症,,腸チフス,,パラチフス,,Ｅ型肝炎,,ウエストナイル熱,,Ａ型肝炎,,エキノコックス症,,エムポックス,,黄熱,,オウム病,,オムスク出血熱,,回帰熱,,キャサヌル森林病,,Ｑ熱,,狂犬病,,コクシジオイデス症,,ジカウイルス感染症,,重症熱性血小板減少症候群,,腎症候性出血熱,,西部ウマ脳炎,,ダニ媒介脳炎,,炭疽,,チクングニア熱,,つつが虫病,,デング熱,,東部ウマ脳炎,,鳥インフルエンザ(Ｈ５Ｎ１を除く）,,ニパウイルス感染症,,日本紅斑熱,,日本脳炎,,ハンタウイルス肺症候群,,Ｂウイルス病,,鼻疽,,ブルセラ症,,ベネズエラウマ脳炎,,ヘンドラウイルス感染症,,発しんチフス,,ボツリヌス症,,マラリア,,野兎病,,ライム病,,リッサウイルス感染症,,リフトバレー熱,,類鼻疽,,レジオネラ症,,レプトスピラ症,,ロッキー山紅斑熱,,アメーバ赤痢,,ウイルス性肝炎,,カルバペネム耐性腸内細菌目細菌感染症,,急性弛緩性麻痺,,急性脳炎,,クリプトスポリジウム症,,クロイツフェルト・ヤコブ病,,劇症型溶血性レンサ球菌感染症,,後天性免疫不全症候群,,ジアルジア症,,侵襲性インフルエンザ菌感染症,,侵襲性髄膜炎菌感染症,,侵襲性肺炎球菌感染症,,水痘（入院例）,,先天性風しん症候群,,多剤耐性緑膿菌感染症,,梅毒,,播種性クリプトコックス症,,破傷風,,バンコマイシン耐性黄色ブドウ球菌感染症,,バンコマイシン耐性腸球菌感染症,,百日咳,,風しん,,麻しん,,薬剤耐性アシネトバクター感染症,
,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積
総数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,10488,0,0,0,0,0,0,0,0,0,0,0,1,0,51,148,3090,1,27,1,15,5,470,0,0,7,285,1,17,5,128,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,6,0,2,4,142,0,0,0,0,0,1,0,0,0,4,0,63,5,90,0,0,0,0,0,0,25,381,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,4,0,0,0,0,0,1,57,1803,2,10,0,0,10,357,2,148,26,709,0,17,6,359,0,6,3,116,11,917,11,659,0,30,6,412,0,42,17,1959,9,620,0,0,3,168,163,8158,2,122,3,81,0,0,0,54,57,4338,0,4,6,558,0,10
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,375,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,133,0,2,0,1,1,38,0,0,0,3,0,14,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,73,0,0,0,0,0,6,0,5,0,20,0,0,0,15,0,2,0,4,2,41,0,28,0,0,0,18,0,3,1,56,0,29,0,0,1,5,6,353,0,2,0,1,0,0,0,0,1,429,0,0,0,2,0,1
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,3,0,11,0,2,0,0,0,7,0,1,0,16,0,7,0,0,0,0,0,16,0,1,0,1,0,0,0,0,0,29,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,38,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,2,0,6,0,3,0,0,0,0,0,0,0,12,1,11,0,0,0,0,0,21,0,1,0,1,0,0,0,0,0,23,0,0,0,4,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,53,0,0,0,0,1,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,4,0,0,0,5,0,0,0,2,0,0,0,3,0,16,1,6,0,0,1,7,0,1,1,31,1,8,0,0,0,1,2,158,0,1,0,1,0,0,0,0,0,39,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1,0,1,0,11,0,0,0,1,0,0,0,0,1,5,0,1,0,0,0,4,0,0,0,8,0,6,0,0,0,1,1,15,0,0,0,1,0,0,0,2,0,31,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,9,0,4,0,0,1,2,0,0,0,9,0,3,0,0,0,2,2,41,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,3,0,3,0,10,0,0,0,3,0,0,1,3,0,13,0,3,0,1,0,4,0,0,0,23,0,2,0,0,0,0,4,93,0,4,0,0,0,0,0,0,0,42,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,257,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,71,0,0,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,74,0,0,0,0,0,9,1,4,0,10,0,0,0,8,0,0,0,4,1,13,0,16,0,0,0,7,0,2,2,50,0,18,0,0,0,9,3,122,0,0,0,1,0,0,0,0,0,105,0,0,0,7,0,0
