報告数・累積報告数、疾病・都道府県別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年48週(11月27日～12月03日),2017年12月06日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,エボラ出血熱,,クリミア・コンゴ出血熱,,痘そう,,南米出血熱,,ペスト,,マールブルグ病,,ラッサ熱,,急性灰白髄炎,,結核,,ジフテリア,,重症急性呼吸器症候群,,中東呼吸器症候群,,鳥インフルエンザ（Ｈ５Ｎ１）,,鳥インフルエンザ（Ｈ７Ｎ９）,,コレラ,,細菌性赤痢,,腸管出血性大腸菌感染症,,腸チフス,,パラチフス,,Ｅ型肝炎,,ウエストナイル熱,,Ａ型肝炎,,エキノコックス症,,黄熱,,オウム病,,オムスク出血熱,,回帰熱,,キャサヌル森林病,,Ｑ熱,,狂犬病,,コクシジオイデス症,,サル痘,,ジカウイルス感染症,,重症熱性血小板減少症候群,,腎症候性出血熱,,西部ウマ脳炎,,ダニ媒介脳炎,,炭疽,,チクングニア熱,,つつが虫病,,デング熱,,東部ウマ脳炎,,鳥インフルエンザ(Ｈ５Ｎ１を除く）,,ニパウイルス感染症,,日本紅斑熱,,日本脳炎,,ハンタウイルス肺症候群,,Ｂウイルス病,,鼻疽,,ブルセラ症,,ベネズエラウマ脳炎,,ヘンドラウイルス感染症,,発しんチフス,,ボツリヌス症,,マラリア,,野兎病,,ライム病,,リッサウイルス感染症,,リフトバレー熱,,類鼻疽,,レジオネラ症,,レプトスピラ症,,ロッキー山紅斑熱,,アメーバ赤痢,,ウイルス性肝炎,,カルバペネム耐性腸内細菌感染症,,急性脳炎,,クリプトスポリジウム症,,クロイツフェルト・ヤコブ病,,劇症型溶血性レンサ球菌感染症,,後天性免疫不全症候群,,ジアルジア症,,侵襲性インフルエンザ菌感染症,,侵襲性髄膜炎菌感染症,,侵襲性肺炎球菌感染症,,水痘（入院例）,,先天性風しん症候群,,梅毒,,播種性クリプトコックス症,,破傷風,,バンコマイシン耐性黄色ブドウ球菌感染症,,バンコマイシン耐性腸球菌感染症,,風しん,,麻しん,,薬剤耐性アシネトバクター感染症,
,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積,報告,累積
総数,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,20895,0,0,0,0,0,0,0,0,0,0,0,7,3,135,28,3818,0,37,1,13,1,288,0,0,5,256,1,25,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,4,1,90,0,0,0,0,0,2,0,0,0,4,53,294,1,236,0,0,0,0,0,0,2,327,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,58,0,0,0,19,0,0,0,0,0,1,23,1639,0,44,0,0,10,978,1,267,21,1522,6,621,0,12,0,178,10,510,8,1263,2,54,6,335,0,23,59,2869,6,286,0,0,79,5279,0,122,3,119,0,0,2,73,2,85,0,188,0,23
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,618,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,233,0,1,0,0,0,65,0,0,0,5,1,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,33,0,0,0,0,0,26,0,8,0,31,0,27,0,4,0,7,0,12,0,33,0,1,0,8,0,0,0,93,0,15,0,0,2,94,0,0,1,8,0,0,0,4,0,0,0,1,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,17,0,0,0,0,0,1,0,2,0,5,0,0,0,2,0,0,0,10,0,3,0,0,0,58,0,0,0,2,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,199,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,153,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,7,0,2,0,13,0,1,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,12,0,6,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,81,0,1,0,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,55,0,0,0,0,0,21,0,9,0,9,0,1,0,0,0,2,0,7,0,12,0,0,0,3,0,0,0,41,0,2,0,0,0,57,0,1,0,1,0,0,0,0,0,1,0,2,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,13,0,4,0,0,0,1,1,11,0,0,0,0,0,4,0,0,1,26,1,11,0,0,0,8,0,2,1,1,0,0,0,0,0,0,0,0,0,1
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,1,0,9,0,5,0,0,0,2,0,8,0,1,0,0,1,5,0,0,0,38,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,0,53,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,186,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,17,0,1,2,29,0,3,0,0,0,3,0,3,2,12,0,0,0,5,0,0,3,26,0,2,0,0,0,55,0,3,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,0,2,0,0,0,10,0,0,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,48,0,1,0,0,0,13,0,6,1,13,0,23,0,0,0,4,0,9,0,10,1,3,0,3,0,1,1,47,0,3,0,0,1,49,0,0,0,4,0,0,0,0,0,1,0,1,0,1
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,275,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,44,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,17,0,4,0,13,0,11,0,0,0,3,1,7,0,13,0,1,0,4,0,0,0,30,0,3,0,0,1,55,0,0,0,2,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,242,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,106,0,2,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,0,0,0,0,13,0,6,0,8,0,3,0,0,0,2,0,6,0,12,0,1,1,4,0,0,0,28,0,3,0,0,0,60,0,0,0,4,0,0,0,1,0,0,0,2,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,240,0,3,0,0,0,18,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,94,0,2,0,0,1,47,0,11,1,55,0,39,0,0,0,4,1,18,1,32,0,0,2,19,0,2,4,118,0,12,0,0,4,206,0,3,0,2,0,0,0,11,0,5,0,5,0,7
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,178,0,1,0,0,0,17,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,1,39,0,15,0,71,2,83,0,0,0,5,1,22,1,44,0,1,0,6,0,3,1,141,0,7,0,0,2,129,0,3,0,6,0,0,0,1,0,7,0,3,0,1
東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3185,0,0,0,0,0,0,0,0,0,0,0,2,2,33,8,464,0,8,0,5,1,52,0,0,1,60,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,1,0,0,0,0,0,1,1,147,0,9,0,0,2,198,1,59,0,199,0,62,0,2,0,15,0,65,1,425,1,23,1,49,0,3,4,357,1,51,0,0,17,1626,0,12,0,7,0,0,0,7,1,22,0,28,0,5
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,258,0,3,0,2,0,14,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,93,0,2,0,0,0,85,0,12,0,114,0,43,0,0,0,11,0,37,1,73,0,2,0,25,0,3,5,211,0,14,0,0,7,302,0,10,0,5,0,0,0,6,0,10,0,9,0,1
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,1,0,0,0,13,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,38,0,0,0,0,0,12,0,3,1,31,0,12,0,0,0,6,0,9,0,9,0,0,0,5,0,0,2,78,0,2,0,0,2,28,0,4,0,1,0,0,0,0,0,0,0,3,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,173,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,5,0,1,0,8,0,3,0,0,0,2,0,8,0,8,0,4,0,6,0,0,3,36,0,3,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,1,0,0
