年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,19,総数,662,0.18,615,0.27,586,0.26,3637,1.61,6970,3.09,874,0.39,800,0.35,120,0.05,540,0.24,133,0.06,62,0.03,7,0.01,251,0.36,8,0.02,11,0.02,81,0.17,4,0.01,30,0.06,1266,0.34
2026,19,北海道,75,0.45,10,0.10,27,0.27,225,2.27,261,2.64,45,0.45,3,0.03,6,0.06,12,0.12,-,-,-,-,-,-,4,0.14,-,-,-,-,5,0.22,1,0.04,2,0.09,47,0.28
2026,19,青森県,11,0.22,12,0.35,5,0.15,34,1.00,71,2.09,10,0.29,-,-,-,-,9,0.26,-,-,-,-,-,-,-,-,1,0.17,-,-,1,0.17,-,-,-,-,14,0.27
2026,19,岩手県,19,0.45,12,0.44,7,0.26,58,2.15,117,4.33,7,0.26,-,-,2,0.07,4,0.15,-,-,-,-,-,-,5,0.36,-,-,-,-,5,0.26,-,-,5,0.26,51,1.21
2026,19,宮城県,15,0.27,5,0.16,2,0.06,32,1.03,94,3.03,11,0.35,3,0.10,3,0.10,11,0.35,1,0.03,2,0.06,-,-,9,0.75,-,-,-,-,-,-,-,-,-,-,44,0.80
2026,19,秋田県,14,0.56,3,0.23,-,-,11,0.85,33,2.54,1,0.08,-,-,-,-,1,0.08,-,-,-,-,-,-,1,0.14,-,-,-,-,1,0.13,-,-,-,-,26,1.04
2026,19,山形県,34,0.89,14,0.56,3,0.12,53,2.12,61,2.44,31,1.24,1,0.04,3,0.12,6,0.24,-,-,1,0.04,-,-,2,0.25,1,0.10,-,-,-,-,-,-,-,-,16,0.42
2026,19,福島県,12,0.25,9,0.32,5,0.18,44,1.57,73,2.61,16,0.57,1,0.04,-,-,4,0.14,1,0.04,2,0.07,-,-,12,0.92,-,-,-,-,-,-,-,-,-,-,31,0.65
2026,19,茨城県,10,0.15,5,0.14,8,0.22,119,3.22,99,2.68,11,0.30,8,0.22,2,0.05,3,0.08,-,-,-,-,-,-,17,1.00,-,-,-,-,2,0.15,-,-,1,0.08,32,0.48
2026,19,栃木県,7,0.15,5,0.19,7,0.26,63,2.33,68,2.52,16,0.59,-,-,-,-,4,0.15,-,-,2,0.07,-,-,8,0.67,-,-,-,-,1,0.14,-,-,-,-,12,0.26
