年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,07,総数,157713,41.44,1362,0.59,605,0.26,6143,2.66,18419,7.98,683,0.30,138,0.06,320,0.14,409,0.18,33,0.01,44,0.02,8,0.01,305,0.44,4,0.01,12,0.02,165,0.34,3,0.01,23,0.05,8114,2.13
2026,07,北海道,3664,21.81,91,0.90,38,0.38,613,6.07,504,4.99,53,0.52,3,0.03,15,0.15,13,0.13,1,0.01,2,0.02,-,-,6,0.21,-,-,-,-,6,0.26,-,-,-,-,1031,6.14
2026,07,青森県,1425,27.40,6,0.18,10,0.29,95,2.79,93,2.74,6,0.18,-,-,2,0.06,7,0.21,3,0.09,-,-,-,-,-,-,-,-,-,-,6,1.00,-,-,-,-,209,4.02
2026,07,岩手県,1803,42.93,26,0.96,5,0.19,123,4.56,214,7.93,2,0.07,-,-,25,0.93,12,0.44,-,-,-,-,-,-,4,0.29,-,-,-,-,6,0.32,-,-,-,-,319,7.60
2026,07,宮城県,2721,49.47,19,0.61,3,0.10,69,2.23,257,8.29,9,0.29,-,-,5,0.16,3,0.10,-,-,-,-,-,-,1,0.08,-,-,-,-,5,0.50,-,-,-,-,221,4.02
2026,07,秋田県,575,23.00,4,0.31,2,0.15,38,2.92,80,6.15,9,0.69,-,-,1,0.08,1,0.08,-,-,-,-,-,-,2,0.29,-,-,-,-,1,0.13,-,-,-,-,91,3.64
2026,07,山形県,1224,31.38,24,0.92,8,0.31,151,5.81,205,7.88,28,1.08,-,-,2,0.08,6,0.23,1,0.04,-,-,-,-,7,0.88,-,-,-,-,6,0.60,-,-,-,-,151,3.87
2026,07,福島県,2469,51.44,24,0.86,11,0.39,50,1.79,225,8.04,12,0.43,-,-,2,0.07,7,0.25,-,-,-,-,-,-,6,0.46,-,-,-,-,2,0.29,-,-,-,-,178,3.71
2026,07,茨城県,3166,47.25,14,0.38,2,0.05,161,4.35,310,8.38,15,0.41,-,-,7,0.19,4,0.11,-,-,1,0.03,-,-,15,0.88,-,-,-,-,6,0.46,-,-,-,-,232,3.46
2026,07,栃木県,2336,49.70,23,0.85,2,0.07,65,2.41,187,6.93,17,0.63,-,-,4,0.15,8,0.30,-,-,-,-,-,-,13,1.08,-,-,-,-,6,0.86,-,-,1,0.14,283,6.02
