年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,16,総数,3457,0.92,1337,0.59,581,0.26,6673,2.96,11424,5.06,726,0.32,411,0.18,190,0.08,619,0.27,105,0.05,78,0.03,8,0.01,258,0.37,8,0.02,23,0.05,81,0.17,8,0.02,32,0.07,2556,0.68
2026,16,北海道,460,2.79,42,0.42,21,0.21,553,5.59,416,4.20,33,0.33,3,0.03,15,0.15,11,0.11,1,0.01,2,0.02,-,-,3,0.10,-,-,-,-,7,0.30,-,-,1,0.04,78,0.47
2026,16,青森県,68,1.31,18,0.53,7,0.21,107,3.15,101,2.97,2,0.06,1,0.03,1,0.03,9,0.26,-,-,-,-,-,-,3,0.30,-,-,-,-,7,1.17,-,-,1,0.17,78,1.50
2026,16,岩手県,59,1.40,40,1.48,6,0.22,165,6.11,203,7.52,4,0.15,1,0.04,7,0.26,6,0.22,-,-,1,0.04,-,-,2,0.14,-,-,1,0.05,-,-,-,-,7,0.37,121,2.88
2026,16,宮城県,50,0.91,4,0.13,3,0.10,103,3.32,112,3.61,9,0.29,-,-,1,0.03,6,0.19,-,-,-,-,-,-,6,0.50,-,-,-,-,1,0.10,-,-,-,-,104,1.89
2026,16,秋田県,40,1.60,2,0.15,1,0.08,21,1.62,76,5.85,3,0.23,1,0.08,1,0.08,7,0.54,-,-,1,0.08,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-,51,2.04
2026,16,山形県,178,4.68,52,2.08,9,0.36,154,6.16,103,4.12,10,0.40,-,-,2,0.08,9,0.36,1,0.04,-,-,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-,43,1.13
2026,16,福島県,65,1.35,24,0.86,7,0.25,66,2.36,124,4.43,16,0.57,-,-,-,-,8,0.29,-,-,1,0.04,-,-,8,0.62,-,-,1,0.14,-,-,1,0.14,-,-,52,1.08
2026,16,茨城県,40,0.60,2,0.05,9,0.24,164,4.43,221,5.97,6,0.16,3,0.08,1,0.03,15,0.41,2,0.05,1,0.03,-,-,14,0.82,-,-,3,0.23,3,0.23,-,-,2,0.15,59,0.88
2026,16,栃木県,34,0.72,15,0.56,3,0.11,92,3.41,95,3.52,2,0.07,-,-,3,0.11,10,0.37,-,-,1,0.04,-,-,6,0.50,-,-,2,0.29,-,-,1,0.14,1,0.14,21,0.45
2026,16,群馬県,28,0.62,12,0.48,6,0.24,95,3.80,144,5.76,8,0.32,1,0.04,1,0.04,9,0.36,-,-,2,0.08,-,-,8,0.80,-,-,1,0.11,3,0.33,-,-,1,0.11,35,0.78
2026,16,埼玉県,79,0.45,40,0.36,16,0.14,289,2.60,510,4.59,58,0.52,16,0.14,8,0.07,28,0.25,4,0.04,1,0.01,-,-,4,0.09,-,-,-,-,1,0.08,1,0.08,1,0.08,151,0.86
2026,16,千葉県,123,0.68,41,0.38,19,0.17,294,2.70,335,3.07,35,0.32,9,0.08,4,0.04,28,0.26,3,0.03,10,0.09,-,-,9,0.26,-,-,-,-,-,-,-,-,-,-,141,0.78
2026,16,東京都,217,0.52,87,0.33,32,0.12,446,1.70,1375,5.25,78,0.30,19,0.07,13,0.05,74,0.28,7,0.03,10,0.04,-,-,15,0.38,-,-,1,0.04,2,0.08,-,-,-,-,290,0.70
2026,16,神奈川県,157,0.66,33,0.23,12,0.08,282,1.99,565,3.98,56,0.39,13,0.09,4,0.03,44,0.31,1,0.01,7,0.05,-,-,28,0.57,-,-,1,0.08,3,0.25,-,-,-,-,182,0.76
2026,16,新潟県,104,1.89,20,0.67,4,0.13,140,4.67,144,4.80,25,0.83,-,-,11,0.37,3,0.10,1,0.03,-,-,1,0.11,1,0.11,-,-,-,-,4,0.31,1,0.08,-,-,48,0.87
2026,16,富山県,87,1.81,27,0.93,25,0.86,138,4.76,227,7.83,8,0.28,7,0.24,-,-,7,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,0.81
2026,16,石川県,99,2.11,31,1.11,16,0.57,117,4.18,175,6.25,13,0.46,10,0.36,1,0.04,6,0.21,2,0.07,-,-,-,-,4,0.57,-,-,-,-,2,0.40,2,0.40,-,-,24,0.51
2026,16,福井県,52,1.33,10,0.40,8,0.32,122,4.88,139,5.56,4,0.16,34,1.36,3,0.12,6,0.24,4,0.16,1,0.04,-,-,-,-,-,-,1,0.17,4,0.67,-,-,2,0.33,37,0.95
2026,16,山梨県,8,0.23,4,0.19,4,0.19,22,1.05,67,3.19,4,0.19,-,-,1,0.05,3,0.14,-,-,1,0.05,-,-,1,0.11,-,-,-,-,1,0.10,-,-,1,0.10,37,1.06
2026,16,長野県,90,1.80,16,0.57,5,0.18,95,3.39,180,6.43,6,0.21,5,0.18,-,-,7,0.25,-,-,-,-,-,-,3,0.30,-,-,1,0.08,2,0.17,-,-,1,0.08,109,2.18
2026,16,岐阜県,33,0.73,7,0.26,-,-,50,1.85,317,11.74,7,0.26,-,-,1,0.04,5,0.19,3,0.11,1,0.04,-,-,-,-,-,-,-,-,1,0.20,-,-,-,-,14,0.31
2026,16,静岡県,47,0.42,41,0.61,16,0.24,162,2.42,248,3.70,18,0.27,17,0.25,5,0.07,17,0.25,3,0.04,2,0.03,-,-,5,0.23,-,-,2,0.20,-,-,-,-,-,-,56,0.50
2026,16,愛知県,95,0.58,38,0.38,12,0.12,180,1.78,549,5.44,24,0.24,5,0.05,5,0.05,25,0.25,3,0.03,3,0.03,-,-,6,0.17,2,0.13,2,0.13,2,0.13,-,-,2,0.13,68,0.42
2026,16,三重県,25,0.36,23,0.53,16,0.37,93,2.16,243,5.65,7,0.16,2,0.05,2,0.05,6,0.14,3,0.07,1,0.02,1,0.08,4,0.33,-,-,-,-,1,0.11,-,-,2,0.22,29,0.42
2026,16,滋賀県,44,1.13,14,0.61,9,0.39,35,1.52,75,3.26,12,0.52,-,-,1,0.04,2,0.09,1,0.04,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,25,0.64
2026,16,京都府,58,0.89,8,0.21,25,0.66,154,4.05,195,5.13,22,0.58,2,0.05,2,0.05,4,0.11,1,0.03,1,0.03,-,-,1,0.06,-,-,-,-,2,0.29,-,-,2,0.29,56,0.86
