年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,13,総数,24536,6.46,1143,0.50,508,0.22,5828,2.54,12730,5.54,724,0.32,133,0.06,193,0.08,487,0.21,33,0.01,73,0.03,12,0.02,232,0.34,7,0.01,12,0.02,91,0.19,5,0.01,44,0.09,3629,0.96
2026,13,北海道,2404,14.40,50,0.50,14,0.14,688,6.88,395,3.95,89,0.89,2,0.02,10,0.10,19,0.19,2,0.02,3,0.03,-,-,1,0.03,-,-,-,-,4,0.17,1,0.04,-,-,190,1.14
2026,13,青森県,452,8.69,10,0.29,7,0.21,61,1.79,82,2.41,5,0.15,-,-,1,0.03,5,0.15,-,-,2,0.06,-,-,-,-,-,-,-,-,5,0.83,-,-,-,-,133,2.56
2026,13,岩手県,384,9.14,21,0.78,6,0.22,113,4.19,164,6.07,5,0.19,2,0.07,10,0.37,9,0.33,-,-,-,-,-,-,4,0.29,-,-,-,-,3,0.16,-,-,1,0.05,142,3.38
2026,13,宮城県,295,5.36,14,0.45,8,0.26,53,1.71,118,3.81,12,0.39,-,-,2,0.06,4,0.13,-,-,-,-,-,-,3,0.25,-,-,-,-,2,0.20,-,-,-,-,96,1.75
2026,13,秋田県,149,5.96,8,0.62,3,0.23,31,2.38,70,5.38,5,0.38,-,-,-,-,5,0.38,-,-,1,0.08,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-,57,2.28
2026,13,山形県,391,10.03,34,1.31,3,0.12,121,4.65,131,5.04,14,0.54,-,-,1,0.04,7,0.27,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-,49,1.26
2026,13,福島県,373,7.77,20,0.71,4,0.14,42,1.50,136,4.86,18,0.64,-,-,-,-,8,0.29,-,-,1,0.04,-,-,4,0.31,-,-,-,-,1,0.14,-,-,-,-,63,1.31
2026,13,茨城県,313,4.67,9,0.24,4,0.11,158,4.27,220,5.95,8,0.22,1,0.03,1,0.03,6,0.16,1,0.03,-,-,-,-,16,0.94,-,-,-,-,3,0.23,-,-,-,-,96,1.43
2026,13,栃木県,278,5.91,15,0.56,3,0.11,66,2.44,118,4.37,2,0.07,3,0.11,4,0.15,10,0.37,-,-,1,0.04,-,-,6,0.50,-,-,-,-,1,0.14,-,-,4,0.57,59,1.26
2026,13,群馬県,416,9.24,5,0.20,10,0.40,48,1.92,214,8.56,14,0.56,-,-,-,-,8,0.32,-,-,4,0.16,-,-,3,0.30,-,-,-,-,4,0.44,1,0.11,3,0.33,68,1.51
2026,13,埼玉県,1042,5.92,29,0.26,10,0.09,245,2.23,608,5.53,40,0.36,8,0.07,3,0.03,25,0.23,2,0.02,5,0.05,1,0.02,9,0.21,2,0.17,-,-,-,-,-,-,4,0.33,230,1.31
2026,13,千葉県,836,4.57,32,0.29,11,0.10,281,2.53,462,4.16,29,0.26,2,0.02,5,0.05,14,0.13,-,-,4,0.04,-,-,10,0.29,-,-,1,0.11,-,-,-,-,1,0.11,194,1.06
2026,13,東京都,1863,4.48,46,0.18,19,0.07,325,1.25,1499,5.74,86,0.33,13,0.05,10,0.04,45,0.17,2,0.01,13,0.05,-,-,12,0.31,1,0.04,1,0.04,3,0.12,1,0.04,5,0.20,421,1.01
2026,13,神奈川県,1232,5.09,36,0.26,16,0.11,250,1.77,787,5.58,25,0.18,1,0.01,9,0.06,31,0.22,4,0.03,5,0.04,1,0.02,29,0.58,-,-,2,0.17,1,0.08,-,-,4,0.33,324,1.34
2026,13,新潟県,658,11.96,12,0.40,5,0.17,94,3.13,99,3.30,7,0.23,1,0.03,9,0.30,2,0.07,-,-,-,-,-,-,-,-,-,-,1,0.08,1,0.08,-,-,2,0.15,73,1.33
2026,13,富山県,658,14.00,22,0.79,10,0.36,135,4.82,247,8.82,6,0.21,1,0.04,2,0.07,4,0.14,-,-,2,0.07,-,-,1,0.14,-,-,-,-,-,-,1,0.20,-,-,54,1.15
2026,13,石川県,662,14.09,12,0.43,8,0.29,111,3.96,304,10.86,22,0.79,2,0.07,1,0.04,3,0.11,1,0.04,1,0.04,-,-,6,0.86,-,-,-,-,-,-,-,-,1,0.20,25,0.53
2026,13,福井県,390,10.00,21,0.84,5,0.20,96,3.84,124,4.96,11,0.44,18,0.72,5,0.20,4,0.16,8,0.32,1,0.04,-,-,-,-,1,0.17,1,0.17,2,0.33,-,-,-,-,16,0.41
2026,13,山梨県,134,3.83,3,0.14,2,0.10,22,1.05,74,3.52,-,-,2,0.10,2,0.10,3,0.14,-,-,1,0.05,-,-,1,0.11,-,-,-,-,1,0.10,-,-,-,-,46,1.31
2026,13,長野県,676,13.52,13,0.46,2,0.07,58,2.07,186,6.64,5,0.18,-,-,2,0.07,5,0.18,-,-,-,-,-,-,9,0.90,1,0.08,-,-,4,0.33,-,-,-,-,101,2.02
