年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2014,46,総数,1810,0.37,4328,,1575,0.50,6822,2.17,18207,5.78,3167,1.01,2252,0.71,797,0.25,1747,0.55,33,0.01,338,0.11,970,0.31,9,0.01,341,0.50,5,0.01,19,0.04,158,0.33,7,0.01,5,0.01
2014,46,北海道,45,0.20,213,,292,2.04,601,4.20,335,2.34,233,1.63,144,1.01,21,0.15,54,0.38,1,0.01,42,0.29,32,0.22,-,-,20,0.71,-,-,-,-,11,0.48,-,-,-,-
2014,46,青森県,1,0.02,26,,34,0.81,29,0.69,157,3.74,52,1.24,4,0.10,19,0.45,21,0.50,-,-,1,0.02,1,0.02,-,-,1,0.09,-,-,-,-,6,1.00,-,-,-,-
2014,46,岩手県,54,0.84,72,,5,0.13,186,4.65,145,3.63,37,0.93,5,0.13,23,0.58,28,0.70,-,-,4,0.10,7,0.18,-,-,5,0.36,-,-,2,0.11,10,0.53,-,-,-,-
2014,46,宮城県,5,0.05,98,,14,0.24,133,2.29,207,3.57,65,1.12,26,0.45,64,1.10,36,0.62,-,-,2,0.03,7,0.12,-,-,3,0.25,-,-,1,0.08,8,0.67,-,-,-,-
2014,46,秋田県,1,0.02,68,,4,0.11,40,1.14,108,3.09,33,0.94,1,0.03,-,-,12,0.34,-,-,2,0.06,11,0.31,-,-,-,-,-,-,-,-,4,0.50,-,-,1,0.13
2014,46,山形県,55,1.15,109,,28,0.93,99,3.30,202,6.73,54,1.80,61,2.03,2,0.07,27,0.90,1,0.03,1,0.03,31,1.03,-,-,-,-,-,-,-,-,-,-,1,0.10,-,-
2014,46,福島県,62,0.82,101,,31,0.69,85,1.89,148,3.29,51,1.13,31,0.69,29,0.64,29,0.64,-,-,9,0.20,47,1.04,-,-,9,0.75,-,-,-,-,12,1.71,-,-,-,-
2014,46,茨城県,18,0.15,70,,19,0.25,109,1.45,387,5.16,52,0.69,82,1.09,15,0.20,24,0.32,-,-,2,0.03,11,0.15,-,-,10,0.59,-,-,-,-,2,0.15,-,-,-,-
2014,46,栃木県,21,0.28,55,,6,0.13,57,1.19,119,2.48,28,0.58,45,0.94,16,0.33,29,0.60,2,0.04,10,0.21,18,0.38,-,-,22,1.83,-,-,-,-,4,0.57,-,-,-,-
2014,46,群馬県,32,0.33,84,,45,0.75,164,2.73,255,4.25,41,0.68,40,0.67,8,0.13,28,0.47,-,-,5,0.08,10,0.17,-,-,15,1.15,1,0.13,1,0.13,6,0.75,-,-,-,-
2014,46,埼玉県,178,0.72,226,,68,0.43,402,2.56,1027,6.54,162,1.03,112,0.71,62,0.39,96,0.61,3,0.02,24,0.15,44,0.28,-,-,19,0.49,-,-,-,-,6,0.60,-,-,1,0.10
2014,46,千葉県,103,0.49,131,,33,0.25,294,2.21,806,6.06,123,0.92,144,1.08,40,0.30,72,0.54,-,-,10,0.08,64,0.48,-,-,12,0.35,1,0.11,1,0.11,3,0.33,1,0.11,-,-
2014,46,東京都,302,0.73,353,,136,0.52,666,2.53,1668,6.34,211,0.80,154,0.59,163,0.62,182,0.69,6,0.02,29,0.11,61,0.23,1,0.03,17,0.44,-,-,-,-,9,0.36,1,0.04,-,-
2014,46,神奈川県,244,0.76,129,,53,0.26,390,1.90,1393,6.80,239,1.17,88,0.43,141,0.69,114,0.56,1,0.00,11,0.05,46,0.22,-,-,46,1.10,-,-,-,-,2,0.20,-,-,-,-
2014,46,新潟県,28,0.29,115,,74,1.21,236,3.87,332,5.44,149,2.44,11,0.18,20,0.33,31,0.51,-,-,28,0.46,12,0.20,1,0.10,2,0.20,-,-,-,-,1,0.08,2,0.15,-,-
2014,46,富山県,10,0.21,59,,29,1.00,58,2.00,213,7.34,20,0.69,27,0.93,4,0.14,13,0.45,-,-,1,0.03,2,0.07,-,-,1,0.14,-,-,-,-,5,1.00,-,-,-,-
2014,46,石川県,8,0.17,63,,7,0.24,67,2.31,267,9.21,31,1.07,23,0.79,18,0.62,12,0.41,-,-,2,0.07,9,0.31,-,-,2,0.29,-,-,-,-,4,0.80,-,-,-,-
2014,46,福井県,4,0.13,32,,7,0.32,45,2.05,216,9.82,32,1.45,18,0.82,-,-,17,0.77,-,-,-,-,25,1.14,-,-,5,1.67,-,-,2,0.33,1,0.17,-,-,-,-
2014,46,山梨県,-,-,20,,2,0.08,33,1.38,118,4.92,4,0.17,-,-,-,-,5,0.21,-,-,6,0.25,-,-,-,-,-,-,-,-,-,-,1,0.10,-,-,-,-
2014,46,長野県,45,0.52,68,,11,0.20,102,1.89,254,4.70,68,1.26,40,0.74,10,0.19,17,0.31,1,0.02,11,0.20,1,0.02,-,-,4,0.36,-,-,-,-,7,0.64,-,-,-,-
2014,46,岐阜県,25,0.29,66,,16,0.30,45,0.85,191,3.60,33,0.62,11,0.21,-,-,20,0.38,-,-,-,-,2,0.04,1,0.09,-,-,-,-,-,-,1,0.20,-,-,-,-
2014,46,静岡県,19,0.14,170,,33,0.37,207,2.33,496,5.57,64,0.72,20,0.22,40,0.45,40,0.45,1,0.01,13,0.15,14,0.16,-,-,12,0.55,-,-,-,-,7,0.70,1,0.10,-,-
