年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,31,総数,157,0.03,7192,2.32,397,0.13,879,0.28,7376,2.38,193,0.06,10307,3.32,37,0.01,898,0.29,2437,0.79,72,0.02,1,0.00,121,0.18,2,0.00,8,0.02,5,0.01,2,0.00,2,0.00
2022,31,北海道,1,0.00,198,1.41,28,0.20,65,0.46,101,0.72,6,0.04,682,4.87,4,0.03,31,0.22,212,1.51,3,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,青森県,-,-,13,0.31,-,-,1,0.02,69,1.64,3,0.07,118,2.81,1,0.02,9,0.21,12,0.29,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,岩手県,1,0.02,12,0.30,2,0.05,16,0.40,91,2.28,-,-,51,1.28,1,0.03,15,0.38,14,0.35,-,-,-,-,2,0.14,-,-,-,-,1,0.05,-,-,-,-
2022,31,宮城県,1,0.01,35,0.65,1,0.02,5,0.09,117,2.17,5,0.09,280,5.19,-,-,28,0.52,82,1.52,3,0.06,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
2022,31,秋田県,-,-,39,1.15,3,0.09,7,0.21,29,0.85,14,0.41,178,5.24,-,-,2,0.06,9,0.26,-,-,-,-,1,0.14,-,-,-,-,1,0.13,-,-,-,-
2022,31,山形県,-,-,31,1.07,8,0.28,5,0.17,66,2.28,1,0.03,92,3.17,-,-,8,0.28,43,1.48,2,0.07,-,-,-,-,1,0.10,-,-,-,-,-,-,-,-
2022,31,福島県,-,-,37,0.74,11,0.22,18,0.36,72,1.44,4,0.08,176,3.52,-,-,26,0.52,16,0.32,-,-,-,-,1,0.08,-,-,-,-,-,-,-,-,1,0.14
2022,31,茨城県,3,0.03,36,0.48,7,0.09,25,0.33,130,1.73,4,0.05,276,3.68,1,0.01,11,0.15,71,0.95,3,0.04,-,-,11,0.65,-,-,1,0.08,1,0.08,-,-,-,-
2022,31,栃木県,1,0.01,96,2.00,4,0.08,11,0.23,45,0.94,2,0.04,205,4.27,-,-,15,0.31,10,0.21,1,0.02,-,-,3,0.25,-,-,-,-,-,-,-,-,-,-
2022,31,群馬県,-,-,33,0.63,5,0.10,5,0.10,148,2.85,3,0.06,335,6.44,-,-,26,0.50,87,1.67,1,0.02,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
2022,31,埼玉県,4,0.02,273,1.75,16,0.10,56,0.36,493,3.16,17,0.11,1115,7.15,1,0.01,49,0.31,214,1.37,7,0.04,1,0.03,13,0.33,-,-,-,-,-,-,-,-,-,-
2022,31,千葉県,4,0.02,214,1.70,7,0.06,15,0.12,273,2.17,6,0.05,896,7.11,1,0.01,31,0.25,140,1.11,3,0.02,-,-,5,0.15,-,-,-,-,-,-,-,-,-,-
2022,31,東京都,22,0.06,435,1.75,20,0.08,29,0.12,530,2.14,11,0.04,1233,4.97,3,0.01,60,0.24,370,1.49,7,0.03,-,-,6,0.16,-,-,-,-,-,-,2,0.08,-,-
2022,31,神奈川県,7,0.02,413,2.00,11,0.05,44,0.21,388,1.87,12,0.06,1108,5.35,5,0.02,59,0.29,222,1.07,7,0.03,-,-,8,0.17,-,-,2,0.18,-,-,-,-,-,-
2022,31,新潟県,1,0.01,12,0.21,6,0.11,42,0.75,108,1.93,3,0.05,582,10.39,-,-,18,0.32,126,2.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,富山県,-,-,18,0.62,3,0.10,1,0.03,120,4.14,2,0.07,100,3.45,1,0.03,10,0.34,63,2.17,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,31,石川県,1,0.02,47,1.62,4,0.14,4,0.14,83,2.86,-,-,60,2.07,-,-,11,0.38,5,0.17,-,-,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
2022,31,福井県,-,-,30,1.30,3,0.13,12,0.52,118,5.13,1,0.04,75,3.26,-,-,10,0.43,5,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,山梨県,-,-,17,0.71,1,0.04,-,-,76,3.17,-,-,62,2.58,-,-,6,0.25,56,2.33,-,-,-,-,-,-,-,-,1,0.10,-,-,-,-,-,-
2022,31,長野県,4,0.05,22,0.41,7,0.13,1,0.02,141,2.61,6,0.11,238,4.41,-,-,8,0.15,50,0.93,1,0.02,-,-,1,0.09,-,-,-,-,-,-,-,-,-,-
2022,31,岐阜県,6,0.07,212,4.00,20,0.38,5,0.09,76,1.43,3,0.06,62,1.17,-,-,13,0.25,6,0.11,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,静岡県,-,-,111,1.25,11,0.12,18,0.20,203,2.28,2,0.02,380,4.27,-,-,34,0.38,143,1.61,4,0.04,-,-,1,0.05,-,-,-,-,-,-,-,-,-,-
2022,31,愛知県,10,0.05,477,2.62,14,0.08,47,0.26,380,2.09,16,0.09,538,2.96,5,0.03,37,0.20,111,0.61,6,0.03,-,-,2,0.06,-,-,1,0.07,-,-,-,-,-,-
2022,31,三重県,1,0.01,376,8.74,4,0.09,5,0.12,128,2.98,3,0.07,58,1.35,-,-,9,0.21,32,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,滋賀県,4,0.07,98,2.72,4,0.11,14,0.39,65,1.81,5,0.14,116,3.22,-,-,9,0.25,26,0.72,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,京都府,-,-,318,4.36,21,0.29,67,0.92,140,1.92,-,-,72,0.99,1,0.01,11,0.15,17,0.23,2,0.03,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-
2022,31,大阪府,21,0.07,1171,5.97,33,0.17,48,0.24,440,2.24,6,0.03,129,0.66,-,-,49,0.25,44,0.22,5,0.03,-,-,8,0.15,1,0.06,-,-,-,-,-,-,-,-
2022,31,兵庫県,16,0.08,683,5.34,15,0.12,39,0.30,349,2.73,7,0.05,113,0.88,2,0.02,18,0.14,26,0.20,2,0.02,-,-,6,0.17,-,-,-,-,-,-,-,-,-,-
2022,31,奈良県,2,0.04,182,5.35,-,-,2,0.06,81,2.38,-,-,44,1.29,1,0.03,9,0.26,14,0.41,1,0.03,-,-,2,0.20,-,-,-,-,-,-,-,-,-,-
2022,31,和歌山県,-,-,73,2.43,4,0.13,2,0.07,33,1.10,-,-,13,0.43,1,0.03,8,0.27,2,0.07,-,-,-,-,1,0.25,-,-,1,0.09,-,-,-,-,-,-
2022,31,鳥取県,-,-,37,1.95,8,0.42,23,1.21,61,3.21,2,0.11,22,1.16,1,0.05,5,0.26,18,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,島根県,-,-,52,2.26,2,0.09,4,0.17,64,2.78,2,0.09,21,0.91,-,-,12,0.52,5,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,岡山県,1,0.01,96,1.78,7,0.13,4,0.07,183,3.39,2,0.04,37,0.69,-,-,13,0.24,22,0.41,-,-,-,-,3,0.25,-,-,1,0.20,-,-,-,-,-,-
2022,31,広島県,-,-,249,3.51,18,0.25,20,0.28,223,3.14,11,0.15,176,2.48,1,0.01,15,0.21,46,0.65,1,0.01,-,-,6,0.32,-,-,-,-,-,-,-,-,-,-
2022,31,山口県,2,0.03,126,2.80,7,0.16,22,0.49,104,2.31,1,0.02,34,0.76,-,-,18,0.40,23,0.51,2,0.04,-,-,4,0.44,-,-,-,-,1,0.11,-,-,-,-
2022,31,徳島県,-,-,38,1.65,2,0.09,-,-,67,2.91,-,-,15,0.65,-,-,12,0.52,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,香川県,-,-,41,1.46,9,0.32,-,-,128,4.57,1,0.04,30,1.07,-,-,10,0.36,2,0.07,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,愛媛県,-,-,144,4.11,6,0.17,12,0.34,141,4.03,3,0.09,12,0.34,-,-,15,0.43,-,-,-,-,-,-,9,1.13,-,-,-,-,-,-,-,-,-,-
2022,31,高知県,2,0.04,36,1.29,12,0.43,1,0.04,54,1.93,2,0.07,14,0.50,-,-,7,0.25,6,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13
2022,31,福岡県,8,0.04,349,2.91,16,0.13,86,0.72,467,3.89,6,0.05,60,0.50,-,-,51,0.43,34,0.28,1,0.01,-,-,2,0.08,-,-,-,-,-,-,-,-,-,-
2022,31,佐賀県,-,-,47,2.04,2,0.09,3,0.13,39,1.70,1,0.04,20,0.87,-,-,7,0.30,6,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,31,長崎県,-,-,14,0.32,3,0.07,56,1.27,69,1.57,-,-,138,3.14,-,-,15,0.34,1,0.02,-,-,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
2022,31,熊本県,-,-,10,0.20,6,0.12,4,0.08,148,2.96,7,0.14,39,0.78,4,0.08,29,0.58,10,0.20,1,0.02,-,-,5,0.56,-,-,-,-,-,-,-,-,-,-
2022,31,大分県,-,-,161,4.47,7,0.19,5,0.14,241,6.69,2,0.06,63,1.75,2,0.06,14,0.39,10,0.28,2,0.06,-,-,2,0.40,-,-,-,-,-,-,-,-,-,-
2022,31,宮崎県,-,-,34,0.94,4,0.11,4,0.11,102,2.83,5,0.14,56,1.56,-,-,13,0.36,4,0.11,-,-,-,-,4,0.67,-,-,-,-,-,-,-,-,-,-
2022,31,鹿児島県,1,0.01,28,0.52,7,0.13,4,0.07,133,2.46,3,0.06,113,2.09,1,0.02,27,0.50,18,0.33,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,31,沖縄県,33,0.58,18,0.53,8,0.24,22,0.65,59,1.74,3,0.09,70,2.06,-,-,5,0.15,3,0.09,3,0.09,-,-,6,0.67,-,-,1,0.14,-,-,-,-,-,-
2022,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
