年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2016,05,総数,171570,34.66,1576,,1203,0.38,11459,3.63,23850,7.55,1249,0.40,108,0.03,1848,0.59,1209,0.38,38,0.01,54,0.02,2365,0.75,7,0.01,490,0.72,2,0.00,14,0.03,263,0.55,6,0.01,170,0.36
2016,05,北海道,9888,43.75,78,,44,0.31,920,6.48,574,4.04,57,0.40,10,0.07,165,1.16,23,0.16,2,0.01,6,0.04,153,1.08,-,-,3,0.11,-,-,-,-,11,0.48,-,-,21,0.91
2016,05,青森県,1587,24.42,3,,15,0.36,55,1.31,116,2.76,9,0.21,4,0.10,19,0.45,16,0.38,-,-,1,0.02,18,0.43,-,-,9,0.82,-,-,-,-,3,0.50,-,-,1,0.17
2016,05,岩手県,1517,23.34,13,,9,0.23,248,6.20,334,8.35,6,0.15,2,0.05,12,0.30,14,0.35,-,-,-,-,2,0.05,-,-,3,0.21,-,-,-,-,8,0.42,-,-,-,-
2016,05,宮城県,1858,19.56,19,,15,0.25,424,7.19,466,7.90,32,0.54,-,-,13,0.22,26,0.44,-,-,1,0.02,25,0.42,-,-,2,0.17,-,-,-,-,12,1.00,-,-,-,-
2016,05,秋田県,770,14.26,5,,8,0.23,54,1.54,226,6.46,2,0.06,1,0.03,81,2.31,10,0.29,1,0.03,-,-,2,0.06,-,-,3,0.43,-,-,-,-,5,0.63,-,-,5,0.63
2016,05,山形県,907,18.90,1,,11,0.37,261,8.70,304,10.13,8,0.27,1,0.03,64,2.13,14,0.47,-,-,-,-,59,1.97,-,-,1,0.13,-,-,-,-,2,0.20,-,-,1,0.10
2016,05,福島県,1869,24.27,21,,23,0.50,129,2.80,298,6.48,18,0.39,-,-,38,0.83,27,0.59,2,0.04,-,-,12,0.26,-,-,10,0.83,-,-,-,-,2,0.29,-,-,-,-
2016,05,茨城県,4513,37.61,9,,22,0.29,183,2.44,678,9.04,26,0.35,2,0.03,24,0.32,13,0.17,-,-,1,0.01,51,0.68,-,-,23,1.35,-,-,1,0.08,9,0.69,-,-,-,-
2016,05,栃木県,2404,31.63,13,,9,0.19,138,2.88,265,5.52,13,0.27,-,-,25,0.52,16,0.33,-,-,2,0.04,22,0.46,-,-,14,1.17,-,-,-,-,6,0.86,-,-,1,0.14
2016,05,群馬県,2983,31.40,26,,20,0.34,293,5.05,416,7.17,25,0.43,-,-,25,0.43,23,0.40,4,0.07,-,-,17,0.29,-,-,7,0.50,-,-,-,-,9,1.13,-,-,3,0.38
2016,05,埼玉県,11880,47.52,27,,49,0.32,475,3.06,1356,8.75,90,0.58,2,0.01,107,0.69,63,0.41,-,-,1,0.01,146,0.94,2,0.05,23,0.56,-,-,-,-,5,0.50,1,0.10,1,0.10
2016,05,千葉県,9566,44.91,29,,26,0.19,648,4.84,999,7.46,51,0.38,1,0.01,74,0.55,43,0.32,-,-,1,0.01,121,0.90,-,-,20,0.61,-,-,1,0.11,7,0.78,-,-,-,-
2016,05,東京都,16365,39.43,67,,64,0.25,880,3.37,2203,8.44,123,0.47,7,0.03,76,0.29,115,0.44,-,-,4,0.02,147,0.56,-,-,21,0.55,-,-,1,0.04,14,0.56,1,0.04,3,0.12
2016,05,神奈川県,16595,48.95,42,,35,0.16,645,3.00,1719,8.00,89,0.41,3,0.01,43,0.20,88,0.41,1,0.00,1,0.00,111,0.52,-,-,65,1.41,-,-,-,-,1,0.09,-,-,-,-
2016,05,新潟県,3891,41.39,27,,34,0.58,250,4.24,359,6.08,23,0.39,1,0.02,10,0.17,20,0.34,1,0.02,1,0.02,65,1.10,-,-,8,0.80,-,-,-,-,7,0.54,-,-,-,-
2016,05,富山県,1205,25.10,2,,11,0.38,139,4.79,261,9.00,19,0.66,14,0.48,30,1.03,10,0.34,1,0.03,2,0.07,24,0.83,-,-,1,0.14,-,-,-,-,1,0.20,-,-,1,0.20
2016,05,石川県,1055,21.98,4,,33,1.14,124,4.28,171,5.90,13,0.45,1,0.03,12,0.41,6,0.21,-,-,-,-,101,3.48,-,-,2,0.29,-,-,-,-,6,1.20,-,-,-,-
2016,05,福井県,992,31.00,7,,16,0.73,98,4.45,108,4.91,13,0.59,1,0.05,19,0.86,11,0.50,-,-,1,0.05,9,0.41,-,-,-,-,-,-,1,0.17,1,0.17,-,-,-,-
2016,05,山梨県,1453,36.33,9,,4,0.17,86,3.58,176,7.33,7,0.29,-,-,7,0.29,4,0.17,-,-,-,-,4,0.17,-,-,2,0.22,-,-,1,0.10,2,0.20,-,-,-,-
