年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,46,総数,546,0.11,2336,0.74,263,0.08,1247,0.40,10087,3.21,353,0.11,1724,0.55,32,0.01,789,0.25,561,0.18,106,0.03,1,0.00,135,0.19,3,0.01,9,0.02,13,0.03,1,0.00,1,0.00
2022,46,北海道,3,0.01,116,0.83,17,0.12,83,0.60,147,1.06,19,0.14,19,0.14,-,-,11,0.08,6,0.04,1,0.01,-,-,6,0.21,-,-,-,-,3,0.13,-,-,-,-
2022,46,青森県,-,-,36,0.86,1,0.02,1,0.02,59,1.40,1,0.02,18,0.43,-,-,6,0.14,-,-,4,0.10,-,-,1,0.10,-,-,2,0.33,4,0.67,-,-,-,-
2022,46,岩手県,-,-,61,1.53,1,0.03,18,0.45,121,3.03,5,0.13,18,0.45,-,-,11,0.28,4,0.10,2,0.05,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
2022,46,宮城県,13,0.14,120,2.07,9,0.16,9,0.16,118,2.03,5,0.09,21,0.36,-,-,14,0.24,2,0.03,1,0.02,-,-,-,-,-,-,-,-,2,0.17,-,-,-,-
2022,46,秋田県,-,-,14,0.41,-,-,14,0.41,27,0.79,7,0.21,-,-,-,-,5,0.15,-,-,1,0.03,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-
2022,46,山形県,2,0.05,82,2.83,2,0.07,4,0.14,69,2.38,2,0.07,6,0.21,-,-,12,0.41,-,-,1,0.03,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
2022,46,福島県,-,-,134,2.68,7,0.14,14,0.28,71,1.42,9,0.18,5,0.10,1,0.02,22,0.44,1,0.02,1,0.02,-,-,6,0.46,-,-,1,0.14,-,-,-,-,1,0.14
2022,46,茨城県,3,0.03,46,0.61,3,0.04,20,0.27,163,2.17,1,0.01,5,0.07,-,-,11,0.15,-,-,2,0.03,-,-,10,0.59,-,-,-,-,1,0.08,-,-,-,-
2022,46,栃木県,-,-,50,1.04,3,0.06,5,0.10,66,1.38,3,0.06,6,0.13,4,0.08,8,0.17,-,-,-,-,-,-,2,0.17,1,0.14,-,-,-,-,-,-,-,-
2022,46,群馬県,3,0.03,86,1.59,1,0.02,14,0.26,248,4.59,2,0.04,14,0.26,-,-,16,0.30,1,0.02,2,0.04,-,-,4,0.29,-,-,-,-,-,-,-,-,-,-
2022,46,埼玉県,6,0.02,101,0.65,11,0.07,62,0.40,946,6.06,24,0.15,56,0.36,1,0.01,40,0.26,7,0.04,12,0.08,-,-,1,0.02,-,-,-,-,1,0.09,-,-,-,-
2022,46,千葉県,6,0.03,55,0.42,15,0.11,48,0.36,496,3.76,25,0.19,33,0.25,1,0.01,32,0.24,12,0.09,6,0.05,-,-,8,0.24,-,-,1,0.11,1,0.11,-,-,-,-
2022,46,東京都,125,0.30,130,0.50,30,0.12,61,0.23,1480,5.69,33,0.13,83,0.32,5,0.02,75,0.29,28,0.11,8,0.03,-,-,4,0.11,-,-,-,-,1,0.04,-,-,-,-
2022,46,神奈川県,11,0.03,50,0.23,5,0.02,60,0.27,771,3.50,17,0.08,57,0.26,4,0.02,49,0.22,20,0.09,10,0.05,-,-,33,0.67,-,-,1,0.09,-,-,-,-,-,-
2022,46,新潟県,10,0.13,100,1.79,5,0.09,45,0.80,78,1.39,1,0.02,14,0.25,3,0.05,17,0.30,4,0.07,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,46,富山県,-,-,26,0.90,2,0.07,9,0.31,93,3.21,8,0.28,14,0.48,-,-,7,0.24,11,0.38,2,0.07,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,46,石川県,-,-,28,0.97,1,0.03,15,0.52,102,3.52,4,0.14,34,1.17,1,0.03,5,0.17,-,-,1,0.03,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,46,福井県,2,0.05,19,0.83,2,0.09,18,0.78,180,7.83,-,-,1,0.04,-,-,6,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,46,山梨県,1,0.02,38,1.58,-,-,-,-,51,2.13,3,0.13,4,0.17,-,-,9,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,46,長野県,-,-,81,1.50,-,-,3,0.06,131,2.43,4,0.07,26,0.48,-,-,7,0.13,4,0.07,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,46,岐阜県,1,0.01,5,0.09,3,0.06,17,0.32,57,1.08,6,0.11,28,0.53,2,0.04,4,0.08,1,0.02,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
