年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,15,総数,5444,1.46,1186,0.53,529,0.23,5132,2.28,10396,4.61,736,0.33,251,0.11,184,0.08,565,0.25,74,0.03,55,0.02,3,0.00,278,0.40,9,0.02,9,0.02,78,0.16,3,0.01,33,0.07,2340,0.63
2026,15,北海道,712,4.29,57,0.57,20,0.20,500,5.00,388,3.88,33,0.33,4,0.04,12,0.12,9,0.09,-,-,-,-,-,-,2,0.07,-,-,-,-,5,0.22,-,-,-,-,98,0.59
2026,15,青森県,132,2.54,11,0.32,5,0.15,71,2.09,99,2.91,4,0.12,1,0.03,-,-,9,0.26,-,-,-,-,-,-,1,0.10,-,-,-,-,1,0.17,-,-,-,-,109,2.10
2026,15,岩手県,103,2.45,14,0.52,5,0.19,86,3.19,153,5.67,3,0.11,-,-,13,0.48,7,0.26,-,-,-,-,-,-,3,0.21,-,-,1,0.05,3,0.16,-,-,-,-,94,2.24
2026,15,宮城県,116,2.11,10,0.32,3,0.10,74,2.39,130,4.19,7,0.23,-,-,1,0.03,5,0.16,1,0.03,2,0.06,-,-,6,0.50,-,-,-,-,2,0.20,-,-,-,-,78,1.42
2026,15,秋田県,53,2.12,1,0.08,2,0.15,26,2.00,81,6.23,10,0.77,1,0.08,3,0.23,-,-,-,-,-,-,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-,59,2.36
2026,15,山形県,157,4.03,53,2.04,10,0.38,137,5.27,99,3.81,5,0.19,1,0.04,1,0.04,9,0.35,-,-,-,-,-,-,4,0.50,1,0.10,-,-,-,-,-,-,-,-,33,0.85
2026,15,福島県,75,1.56,16,0.57,4,0.14,53,1.89,88,3.14,23,0.82,-,-,1,0.04,5,0.18,1,0.04,-,-,-,-,7,0.54,-,-,-,-,-,-,-,-,-,-,45,0.94
2026,15,茨城県,64,0.96,13,0.35,6,0.16,107,2.89,174,4.70,3,0.08,-,-,3,0.08,7,0.19,2,0.05,2,0.05,-,-,25,1.47,-,-,-,-,3,0.23,-,-,-,-,46,0.69
2026,15,栃木県,57,1.21,23,0.85,1,0.04,76,2.81,98,3.63,4,0.15,-,-,1,0.04,8,0.30,-,-,1,0.04,-,-,14,1.17,-,-,-,-,-,-,-,-,-,-,38,0.81
2026,15,群馬県,54,1.20,5,0.20,11,0.44,47,1.88,152,6.08,19,0.76,-,-,-,-,11,0.44,-,-,-,-,-,-,1,0.10,-,-,-,-,6,0.67,-,-,1,0.11,33,0.73
2026,15,埼玉県,171,0.97,45,0.41,27,0.24,206,1.86,504,4.54,55,0.50,7,0.06,8,0.07,34,0.31,2,0.02,4,0.04,1,0.02,6,0.14,1,0.08,-,-,3,0.25,-,-,1,0.08,156,0.89
2026,15,千葉県,190,1.05,34,0.31,7,0.06,263,2.41,376,3.45,25,0.23,4,0.04,5,0.05,18,0.17,4,0.04,3,0.03,-,-,14,0.41,-,-,-,-,-,-,-,-,1,0.11,136,0.75
2026,15,東京都,401,0.96,71,0.27,28,0.11,335,1.28,1239,4.75,91,0.35,22,0.08,10,0.04,76,0.29,3,0.01,8,0.03,-,-,10,0.26,-,-,1,0.04,1,0.04,1,0.04,2,0.08,236,0.57
2026,15,神奈川県,252,1.06,30,0.21,16,0.11,222,1.57,574,4.07,37,0.26,6,0.04,6,0.04,35,0.25,3,0.02,3,0.02,-,-,36,0.75,-,-,-,-,-,-,-,-,2,0.17,176,0.74
2026,15,新潟県,121,2.20,16,0.53,8,0.27,93,3.10,94,3.13,3,0.10,1,0.03,11,0.37,12,0.40,-,-,-,-,2,0.22,-,-,1,0.08,-,-,8,0.62,-,-,-,-,40,0.73
2026,15,富山県,146,3.11,20,0.71,10,0.36,113,4.04,219,7.82,6,0.21,4,0.14,-,-,4,0.14,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,1.06
2026,15,石川県,113,2.40,27,0.96,8,0.29,96,3.43,195,6.96,11,0.39,12,0.43,1,0.04,2,0.07,1,0.04,-,-,-,-,6,0.86,-,-,-,-,-,-,-,-,-,-,16,0.34
2026,15,福井県,109,2.79,20,0.80,6,0.24,92,3.68,87,3.48,10,0.40,18,0.72,2,0.08,6,0.24,6,0.24,-,-,-,-,3,1.00,-,-,-,-,3,0.50,-,-,-,-,20,0.51
2026,15,山梨県,24,0.69,2,0.10,3,0.14,17,0.81,46,2.19,10,0.48,-,-,-,-,1,0.05,-,-,1,0.05,-,-,1,0.11,-,-,-,-,-,-,1,0.10,-,-,51,1.46
2026,15,長野県,152,3.04,5,0.18,3,0.11,53,1.89,156,5.57,3,0.11,6,0.21,2,0.07,5,0.18,1,0.04,1,0.04,-,-,5,0.50,-,-,-,-,4,0.33,1,0.08,6,0.50,45,0.90
2026,15,岐阜県,53,1.20,5,0.19,3,0.12,41,1.58,256,9.85,6,0.23,7,0.27,2,0.08,5,0.19,1,0.04,2,0.08,-,-,-,-,-,-,1,0.20,2,0.40,-,-,1,0.20,11,0.25
2026,15,静岡県,51,0.46,42,0.63,4,0.06,94,1.40,183,2.73,13,0.19,7,0.10,7,0.10,15,0.22,3,0.04,-,-,-,-,1,0.05,-,-,-,-,-,-,-,-,1,0.10,43,0.38
2026,15,愛知県,184,1.13,32,0.32,15,0.15,133,1.32,449,4.45,34,0.34,4,0.04,6,0.06,22,0.22,1,0.01,3,0.03,-,-,8,0.23,1,0.07,2,0.13,7,0.47,-,-,4,0.27,63,0.39
2026,15,三重県,66,0.96,25,0.58,9,0.21,77,1.79,202,4.70,6,0.14,-,-,1,0.02,8,0.19,1,0.02,2,0.05,-,-,-,-,-,-,-,-,2,0.22,-,-,1,0.11,18,0.26
2026,15,滋賀県,53,1.36,10,0.43,2,0.09,29,1.26,69,3.00,9,0.39,1,0.04,3,0.13,4,0.17,-,-,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,25,0.64
2026,15,京都府,80,1.25,1,0.03,13,0.35,93,2.51,174,4.70,17,0.46,2,0.05,2,0.05,5,0.14,-,-,3,0.08,-,-,-,-,1,0.14,-,-,2,0.29,-,-,1,0.14,37,0.58
2026,15,大阪府,265,0.92,109,0.60,56,0.31,280,1.53,884,4.83,57,0.31,3,0.02,8,0.04,44,0.24,3,0.02,7,0.04,-,-,10,0.19,-,-,-,-,3,0.17,-,-,-,-,105,0.37
2026,15,兵庫県,184,1.14,46,0.45,24,0.24,183,1.79,483,4.74,40,0.39,8,0.08,5,0.05,13,0.13,2,0.02,1,0.01,-,-,7,0.20,-,-,-,-,1,0.07,-,-,7,0.50,70,0.43
2026,15,奈良県,58,1.38,17,0.71,5,0.21,47,1.96,171,7.13,4,0.17,4,0.17,1,0.04,12,0.50,-,-,-,-,-,-,4,0.40,-,-,-,-,1,0.17,-,-,1,0.17,21,0.50
2026,15,和歌山県,45,1.00,19,0.70,4,0.15,43,1.59,58,2.15,3,0.11,-,-,1,0.04,9,0.33,-,-,1,0.04,-,-,4,1.00,1,0.09,-,-,1,0.09,-,-,1,0.09,16,0.36
2026,15,鳥取県,58,2.00,19,1.00,2,0.11,137,7.21,107,5.63,5,0.26,-,-,1,0.05,2,0.11,-,-,1,0.05,-,-,1,0.20,1,0.20,-,-,1,0.20,-,-,1,0.20,15,0.52
2026,15,島根県,47,2.35,12,1.09,4,0.36,8,0.73,114,10.36,7,0.64,-,-,-,-,7,0.64,3,0.27,1,0.09,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-,21,1.05
2026,15,岡山県,72,1.44,12,0.43,3,0.11,54,1.93,152,5.43,10,0.36,17,0.61,2,0.07,7,0.25,2,0.07,1,0.04,-,-,2,0.17,-,-,1,0.20,-,-,-,-,1,0.20,24,0.48
2026,15,広島県,132,1.42,28,0.50,18,0.32,133,2.38,250,4.46,17,0.30,6,0.11,3,0.05,10,0.18,5,0.09,-,-,-,-,10,0.53,-,-,-,-,2,0.10,-,-,-,-,60,0.65
2026,15,山口県,100,1.64,38,1.00,9,0.24,95,2.50,160,4.21,4,0.11,-,-,9,0.24,12,0.32,1,0.03,1,0.03,-,-,3,0.33,-,-,-,-,4,0.44,-,-,-,-,25,0.41
2026,15,徳島県,42,1.27,-,-,5,0.24,22,1.05,68,3.24,2,0.10,-,-,4,0.19,5,0.24,-,-,-,-,-,-,-,-,-,-,-,-,1,0.14,-,-,-,-,28,0.85
2026,15,香川県,11,0.48,10,0.77,4,0.31,9,0.69,89,6.85,2,0.15,-,-,1,0.08,2,0.15,5,0.38,-,-,-,-,2,0.40,1,0.20,-,-,1,0.20,-,-,-,-,6,0.26
2026,15,愛媛県,86,2.32,35,1.75,6,0.30,79,3.95,169,8.45,9,0.45,1,0.05,14,0.70,9,0.45,-,-,-,-,-,-,7,0.88,-,-,-,-,2,0.33,-,-,-,-,17,0.46
2026,15,高知県,10,0.26,16,0.80,2,0.10,27,1.35,41,2.05,2,0.10,-,-,5,0.25,3,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,0.24
2026,15,福岡県,161,1.32,74,1.06,53,0.76,337,4.81,359,5.13,28,0.40,33,0.47,2,0.03,27,0.39,5,0.07,3,0.04,-,-,30,1.15,-,-,1,0.07,1,0.07,-,-,-,-,22,0.18
2026,15,佐賀県,28,1.17,7,0.58,7,0.58,48,4.00,65,5.42,4,0.33,3,0.25,2,0.17,7,0.58,-,-,1,0.08,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-,4,0.17
2026,15,長崎県,47,0.92,60,1.94,22,0.71,120,3.87,136,4.39,11,0.35,5,0.16,5,0.16,6,0.19,2,0.06,-,-,-,-,10,1.25,-,-,-,-,2,0.17,-,-,-,-,10,0.20
2026,15,熊本県,92,1.30,22,0.47,15,0.32,164,3.49,232,4.94,13,0.28,19,0.40,4,0.09,23,0.49,5,0.11,1,0.02,-,-,5,0.56,-,-,-,-,3,0.20,-,-,1,0.07,32,0.45
2026,15,大分県,51,0.88,12,0.33,8,0.22,74,2.06,264,7.33,29,0.81,-,-,4,0.11,14,0.39,1,0.03,1,0.03,-,-,2,0.40,-,-,-,-,1,0.09,-,-,-,-,11,0.19
2026,15,宮崎県,30,1.07,31,2.07,9,0.60,37,2.47,116,7.73,10,0.67,32,2.13,4,0.27,8,0.53,4,0.27,1,0.07,-,-,11,1.83,-,-,-,-,-,-,-,-,-,-,7,0.25
2026,15,鹿児島県,44,0.77,28,0.90,40,1.29,71,2.29,110,3.55,10,0.32,11,0.35,8,0.26,13,0.42,2,0.06,-,-,-,-,3,0.43,-,-,-,-,1,0.08,-,-,-,-,15,0.26
2026,15,沖縄県,192,4.36,3,0.13,4,0.17,30,1.25,83,3.46,22,0.92,1,0.04,-,-,10,0.42,2,0.08,-,-,-,-,10,1.11,1,0.14,1,0.14,-,-,-,-,-,-,66,1.50
2026,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
