年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,28,総数,142,0.03,7016,2.26,1064,0.34,1302,0.42,13086,4.22,241,0.08,5787,1.87,39,0.01,1145,0.37,1571,0.51,110,0.04,5,0.01,136,0.20,5,0.01,11,0.02,5,0.01,-,-,-,-
2022,28,北海道,-,-,186,1.34,73,0.53,103,0.74,351,2.53,12,0.09,238,1.71,-,-,45,0.32,59,0.42,2,0.01,-,-,3,0.11,-,-,-,-,2,0.09,-,-,-,-
2022,28,青森県,-,-,-,-,5,0.12,3,0.07,91,2.17,3,0.07,20,0.48,-,-,21,0.50,13,0.31,-,-,-,-,1,0.09,-,-,1,0.17,-,-,-,-,-,-
2022,28,岩手県,-,-,-,-,3,0.08,14,0.35,135,3.38,1,0.03,8,0.20,-,-,21,0.53,1,0.03,3,0.08,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
2022,28,宮城県,-,-,11,0.19,13,0.23,14,0.25,205,3.60,5,0.09,58,1.02,-,-,34,0.60,18,0.32,4,0.07,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
2022,28,秋田県,-,-,55,1.62,2,0.06,5,0.15,52,1.53,2,0.06,66,1.94,-,-,7,0.21,5,0.15,1,0.03,1,0.14,-,-,-,-,-,-,-,-,-,-,-,-
2022,28,山形県,-,-,1,0.03,30,1.03,9,0.31,70,2.41,1,0.03,2,0.07,-,-,9,0.31,4,0.14,-,-,-,-,-,-,-,-,-,-,1,0.10,-,-,-,-
2022,28,福島県,-,-,25,0.50,29,0.58,22,0.44,102,2.04,6,0.12,34,0.68,-,-,37,0.74,6,0.12,1,0.02,-,-,3,0.23,-,-,-,-,-,-,-,-,-,-
2022,28,茨城県,1,0.01,4,0.05,8,0.11,21,0.28,266,3.55,5,0.07,189,2.52,-,-,20,0.27,107,1.43,2,0.03,2,0.12,8,0.47,-,-,-,-,-,-,-,-,-,-
2022,28,栃木県,-,-,39,0.81,7,0.15,22,0.46,93,1.94,1,0.02,72,1.50,1,0.02,23,0.48,9,0.19,-,-,-,-,7,0.58,-,-,-,-,-,-,-,-,-,-
2022,28,群馬県,-,-,9,0.18,28,0.55,6,0.12,235,4.61,4,0.08,154,3.02,-,-,24,0.47,31,0.61,1,0.02,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
2022,28,埼玉県,1,0.00,235,1.57,61,0.41,74,0.49,919,6.13,18,0.12,569,3.79,2,0.01,52,0.35,141,0.94,12,0.08,2,0.05,11,0.29,-,-,2,0.18,1,0.09,-,-,-,-
2022,28,千葉県,1,0.01,141,1.17,20,0.17,107,0.88,462,3.82,9,0.07,832,6.88,1,0.01,39,0.32,168,1.39,7,0.06,-,-,4,0.13,-,-,-,-,-,-,-,-,-,-
2022,28,東京都,6,0.02,376,1.49,71,0.28,54,0.21,1267,5.01,15,0.06,638,2.52,2,0.01,78,0.31,254,1.00,6,0.02,-,-,6,0.16,-,-,-,-,-,-,-,-,-,-
2022,28,神奈川県,1,0.00,406,1.97,39,0.19,79,0.38,888,4.31,16,0.08,460,2.23,6,0.03,88,0.43,117,0.57,7,0.03,-,-,11,0.24,-,-,1,0.10,-,-,-,-,-,-
2022,28,新潟県,-,-,10,0.18,21,0.38,43,0.77,278,4.96,3,0.05,484,8.64,2,0.04,27,0.48,117,2.09,2,0.04,-,-,-,-,-,-,1,0.08,-,-,-,-,-,-
2022,28,富山県,-,-,8,0.28,12,0.41,6,0.21,126,4.34,2,0.07,70,2.41,-,-,3,0.10,9,0.31,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,28,石川県,-,-,7,0.24,14,0.48,7,0.24,142,4.90,1,0.03,35,1.21,-,-,8,0.28,3,0.10,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,28,福井県,-,-,30,1.30,14,0.61,9,0.39,128,5.57,-,-,105,4.57,-,-,9,0.39,4,0.17,-,-,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
2022,28,山梨県,-,-,-,-,2,0.08,1,0.04,101,4.21,3,0.13,44,1.83,-,-,4,0.17,36,1.50,-,-,-,-,-,-,-,-,1,0.10,-,-,-,-,-,-
2022,28,長野県,-,-,21,0.40,15,0.28,8,0.15,298,5.62,17,0.32,95,1.79,-,-,19,0.36,22,0.42,4,0.08,-,-,4,0.36,-,-,-,-,-,-,-,-,-,-
2022,28,岐阜県,-,-,230,4.34,24,0.45,9,0.17,157,2.96,-,-,2,0.04,-,-,20,0.38,3,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,28,静岡県,-,-,77,0.87,34,0.38,19,0.21,382,4.29,6,0.07,184,2.07,1,0.01,34,0.38,119,1.34,7,0.08,-,-,3,0.14,-,-,-,-,-,-,-,-,-,-
2022,28,愛知県,2,0.01,1097,6.03,34,0.19,59,0.32,697,3.83,15,0.08,159,0.87,-,-,41,0.23,62,0.34,4,0.02,-,-,2,0.06,1,0.07,1,0.07,-,-,-,-,-,-
2022,28,三重県,2,0.03,560,12.44,17,0.38,20,0.44,210,4.67,-,-,37,0.82,-,-,15,0.33,9,0.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,28,滋賀県,2,0.03,63,1.80,15,0.43,14,0.40,148,4.23,8,0.23,55,1.57,-,-,10,0.29,11,0.31,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
2022,28,京都府,4,0.03,199,2.69,57,0.77,41,0.55,216,2.92,5,0.07,14,0.19,-,-,10,0.14,9,0.12,2,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,28,大阪府,75,0.25,1280,6.53,74,0.38,56,0.29,838,4.28,12,0.06,95,0.48,4,0.02,65,0.33,22,0.11,10,0.05,-,-,9,0.17,1,0.06,-,-,-,-,-,-,-,-
2022,28,兵庫県,28,0.14,675,5.23,49,0.38,45,0.35,651,5.05,8,0.06,84,0.65,3,0.02,33,0.26,17,0.13,6,0.05,-,-,14,0.40,-,-,1,0.07,-,-,-,-,-,-
2022,28,奈良県,3,0.05,137,4.03,13,0.38,2,0.06,132,3.88,3,0.09,19,0.56,-,-,11,0.32,4,0.12,2,0.06,-,-,3,0.30,-,-,-,-,-,-,-,-,-,-
2022,28,和歌山県,1,0.02,66,2.28,15,0.52,5,0.17,66,2.28,5,0.17,6,0.21,-,-,11,0.38,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,28,鳥取県,1,0.03,13,0.68,8,0.42,17,0.89,88,4.63,-,-,23,1.21,-,-,2,0.11,8,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
