年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当
2013,05,京都府,3644,29.63,21,,6,0.08,81,1.08,518,6.91,66,0.88,1,0.01,2,0.03,22,0.29,-,-,4,0.05,6,0.08,-,-,9,0.50,-,-,-,-,1,0.17,-,-
2013,05,大阪府,8354,27.04,180,,34,0.17,441,2.21,1404,7.02,189,0.95,27,0.14,12,0.06,73,0.37,1,0.01,8,0.04,23,0.12,-,-,15,0.29,-,-,-,-,10,0.59,-,-
2013,05,兵庫県,7257,36.47,58,,41,0.32,117,0.91,1086,8.42,158,1.22,1,0.01,9,0.07,46,0.36,1,0.01,-,-,11,0.09,-,-,11,0.31,-,-,-,-,15,1.36,2,0.18
2013,05,奈良県,1489,27.07,10,,9,0.26,33,0.94,177,5.06,24,0.69,-,-,2,0.06,7,0.20,-,-,-,-,1,0.03,-,-,1,0.11,1,0.17,-,-,2,0.33,-,-
2013,05,和歌山県,1084,21.68,25,,3,0.10,23,0.74,146,4.71,18,0.58,-,-,-,-,12,0.39,-,-,-,-,1,0.03,1,0.25,-,-,-,-,-,-,8,0.73,-,-
2013,05,鳥取県,852,29.38,5,,4,0.21,103,5.42,104,5.47,21,1.11,3,0.16,1,0.05,12,0.63,-,-,-,-,1,0.05,-,-,-,-,-,-,-,-,5,1.00,-,-
2013,05,島根県,999,26.29,15,,4,0.17,28,1.22,206,8.96,20,0.87,11,0.48,-,-,16,0.70,-,-,-,-,3,0.13,-,-,-,-,-,-,-,-,2,0.25,-,-
2013,05,岡山県,2670,31.79,25,,5,0.09,34,0.63,422,7.81,46,0.85,16,0.30,-,-,23,0.43,-,-,-,-,5,0.09,1,0.08,2,0.17,-,-,-,-,4,0.80,1,0.20
2013,05,広島県,4546,39.53,58,,20,0.28,109,1.51,651,9.04,39,0.54,18,0.25,4,0.06,29,0.40,2,0.03,3,0.04,9,0.13,-,-,12,0.63,1,0.05,-,-,6,0.29,-,-
2013,05,山口県,1928,27.94,60,,17,0.35,118,2.46,471,9.81,82,1.71,-,-,5,0.10,34,0.71,-,-,2,0.04,8,0.17,-,-,1,0.11,-,-,-,-,4,0.44,-,-
