年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,07,総数,26,0.01,726,0.23,415,0.13,968,0.31,13655,4.36,199,0.06,280,0.09,31,0.01,743,0.24,63,0.02,71,0.02,2,0.00,93,0.13,4,0.01,4,0.01,9,0.02,-,-,3,0.01
2022,07,北海道,1,0.00,56,0.40,22,0.16,62,0.45,145,1.04,14,0.10,2,0.01,-,-,13,0.09,2,0.01,3,0.02,-,-,6,0.21,-,-,-,-,2,0.09,-,-,-,-
2022,07,青森県,-,-,-,-,2,0.05,8,0.19,182,4.33,-,-,6,0.14,1,0.02,7,0.17,-,-,-,-,-,-,-,-,-,-,-,-,3,0.50,-,-,-,-
2022,07,岩手県,-,-,22,0.55,9,0.23,18,0.45,166,4.15,8,0.20,1,0.03,2,0.05,18,0.45,1,0.03,-,-,-,-,-,-,-,-,-,-,1,0.05,-,-,1,0.05
2022,07,宮城県,3,0.03,10,0.17,10,0.17,21,0.36,288,4.97,9,0.16,1,0.02,-,-,23,0.40,1,0.02,-,-,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
2022,07,秋田県,-,-,3,0.09,3,0.09,12,0.35,128,3.76,9,0.26,-,-,-,-,5,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,山形県,-,-,1,0.03,8,0.28,17,0.59,215,7.41,2,0.07,-,-,-,-,9,0.31,1,0.03,-,-,-,-,3,0.38,-,-,-,-,-,-,-,-,-,-
2022,07,福島県,-,-,3,0.06,20,0.40,13,0.26,210,4.20,5,0.10,5,0.10,3,0.06,21,0.42,1,0.02,2,0.04,-,-,2,0.15,-,-,-,-,-,-,-,-,-,-
2022,07,茨城県,-,-,3,0.04,6,0.08,32,0.43,314,4.19,1,0.01,1,0.01,-,-,15,0.20,3,0.04,3,0.04,-,-,5,0.29,-,-,-,-,1,0.08,-,-,-,-
2022,07,栃木県,1,0.01,16,0.33,1,0.02,14,0.29,167,3.48,1,0.02,8,0.17,-,-,12,0.25,-,-,-,-,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
2022,07,群馬県,-,-,3,0.06,10,0.19,7,0.13,306,5.67,5,0.09,9,0.17,-,-,16,0.30,1,0.02,2,0.04,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
2022,07,埼玉県,4,0.02,15,0.10,9,0.06,14,0.09,748,4.76,16,0.10,7,0.04,3,0.02,45,0.29,3,0.02,5,0.03,-,-,5,0.13,-,-,-,-,-,-,-,-,-,-
2022,07,千葉県,1,0.00,-,-,8,0.06,40,0.31,492,3.84,6,0.05,5,0.04,1,0.01,29,0.23,1,0.01,5,0.04,-,-,5,0.15,1,0.11,1,0.11,-,-,-,-,-,-
2022,07,東京都,-,-,3,0.01,13,0.05,28,0.11,1244,4.84,16,0.06,11,0.04,3,0.01,67,0.26,-,-,12,0.05,-,-,3,0.08,-,-,1,0.04,-,-,-,-,-,-
2022,07,神奈川県,1,0.00,2,0.01,6,0.03,37,0.17,768,3.57,8,0.04,9,0.04,2,0.01,38,0.18,3,0.01,5,0.02,-,-,11,0.22,-,-,-,-,-,-,-,-,-,-
2022,07,新潟県,-,-,-,-,15,0.26,78,1.37,149,2.61,5,0.09,22,0.39,1,0.02,18,0.32,9,0.16,2,0.04,-,-,1,0.10,-,-,-,-,-,-,-,-,-,-
2022,07,富山県,-,-,31,1.07,20,0.69,13,0.45,185,6.38,2,0.07,7,0.24,-,-,4,0.14,6,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,石川県,1,0.02,7,0.24,8,0.28,7,0.24,133,4.59,8,0.28,2,0.07,-,-,6,0.21,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,福井県,-,-,4,0.17,3,0.13,10,0.43,168,7.30,1,0.04,21,0.91,2,0.09,9,0.39,7,0.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,山梨県,-,-,-,-,-,-,-,-,79,3.29,1,0.04,1,0.04,-,-,4,0.17,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,長野県,-,-,-,-,8,0.15,6,0.11,215,3.98,6,0.11,1,0.02,1,0.02,15,0.28,1,0.02,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,岐阜県,1,0.01,11,0.21,7,0.13,14,0.27,171,3.29,1,0.02,4,0.08,-,-,8,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,静岡県,-,-,2,0.02,11,0.12,4,0.04,484,5.44,4,0.04,2,0.02,1,0.01,15,0.17,1,0.01,-,-,-,-,3,0.14,1,0.10,1,0.10,-,-,-,-,-,-
2022,07,愛知県,-,-,51,0.28,14,0.08,44,0.24,633,3.48,6,0.03,5,0.03,1,0.01,23,0.13,2,0.01,3,0.02,-,-,7,0.20,-,-,-,-,-,-,-,-,-,-
2022,07,三重県,-,-,1,0.02,2,0.04,8,0.18,280,6.22,2,0.04,5,0.11,1,0.02,14,0.31,1,0.02,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,滋賀県,-,-,5,0.14,5,0.14,10,0.28,145,4.03,-,-,4,0.11,-,-,7,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,京都府,1,0.01,-,-,9,0.12,13,0.17,167,2.20,-,-,1,0.01,-,-,10,0.13,1,0.01,2,0.03,-,-,2,0.11,-,-,-,-,-,-,-,-,-,-
2022,07,大阪府,-,-,21,0.11,15,0.08,26,0.13,511,2.59,10,0.05,-,-,3,0.02,44,0.22,1,0.01,6,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,兵庫県,-,-,17,0.13,24,0.19,34,0.27,632,4.98,2,0.02,6,0.05,1,0.01,29,0.23,-,-,3,0.02,-,-,7,0.20,-,-,-,-,-,-,-,-,-,-
2022,07,奈良県,-,-,4,0.12,1,0.03,1,0.03,143,4.21,2,0.06,-,-,-,-,7,0.21,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,07,和歌山県,1,0.02,1,0.03,4,0.13,6,0.20,119,3.97,1,0.03,4,0.13,-,-,6,0.20,-,-,2,0.07,-,-,3,0.75,-,-,-,-,-,-,-,-,-,-
2022,07,鳥取県,-,-,-,-,5,0.26,51,2.68,67,3.53,-,-,19,1.00,-,-,5,0.26,-,-,-,-,-,-,1,0.20,-,-,-,-,-,-,-,-,-,-
