年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2023,14,総数,13580,2.77,1662,0.53,539,0.17,1537,0.49,11647,3.72,301,0.10,295,0.09,30,0.01,752,0.24,319,0.10,95,0.03,4,0.01,191,0.28,7,0.01,14,0.03,10,0.02,-,-,2,0.00
2023,14,北海道,719,3.21,216,1.55,22,0.16,118,0.85,279,2.01,15,0.11,-,-,2,0.01,20,0.14,2,0.01,2,0.01,-,-,-,-,-,-,-,-,1,0.04,-,-,-,-
2023,14,青森県,429,7.03,12,0.30,3,0.08,4,0.10,101,2.53,2,0.05,-,-,-,-,6,0.15,-,-,1,0.03,-,-,1,0.10,1,0.17,-,-,-,-,-,-,-,-
2023,14,岩手県,214,3.51,29,0.74,2,0.05,33,0.85,124,3.18,2,0.05,2,0.05,-,-,13,0.33,-,-,-,-,-,-,4,0.29,1,0.05,1,0.05,-,-,-,-,-,-
2023,14,宮城県,434,4.67,23,0.41,3,0.05,18,0.32,209,3.73,3,0.05,1,0.02,-,-,18,0.32,-,-,2,0.04,-,-,4,0.33,-,-,-,-,1,0.08,-,-,-,-
2023,14,秋田県,287,5.52,1,0.03,-,-,11,0.32,78,2.29,1,0.03,-,-,-,-,8,0.24,1,0.03,1,0.03,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
2023,14,山形県,479,11.14,3,0.11,4,0.14,10,0.36,62,2.21,2,0.07,1,0.04,-,-,4,0.14,-,-,-,-,-,-,-,-,-,-,-,-,1,0.10,-,-,-,-
2023,14,福島県,195,2.35,32,0.64,7,0.14,20,0.40,124,2.48,2,0.04,-,-,1,0.02,20,0.40,-,-,-,-,-,-,4,0.31,-,-,-,-,-,-,-,-,-,-
2023,14,茨城県,209,1.74,4,0.05,14,0.19,35,0.47,151,2.01,6,0.08,4,0.05,1,0.01,6,0.08,3,0.04,2,0.03,-,-,21,1.24,-,-,-,-,1,0.08,-,-,-,-
2023,14,栃木県,212,2.79,8,0.17,3,0.06,20,0.42,94,1.96,6,0.13,1,0.02,-,-,11,0.23,-,-,2,0.04,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
