年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,05,総数,41,0.01,1050,0.34,526,0.17,1235,0.40,17903,5.74,189,0.06,606,0.19,42,0.01,753,0.24,90,0.03,84,0.03,7,0.01,112,0.16,8,0.02,5,0.01,3,0.01,-,-,4,0.01
2022,05,北海道,1,0.00,98,0.71,25,0.18,95,0.68,173,1.24,11,0.08,2,0.01,2,0.01,23,0.17,3,0.02,6,0.04,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-
2022,05,青森県,1,0.02,-,-,2,0.05,24,0.57,174,4.14,3,0.07,15,0.36,-,-,10,0.24,-,-,1,0.02,-,-,-,-,-,-,-,-,2,0.33,-,-,-,-
2022,05,岩手県,-,-,15,0.38,10,0.25,32,0.80,216,5.40,3,0.08,2,0.05,-,-,11,0.28,4,0.10,2,0.05,-,-,1,0.07,-,-,-,-,-,-,-,-,1,0.05
2022,05,宮城県,-,-,4,0.07,9,0.16,17,0.29,486,8.38,9,0.16,11,0.19,1,0.02,19,0.33,4,0.07,3,0.05,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
2022,05,秋田県,1,0.02,8,0.24,6,0.18,18,0.53,141,4.15,2,0.06,-,-,-,-,4,0.12,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,05,山形県,-,-,-,-,6,0.21,21,0.72,322,11.10,3,0.10,1,0.03,-,-,10,0.34,2,0.07,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,05,福島県,-,-,5,0.10,10,0.20,35,0.70,314,6.28,1,0.02,25,0.50,2,0.04,24,0.48,7,0.14,1,0.02,-,-,5,0.38,-,-,1,0.14,-,-,-,-,-,-
2022,05,茨城県,3,0.03,5,0.07,6,0.08,16,0.21,333,4.44,9,0.12,2,0.03,-,-,13,0.17,-,-,-,-,-,-,9,0.53,-,-,-,-,1,0.08,-,-,-,-
2022,05,栃木県,1,0.01,6,0.13,3,0.06,12,0.25,161,3.35,1,0.02,19,0.40,-,-,15,0.31,1,0.02,-,-,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
2022,05,群馬県,-,-,5,0.09,7,0.13,7,0.13,330,6.11,2,0.04,5,0.09,1,0.02,13,0.24,2,0.04,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
