年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,23,総数,7,0.00,838,0.27,1311,0.42,1087,0.35,17049,5.42,251,0.08,807,0.26,26,0.01,1285,0.41,166,0.05,127,0.04,1,0.00,148,0.21,5,0.01,10,0.02,8,0.02,-,-,-,-
2022,23,北海道,-,-,47,0.34,78,0.56,68,0.49,577,4.15,14,0.10,4,0.03,-,-,25,0.18,2,0.01,3,0.02,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-
2022,23,青森県,-,-,-,-,8,0.19,3,0.07,122,2.90,-,-,1,0.02,-,-,16,0.38,-,-,1,0.02,-,-,6,0.55,-,-,-,-,1,0.17,-,-,-,-
2022,23,岩手県,1,0.02,1,0.03,16,0.40,11,0.28,239,5.98,6,0.15,1,0.03,-,-,12,0.30,1,0.03,2,0.05,-,-,4,0.29,1,0.05,1,0.05,-,-,-,-,-,-
2022,23,宮城県,-,-,3,0.05,8,0.14,5,0.09,374,6.56,1,0.02,4,0.07,-,-,36,0.63,-,-,2,0.04,-,-,2,0.17,-,-,-,-,1,0.08,-,-,-,-
2022,23,秋田県,-,-,10,0.29,8,0.24,9,0.26,86,2.53,3,0.09,-,-,-,-,6,0.18,3,0.09,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,23,山形県,-,-,-,-,22,0.76,14,0.48,183,6.31,-,-,-,-,-,-,13,0.45,1,0.03,-,-,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
2022,23,福島県,-,-,15,0.30,24,0.48,17,0.34,196,3.92,7,0.14,1,0.02,-,-,34,0.68,1,0.02,1,0.02,-,-,8,0.62,-,-,-,-,1,0.14,-,-,-,-
2022,23,茨城県,-,-,5,0.07,20,0.27,27,0.36,248,3.31,1,0.01,23,0.31,-,-,22,0.29,6,0.08,-,-,-,-,6,0.35,-,-,-,-,-,-,-,-,-,-
2022,23,栃木県,-,-,3,0.06,7,0.15,21,0.44,114,2.38,4,0.08,9,0.19,1,0.02,17,0.35,3,0.06,2,0.04,-,-,3,0.25,1,0.14,-,-,-,-,-,-,-,-
2022,23,群馬県,-,-,-,-,15,0.28,8,0.15,251,4.65,5,0.09,42,0.78,1,0.02,25,0.46,3,0.06,1,0.02,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
2022,23,埼玉県,-,-,24,0.15,45,0.28,15,0.09,1067,6.63,16,0.10,28,0.17,2,0.01,72,0.45,14,0.09,7,0.04,-,-,16,0.40,-,-,1,0.09,-,-,-,-,-,-
2022,23,千葉県,-,-,23,0.18,30,0.23,56,0.44,687,5.37,20,0.16,80,0.63,1,0.01,50,0.39,26,0.20,6,0.05,-,-,4,0.12,-,-,1,0.11,-,-,-,-,-,-
2022,23,東京都,3,0.01,45,0.18,100,0.39,50,0.19,1778,6.92,18,0.07,66,0.26,3,0.01,106,0.41,18,0.07,12,0.05,-,-,6,0.16,-,-,-,-,-,-,-,-,-,-
2022,23,神奈川県,-,-,48,0.22,48,0.22,48,0.22,1384,6.21,30,0.13,47,0.21,3,0.01,96,0.43,8,0.04,12,0.05,-,-,19,0.38,2,0.18,-,-,1,0.09,-,-,-,-
2022,23,新潟県,-,-,-,-,48,0.84,53,0.93,336,5.89,5,0.09,22,0.39,-,-,27,0.47,7,0.12,2,0.04,-,-,4,0.40,-,-,-,-,-,-,-,-,-,-
2022,23,富山県,-,-,3,0.10,31,1.07,12,0.41,183,6.31,-,-,21,0.72,-,-,9,0.31,1,0.03,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,23,石川県,-,-,-,-,19,0.66,4,0.14,148,5.10,3,0.10,-,-,-,-,5,0.17,-,-,2,0.07,-,-,2,0.29,-,-,1,0.20,1,0.20,-,-,-,-
2022,23,福井県,-,-,7,0.30,11,0.48,12,0.52,134,5.83,1,0.04,27,1.17,-,-,4,0.17,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,23,山梨県,-,-,1,0.04,1,0.04,2,0.08,102,4.25,-,-,-,-,-,-,8,0.33,-,-,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
2022,23,長野県,-,-,4,0.08,6,0.11,6,0.11,349,6.58,4,0.08,8,0.15,4,0.08,12,0.23,3,0.06,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,23,岐阜県,-,-,44,0.83,13,0.25,5,0.09,191,3.60,2,0.04,2,0.04,-,-,13,0.25,-,-,-,-,-,-,2,0.18,-,-,-,-,-,-,-,-,-,-
2022,23,静岡県,-,-,7,0.08,15,0.17,18,0.20,380,4.27,8,0.09,12,0.13,-,-,24,0.27,1,0.01,5,0.06,-,-,4,0.18,-,-,-,-,-,-,-,-,-,-
2022,23,愛知県,1,0.01,198,1.09,50,0.27,53,0.29,891,4.90,8,0.04,20,0.11,1,0.01,83,0.46,1,0.01,9,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,23,三重県,-,-,32,0.71,38,0.84,9,0.20,263,5.84,7,0.16,6,0.13,-,-,19,0.42,1,0.02,-,-,-,-,-,-,-,-,2,0.22,-,-,-,-,-,-
2022,23,滋賀県,-,-,7,0.19,17,0.46,34,0.92,172,4.65,5,0.14,1,0.03,-,-,13,0.35,5,0.14,2,0.05,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
2022,23,京都府,-,-,29,0.39,56,0.75,10,0.13,295,3.93,4,0.05,5,0.07,-,-,20,0.27,4,0.05,2,0.03,-,-,1,0.06,-,-,1,0.14,-,-,-,-,-,-
2022,23,大阪府,1,0.00,97,0.49,149,0.76,70,0.36,1203,6.14,15,0.08,13,0.07,1,0.01,63,0.32,11,0.06,11,0.06,-,-,11,0.22,-,-,-,-,-,-,-,-,-,-
2022,23,兵庫県,-,-,29,0.22,60,0.47,36,0.28,889,6.89,13,0.10,11,0.09,2,0.02,50,0.39,5,0.04,3,0.02,-,-,4,0.11,-,-,-,-,-,-,-,-,-,-
2022,23,奈良県,-,-,3,0.09,16,0.47,5,0.15,181,5.32,4,0.12,3,0.09,-,-,9,0.26,-,-,3,0.09,-,-,2,0.20,-,-,-,-,-,-,-,-,-,-
2022,23,和歌山県,-,-,-,-,10,0.33,4,0.13,86,2.87,2,0.07,-,-,-,-,11,0.37,1,0.03,3,0.10,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
2022,23,鳥取県,-,-,1,0.05,14,0.74,27,1.42,102,5.37,1,0.05,8,0.42,-,-,5,0.26,-,-,1,0.05,-,-,3,0.60,-,-,-,-,-,-,-,-,-,-
2022,23,島根県,-,-,16,0.70,7,0.30,4,0.17,169,7.35,2,0.09,28,1.22,-,-,16,0.70,1,0.04,1,0.04,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-
2022,23,岡山県,1,0.01,2,0.04,10,0.19,8,0.15,238,4.41,4,0.07,6,0.11,-,-,9,0.17,1,0.02,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,23,広島県,-,-,16,0.22,34,0.47,19,0.26,431,5.99,3,0.04,11,0.15,-,-,14,0.19,3,0.04,3,0.04,-,-,7,0.37,-,-,-,-,1,0.05,-,-,-,-
2022,23,山口県,-,-,10,0.22,11,0.24,45,1.00,205,4.56,1,0.02,-,-,-,-,15,0.33,3,0.07,2,0.04,-,-,2,0.22,-,-,-,-,-,-,-,-,-,-
2022,23,徳島県,-,-,3,0.13,7,0.30,3,0.13,94,4.09,-,-,1,0.04,-,-,14,0.61,1,0.04,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,23,香川県,-,-,-,-,8,0.29,8,0.29,158,5.64,1,0.04,-,-,1,0.04,14,0.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,23,愛媛県,-,-,25,0.68,13,0.35,17,0.46,248,6.70,2,0.05,1,0.03,-,-,24,0.65,1,0.03,4,0.11,-,-,8,1.00,-,-,-,-,-,-,-,-,-,-
2022,23,高知県,-,-,-,-,13,0.46,6,0.21,71,2.54,1,0.04,2,0.07,-,-,16,0.57,1,0.04,2,0.07,-,-,2,0.67,-,-,-,-,1,0.13,-,-,-,-
2022,23,福岡県,-,-,31,0.26,72,0.60,162,1.35,828,6.90,5,0.04,45,0.38,2,0.02,101,0.84,4,0.03,7,0.06,1,0.04,2,0.08,1,0.07,-,-,-,-,-,-,-,-
2022,23,佐賀県,-,-,6,0.26,19,0.83,15,0.65,67,2.91,1,0.04,5,0.22,-,-,20,0.87,-,-,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-
2022,23,長崎県,-,-,1,0.02,24,0.56,38,0.88,98,2.28,3,0.07,16,0.37,1,0.02,22,0.51,1,0.02,3,0.07,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
2022,23,熊本県,-,-,-,-,13,0.26,6,0.12,350,7.00,4,0.08,8,0.16,2,0.04,38,0.76,4,0.08,-,-,-,-,3,0.33,-,-,-,-,-,-,-,-,-,-
2022,23,大分県,-,-,14,0.39,11,0.31,7,0.19,269,7.47,2,0.06,36,1.00,-,-,15,0.42,1,0.03,2,0.06,-,-,2,0.40,-,-,-,-,1,0.09,-,-,-,-
2022,23,宮崎県,-,-,20,0.56,15,0.42,8,0.22,171,4.75,7,0.19,14,0.39,-,-,25,0.69,3,0.08,2,0.06,-,-,1,0.17,-,-,-,-,-,-,-,-,-,-
2022,23,鹿児島県,-,-,7,0.13,62,1.17,12,0.23,376,7.09,4,0.08,66,1.25,1,0.02,31,0.58,6,0.11,3,0.06,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,23,沖縄県,-,-,1,0.03,9,0.26,17,0.50,65,1.91,4,0.12,103,3.03,-,-,6,0.18,8,0.24,2,0.06,-,-,1,0.11,-,-,1,0.14,-,-,-,-,-,-
2022,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
