年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,09,総数,86175,22.66,1134,0.49,493,0.21,5096,2.21,14538,6.31,663,0.29,123,0.05,286,0.12,423,0.18,29,0.01,44,0.02,7,0.01,249,0.36,9,0.02,16,0.03,119,0.25,5,0.01,30,0.06,5105,1.34
2026,09,北海道,3850,23.05,88,0.88,26,0.26,542,5.42,417,4.17,65,0.65,2,0.02,17,0.17,15,0.15,2,0.02,3,0.03,-,-,4,0.14,-,-,-,-,6,0.26,-,-,3,0.13,520,3.11
2026,09,青森県,1419,27.29,4,0.12,11,0.32,61,1.79,100,2.94,4,0.12,1,0.03,1,0.03,7,0.21,-,-,-,-,-,-,-,-,-,-,-,-,3,0.50,-,-,-,-,163,3.13
2026,09,岩手県,1384,32.95,19,0.70,8,0.30,97,3.59,198,7.33,6,0.22,-,-,17,0.63,11,0.41,-,-,-,-,-,-,4,0.29,-,-,1,0.05,5,0.26,-,-,4,0.21,183,4.36
2026,09,宮城県,1156,21.02,6,0.19,2,0.06,46,1.48,190,6.13,7,0.23,-,-,1,0.03,2,0.06,-,-,-,-,-,-,7,0.58,-,-,-,-,1,0.10,-,-,-,-,131,2.38
2026,09,秋田県,472,18.88,2,0.15,1,0.08,41,3.15,67,5.15,7,0.54,1,0.08,-,-,3,0.23,-,-,1,0.08,-,-,2,0.29,-,-,-,-,5,0.63,-,-,-,-,99,3.96
2026,09,山形県,975,25.00,15,0.58,2,0.08,99,3.81,234,9.00,21,0.81,-,-,-,-,9,0.35,-,-,1,0.04,-,-,12,1.50,-,-,-,-,2,0.20,-,-,-,-,85,2.18
2026,09,福島県,1292,26.92,24,0.86,4,0.14,54,1.93,176,6.29,12,0.43,-,-,1,0.04,5,0.18,-,-,-,-,-,-,8,0.62,-,-,-,-,2,0.29,-,-,1,0.14,107,2.23
2026,09,茨城県,1436,21.43,15,0.41,2,0.05,141,3.81,261,7.05,7,0.19,1,0.03,3,0.08,6,0.16,1,0.03,4,0.11,-,-,18,1.06,-,-,-,-,5,0.38,-,-,1,0.08,161,2.40
2026,09,栃木県,1151,24.49,16,0.59,1,0.04,86,3.19,149,5.52,4,0.15,-,-,2,0.07,9,0.33,-,-,-,-,-,-,5,0.42,-,-,-,-,5,0.71,-,-,1,0.14,133,2.83
2026,09,群馬県,1158,25.73,10,0.40,2,0.08,40,1.60,285,11.40,11,0.44,-,-,2,0.08,9,0.36,-,-,-,-,-,-,8,0.80,-,-,-,-,5,0.56,1,0.11,-,-,91,2.02
2026,09,埼玉県,5286,30.21,32,0.29,16,0.15,205,1.88,784,7.19,29,0.27,5,0.05,4,0.04,21,0.19,-,-,4,0.04,2,0.05,8,0.19,-,-,1,0.08,6,0.50,-,-,1,0.08,286,1.63
2026,09,千葉県,3989,21.92,12,0.11,21,0.19,223,2.03,512,4.65,30,0.27,4,0.04,5,0.05,6,0.05,1,0.01,2,0.02,-,-,15,0.44,-,-,1,0.11,2,0.22,-,-,1,0.11,254,1.40
2026,09,東京都,8016,19.18,51,0.19,45,0.17,311,1.18,2019,7.68,75,0.29,11,0.04,6,0.02,45,0.17,-,-,5,0.02,-,-,3,0.08,-,-,-,-,4,0.16,2,0.08,5,0.20,373,0.89
2026,09,神奈川県,5277,21.72,56,0.40,9,0.06,258,1.83,1023,7.26,38,0.27,-,-,6,0.04,21,0.15,-,-,6,0.04,-,-,30,0.59,1,0.08,1,0.08,2,0.17,-,-,-,-,318,1.31
2026,09,新潟県,1577,28.67,12,0.40,6,0.20,117,3.90,129,4.30,10,0.33,-,-,14,0.47,2,0.07,-,-,2,0.07,-,-,-,-,-,-,-,-,5,0.38,-,-,-,-,160,2.91
2026,09,富山県,1464,31.15,9,0.31,13,0.45,167,5.76,259,8.93,2,0.07,-,-,1,0.03,6,0.21,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-,76,1.62
2026,09,石川県,1617,34.40,19,0.68,7,0.25,104,3.71,277,9.89,13,0.46,9,0.32,-,-,6,0.21,1,0.04,1,0.04,-,-,9,1.29,-,-,-,-,1,0.20,-,-,-,-,74,1.57
2026,09,福井県,929,23.82,16,0.64,8,0.32,66,2.64,144,5.76,13,0.52,24,0.96,3,0.12,6,0.24,5,0.20,-,-,-,-,-,-,-,-,1,0.17,5,0.83,-,-,-,-,31,0.79
2026,09,山梨県,539,15.40,3,0.14,-,-,15,0.71,59,2.81,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,2,0.22,-,-,-,-,1,0.10,-,-,-,-,52,1.49
2026,09,長野県,1858,37.16,12,0.43,2,0.07,72,2.57,275,9.82,15,0.54,-,-,2,0.07,6,0.21,-,-,1,0.04,-,-,9,0.90,-,-,-,-,4,0.33,-,-,-,-,137,2.74
2026,09,岐阜県,865,19.22,16,0.59,1,0.04,34,1.26,205,7.59,5,0.19,-,-,7,0.26,4,0.15,1,0.04,1,0.04,-,-,2,0.18,-,-,-,-,4,0.80,1,0.20,-,-,70,1.56
2026,09,静岡県,2172,15.63,22,0.25,10,0.11,82,0.92,502,5.64,15,0.17,9,0.10,17,0.19,15,0.17,-,-,-,-,-,-,2,0.09,-,-,-,-,1,0.10,-,-,-,-,172,1.24
2026,09,愛知県,3964,24.32,62,0.61,8,0.08,90,0.89,599,5.93,18,0.18,2,0.02,12,0.12,21,0.21,-,-,1,0.01,-,-,7,0.20,-,-,3,0.20,3,0.20,-,-,2,0.13,188,1.15
2026,09,三重県,1350,19.57,18,0.42,5,0.12,66,1.53,271,6.30,9,0.21,1,0.02,-,-,8,0.19,-,-,-,-,-,-,-,-,-,-,-,-,2,0.22,-,-,-,-,44,0.64
2026,09,滋賀県,1311,22.60,13,0.37,3,0.09,51,1.46,211,6.03,10,0.29,-,-,1,0.03,5,0.14,-,-,-,-,-,-,-,-,1,0.14,2,0.29,1,0.14,-,-,-,-,43,0.74
2026,09,京都府,1714,25.58,14,0.35,16,0.40,118,2.95,235,5.88,21,0.53,-,-,2,0.05,7,0.18,-,-,1,0.03,-,-,-,-,-,-,1,0.14,4,0.57,-,-,1,0.14,87,1.30
