年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2015,08,総数,40817,8.26,1420,,980,0.31,9063,2.88,23744,7.54,1586,0.50,953,0.30,952,0.30,1345,0.43,29,0.01,58,0.02,958,0.30,7,0.01,277,0.40,8,0.02,11,0.02,94,0.20,5,0.01,147,0.31
2015,08,北海道,2458,10.83,69,,72,0.50,547,3.83,424,2.97,61,0.43,51,0.36,41,0.29,46,0.32,-,-,1,0.01,67,0.47,-,-,14,0.50,-,-,-,-,1,0.04,-,-,-,-
2015,08,青森県,602,9.26,12,,8,0.19,50,1.19,151,3.60,42,1.00,-,-,19,0.45,13,0.31,-,-,-,-,4,0.10,-,-,3,0.27,1,0.17,-,-,-,-,-,-,5,0.83
2015,08,岩手県,812,12.49,20,,5,0.13,144,3.60,279,6.98,17,0.43,-,-,15,0.38,17,0.43,-,-,-,-,6,0.15,-,-,2,0.14,-,-,1,0.05,8,0.42,-,-,11,0.58
2015,08,宮城県,708,7.61,12,,16,0.28,199,3.43,689,11.88,65,1.12,1,0.02,47,0.81,26,0.45,-,-,1,0.02,8,0.14,-,-,5,0.42,1,0.08,-,-,7,0.58,-,-,4,0.33
2015,08,秋田県,638,11.81,1,,5,0.14,49,1.40,186,5.31,9,0.26,1,0.03,3,0.09,5,0.14,-,-,-,-,18,0.51,-,-,-,-,-,-,-,-,4,0.50,-,-,-,-
2015,08,山形県,333,7.09,6,,18,0.62,184,6.34,278,9.59,17,0.59,35,1.21,6,0.21,21,0.72,-,-,-,-,20,0.69,-,-,-,-,-,-,-,-,-,-,-,-,1,0.10
2015,08,福島県,684,9.00,20,,17,0.38,109,2.42,346,7.69,15,0.33,20,0.44,7,0.16,18,0.40,1,0.02,-,-,21,0.47,-,-,7,0.58,-,-,2,0.29,5,0.71,-,-,8,1.14
2015,08,茨城県,659,5.49,10,,20,0.27,241,3.21,559,7.45,24,0.32,16,0.21,19,0.25,23,0.31,1,0.01,-,-,12,0.16,-,-,11,0.65,-,-,-,-,3,0.23,-,-,4,0.31
2015,08,栃木県,732,9.63,8,,9,0.19,82,1.71,230,4.79,13,0.27,9,0.19,7,0.15,28,0.58,1,0.02,-,-,8,0.17,-,-,3,0.25,-,-,-,-,-,-,-,-,3,0.43
2015,08,群馬県,803,8.19,20,,17,0.28,196,3.27,364,6.07,13,0.22,31,0.52,11,0.18,27,0.45,-,-,2,0.03,20,0.33,-,-,11,0.79,-,-,-,-,2,0.25,-,-,3,0.38
2015,08,埼玉県,1567,6.32,42,,47,0.30,547,3.48,1398,8.90,138,0.88,11,0.07,66,0.42,76,0.48,1,0.01,-,-,78,0.50,-,-,17,0.41,1,0.10,-,-,4,0.40,-,-,7,0.70
2015,08,千葉県,2049,9.62,23,,31,0.23,465,3.50,1030,7.74,54,0.41,12,0.09,65,0.49,51,0.38,2,0.02,1,0.01,33,0.25,-,-,21,0.64,-,-,-,-,2,0.22,-,-,2,0.22
2015,08,東京都,2213,5.33,81,,48,0.18,702,2.69,2196,8.41,122,0.47,23,0.09,174,0.67,118,0.45,8,0.03,3,0.01,67,0.26,-,-,7,0.18,1,0.04,1,0.04,6,0.24,-,-,3,0.12
2015,08,神奈川県,2204,6.66,51,,31,0.15,576,2.77,1658,7.97,113,0.54,30,0.14,139,0.67,97,0.47,2,0.01,1,0.00,24,0.12,-,-,38,0.81,-,-,-,-,-,-,-,-,7,0.78
2015,08,新潟県,1285,13.39,20,,50,0.82,278,4.56,463,7.59,47,0.77,5,0.08,28,0.46,26,0.43,-,-,1,0.02,5,0.08,-,-,8,0.80,-,-,-,-,3,0.23,-,-,-,-
2015,08,富山県,479,9.98,3,,32,1.10,70,2.41,231,7.97,34,1.17,11,0.38,3,0.10,7,0.24,-,-,8,0.28,6,0.21,-,-,-,-,-,-,-,-,1,0.20,-,-,4,0.80
2015,08,石川県,599,12.48,3,,8,0.28,181,6.24,222,7.66,15,0.52,-,-,28,0.97,15,0.52,-,-,-,-,21,0.72,-,-,1,0.14,-,-,-,-,5,1.00,-,-,2,0.40
2015,08,福井県,630,19.69,23,,11,0.50,74,3.36,256,11.64,14,0.64,17,0.77,1,0.05,11,0.50,-,-,1,0.05,18,0.82,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-
2015,08,山梨県,202,5.05,3,,6,0.25,38,1.58,150,6.25,8,0.33,-,-,2,0.08,3,0.13,-,-,-,-,2,0.08,-,-,1,0.11,-,-,-,-,-,-,-,-,3,0.30
2015,08,長野県,881,10.13,8,,7,0.13,177,3.28,456,8.44,15,0.28,3,0.06,13,0.24,13,0.24,1,0.02,1,0.02,2,0.04,-,-,5,0.45,-,-,-,-,2,0.18,-,-,-,-
2015,08,岐阜県,813,9.34,15,,10,0.19,44,0.83,298,5.62,10,0.19,3,0.06,3,0.06,10,0.19,-,-,-,-,4,0.08,-,-,4,0.36,-,-,-,-,-,-,-,-,2,0.40
2015,08,静岡県,967,6.96,29,,11,0.12,400,4.49,600,6.74,34,0.38,20,0.22,22,0.25,27,0.30,-,-,1,0.01,6,0.07,-,-,4,0.18,-,-,-,-,3,0.30,4,0.40,5,0.50
2015,08,愛知県,2111,10.83,21,,62,0.34,385,2.13,1284,7.09,64,0.35,31,0.17,14,0.08,71,0.39,-,-,1,0.01,30,0.17,-,-,8,0.24,-,-,-,-,2,0.14,-,-,1,0.07
