年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2023,15,総数,10587,2.16,2711,0.87,615,0.20,1845,0.59,13149,4.20,283,0.09,417,0.13,43,0.01,806,0.26,577,0.18,114,0.04,7,0.01,166,0.24,7,0.01,11,0.02,10,0.02,-,-,2,0.00
2023,15,北海道,533,2.38,316,2.27,36,0.26,133,0.96,319,2.29,9,0.06,-,-,-,-,11,0.08,3,0.02,3,0.02,-,-,8,0.28,-,-,-,-,1,0.04,-,-,-,-
2023,15,青森県,286,4.69,31,0.78,3,0.08,6,0.15,81,2.03,2,0.05,1,0.03,-,-,6,0.15,-,-,-,-,-,-,1,0.10,-,-,1,0.17,1,0.17,-,-,-,-
2023,15,岩手県,98,1.61,21,0.54,1,0.03,24,0.62,121,3.10,1,0.03,2,0.05,-,-,18,0.46,-,-,-,-,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
2023,15,宮城県,342,3.76,30,0.55,10,0.18,40,0.73,191,3.47,3,0.05,-,-,1,0.02,15,0.27,1,0.02,2,0.04,-,-,5,0.42,-,-,-,-,1,0.10,-,-,-,-
2023,15,秋田県,156,3.00,2,0.06,1,0.03,10,0.29,66,1.94,3,0.09,-,-,-,-,2,0.06,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2023,15,山形県,280,6.51,3,0.11,9,0.32,9,0.32,70,2.50,2,0.07,-,-,-,-,7,0.25,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023,15,福島県,149,1.80,39,0.78,8,0.16,28,0.56,164,3.28,2,0.04,1,0.02,2,0.04,20,0.40,-,-,3,0.06,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
2023,15,茨城県,126,1.05,10,0.13,13,0.17,30,0.40,154,2.05,6,0.08,5,0.07,-,-,4,0.05,6,0.08,3,0.04,1,0.06,12,0.71,-,-,1,0.08,1,0.08,-,-,-,-
2023,15,栃木県,103,1.36,9,0.19,4,0.08,26,0.54,125,2.60,8,0.17,-,-,-,-,12,0.25,-,-,2,0.04,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
