年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,06,総数,164744,43.34,1741,0.75,709,0.31,6708,2.91,21866,9.48,770,0.33,136,0.06,428,0.19,482,0.21,30,0.01,72,0.03,5,0.01,304,0.44,5,0.01,12,0.02,158,0.33,6,0.01,28,0.06,10286,2.71
2026,06,北海道,2803,16.68,131,1.28,24,0.24,644,6.31,626,6.14,60,0.59,4,0.04,20,0.20,13,0.13,2,0.02,1,0.01,-,-,2,0.07,-,-,-,-,14,0.61,-,-,-,-,1359,8.09
2026,06,青森県,1245,23.94,14,0.41,6,0.18,55,1.62,107,3.15,20,0.59,-,-,1,0.03,3,0.09,-,-,-,-,-,-,-,-,-,-,-,-,8,1.33,-,-,-,-,207,3.98
2026,06,岩手県,1554,37.00,27,1.00,3,0.11,92,3.41,231,8.56,8,0.30,-,-,29,1.07,12,0.44,-,-,-,-,-,-,1,0.07,-,-,1,0.05,4,0.21,-,-,-,-,401,9.55
2026,06,宮城県,3345,60.82,26,0.84,2,0.06,111,3.58,209,6.74,4,0.13,-,-,4,0.13,6,0.19,1,0.03,4,0.13,-,-,6,0.50,-,-,-,-,1,0.10,-,-,-,-,285,5.18
2026,06,秋田県,644,25.76,6,0.46,1,0.08,21,1.62,74,5.69,6,0.46,-,-,3,0.23,1,0.08,-,-,-,-,-,-,3,0.43,-,-,-,-,5,0.63,-,-,-,-,88,3.52
2026,06,山形県,1142,29.28,20,0.77,11,0.42,157,6.04,230,8.85,21,0.81,1,0.04,5,0.19,10,0.38,-,-,-,-,-,-,6,0.75,-,-,-,-,2,0.20,-,-,-,-,219,5.62
2026,06,福島県,2555,53.23,31,1.11,6,0.21,60,2.14,210,7.50,12,0.43,1,0.04,4,0.14,8,0.29,-,-,-,-,-,-,9,0.69,-,-,-,-,2,0.29,-,-,1,0.14,256,5.33
2026,06,茨城県,3687,55.03,17,0.46,1,0.03,151,4.08,424,11.46,10,0.27,-,-,-,-,7,0.19,1,0.03,1,0.03,-,-,13,0.76,-,-,-,-,14,1.08,-,-,1,0.08,322,4.81
2026,06,栃木県,2745,58.40,24,0.89,1,0.04,58,2.15,203,7.52,5,0.19,-,-,4,0.15,9,0.33,1,0.04,2,0.07,-,-,8,0.67,-,-,-,-,6,0.86,-,-,1,0.14,335,7.13
