年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,14,総数,12086,3.21,1059,0.47,466,0.21,5058,2.23,10481,4.62,738,0.32,186,0.08,166,0.07,510,0.22,49,0.02,52,0.02,7,0.01,225,0.33,5,0.01,14,0.03,50,0.10,7,0.01,27,0.06,2890,0.77
2026,14,北海道,1438,8.66,48,0.48,28,0.28,513,5.13,340,3.40,50,0.50,4,0.04,13,0.13,7,0.07,2,0.02,-,-,-,-,1,0.03,-,-,-,-,-,-,3,0.13,-,-,141,0.85
2026,14,青森県,248,4.77,16,0.47,7,0.21,62,1.82,117,3.44,2,0.06,1,0.03,2,0.06,3,0.09,-,-,-,-,1,0.10,1,0.10,-,-,-,-,2,0.33,-,-,-,-,130,2.50
2026,14,岩手県,241,5.74,9,0.33,10,0.37,97,3.59,126,4.67,1,0.04,-,-,9,0.33,5,0.19,-,-,-,-,-,-,3,0.21,-,-,-,-,1,0.05,-,-,5,0.26,164,3.90
2026,14,宮城県,195,3.55,6,0.19,5,0.16,65,2.10,109,3.52,9,0.29,-,-,1,0.03,8,0.26,-,-,1,0.03,-,-,5,0.42,-,-,-,-,3,0.30,-,-,-,-,106,1.93
2026,14,秋田県,101,4.04,3,0.23,1,0.08,35,2.69,67,5.15,3,0.23,1,0.08,1,0.08,2,0.15,-,-,1,0.08,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-,63,2.52
2026,14,山形県,254,6.51,44,1.69,9,0.35,109,4.19,117,4.50,11,0.42,3,0.12,-,-,8,0.31,-,-,-,-,-,-,1,0.13,-,-,1,0.10,2,0.20,-,-,-,-,39,1.00
2026,14,福島県,186,3.80,15,0.52,4,0.14,37,1.28,119,4.10,11,0.38,-,-,-,-,4,0.14,1,0.03,3,0.10,-,-,6,0.46,-,-,1,0.14,-,-,-,-,-,-,35,0.71
2026,14,茨城県,121,1.81,9,0.24,3,0.08,116,3.14,155,4.19,4,0.11,2,0.05,1,0.03,5,0.14,-,-,1,0.03,-,-,20,1.25,-,-,-,-,2,0.15,-,-,-,-,57,0.85
2026,14,栃木県,125,2.66,12,0.44,4,0.15,65,2.41,97,3.59,3,0.11,-,-,2,0.07,6,0.22,-,-,1,0.04,-,-,6,0.50,-,-,-,-,1,0.14,-,-,1,0.14,37,0.79
2026,14,群馬県,162,3.60,15,0.60,7,0.28,58,2.32,195,7.80,6,0.24,1,0.04,1,0.04,12,0.48,-,-,1,0.04,-,-,1,0.10,-,-,-,-,4,0.44,-,-,-,-,60,1.33
2026,14,埼玉県,464,2.64,30,0.27,17,0.15,225,2.05,464,4.22,55,0.50,11,0.10,4,0.04,32,0.29,-,-,1,0.01,2,0.05,4,0.09,-,-,2,0.17,3,0.25,1,0.08,-,-,183,1.04
2026,14,千葉県,347,1.92,18,0.17,9,0.08,258,2.37,376,3.45,30,0.28,4,0.04,7,0.06,20,0.18,1,0.01,5,0.05,-,-,10,0.29,-,-,-,-,-,-,-,-,-,-,175,0.97
2026,14,東京都,939,2.25,42,0.16,20,0.08,354,1.35,1242,4.74,88,0.34,9,0.03,5,0.02,64,0.24,2,0.01,7,0.03,-,-,7,0.18,-,-,1,0.04,2,0.08,1,0.04,7,0.28,279,0.67
2026,14,神奈川県,486,2.02,47,0.34,16,0.12,234,1.68,574,4.13,56,0.40,3,0.02,13,0.09,29,0.21,2,0.01,4,0.03,-,-,22,0.43,-,-,-,-,-,-,-,-,-,-,235,0.98
2026,14,新潟県,325,5.91,14,0.47,7,0.23,69,2.30,94,3.13,8,0.27,2,0.07,6,0.20,5,0.17,1,0.03,1,0.03,1,0.11,-,-,-,-,-,-,2,0.15,-,-,-,-,43,0.78
2026,14,富山県,335,6.98,22,0.76,7,0.24,116,4.00,217,7.48,5,0.17,4,0.14,2,0.07,8,0.28,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,1.13
2026,14,石川県,291,6.19,19,0.68,8,0.29,86,3.07,205,7.32,16,0.57,5,0.18,-,-,3,0.11,6,0.21,-,-,-,-,3,0.43,-,-,-,-,-,-,-,-,-,-,36,0.77
2026,14,福井県,217,5.56,19,0.76,8,0.32,100,4.00,109,4.36,7,0.28,22,0.88,4,0.16,6,0.24,5,0.20,1,0.04,-,-,-,-,1,0.17,-,-,3,0.50,-,-,-,-,34,0.87
2026,14,山梨県,66,1.89,-,-,2,0.10,16,0.76,55,2.62,4,0.19,-,-,1,0.05,1,0.05,-,-,-,-,-,-,2,0.22,-,-,-,-,1,0.10,-,-,-,-,45,1.29
