年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,04,兵庫県,3499,21.34,93,0.89,44,0.42,250,2.38,716,6.82,53,0.50,1,0.01,20,0.19,29,0.28,1,0.01,4,0.04,1,0.03,7,0.20,-,-,2,0.14,4,0.29,-,-,2,0.14,246,1.50
2026,04,奈良県,599,14.26,26,1.08,6,0.25,48,2.00,185,7.71,6,0.25,1,0.04,2,0.08,12,0.50,-,-,-,-,-,-,1,0.10,-,-,-,-,-,-,-,-,1,0.17,34,0.81
2026,04,和歌山県,974,21.64,31,1.15,8,0.30,31,1.15,150,5.56,2,0.07,-,-,8,0.30,6,0.22,-,-,1,0.04,-,-,-,-,-,-,-,-,2,0.18,-,-,-,-,54,1.20
2026,04,鳥取県,211,7.28,15,0.79,4,0.21,77,4.05,89,4.68,1,0.05,-,-,2,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0.60,-,-,-,-,50,1.72
2026,04,島根県,322,16.10,37,3.36,15,1.36,28,2.55,104,9.45,13,1.18,-,-,1,0.09,9,0.82,1,0.09,-,-,-,-,1,0.33,-,-,-,-,8,1.00,-,-,-,-,41,2.05
2026,04,岡山県,553,11.06,42,1.50,3,0.11,33,1.18,197,7.04,12,0.43,14,0.50,13,0.46,16,0.57,1,0.04,2,0.07,-,-,1,0.08,-,-,-,-,1,0.20,-,-,1,0.20,86,1.72
2026,04,広島県,841,9.04,28,0.50,24,0.43,139,2.48,369,6.59,11,0.20,1,0.02,8,0.14,4,0.07,-,-,3,0.05,-,-,13,0.68,-,-,1,0.05,9,0.45,-,-,1,0.05,115,1.24
2026,04,山口県,1040,16.51,58,1.45,4,0.10,156,3.90,252,6.30,7,0.18,-,-,35,0.88,14,0.35,1,0.03,2,0.05,-,-,3,0.33,-,-,-,-,4,0.44,-,-,-,-,64,1.02
2026,04,徳島県,374,11.33,18,0.86,2,0.10,16,0.76,100,4.76,7,0.33,-,-,14,0.67,6,0.29,-,-,-,-,-,-,-,-,-,-,-,-,4,0.57,-,-,-,-,70,2.12
2026,04,香川県,164,7.13,14,1.08,6,0.46,10,0.77,100,7.69,2,0.15,-,-,7,0.54,-,-,-,-,-,-,-,-,3,0.60,-,-,1,0.20,1,0.20,-,-,-,-,46,2.00
2026,04,愛媛県,817,22.08,20,1.00,7,0.35,143,7.15,190,9.50,6,0.30,-,-,15,0.75,11,0.55,-,-,-,-,-,-,12,1.50,-,-,-,-,3,0.50,-,-,-,-,88,2.38
2026,04,高知県,854,22.47,10,0.50,-,-,36,1.80,54,2.70,4,0.20,-,-,16,0.80,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,3,0.38,-,-,-,-,104,2.74
2026,04,福岡県,2263,18.55,72,1.03,51,0.73,413,5.90,680,9.71,29,0.41,9,0.13,8,0.11,25,0.36,7,0.10,1,0.01,3,0.12,15,0.58,-,-,-,-,5,0.33,-,-,-,-,76,0.62
2026,04,佐賀県,484,20.17,6,0.50,12,1.00,41,3.42,116,9.67,4,0.33,3,0.25,4,0.33,5,0.42,2,0.17,-,-,-,-,1,0.25,2,0.33,-,-,2,0.33,-,-,-,-,28,1.17
2026,04,長崎県,1168,22.90,14,0.45,48,1.55,67,2.16,236,7.61,10,0.32,18,0.58,17,0.55,9,0.29,2,0.06,-,-,-,-,11,1.38,-,-,1,0.08,7,0.58,-,-,-,-,35,0.69
2026,04,熊本県,1292,17.94,74,1.54,11,0.23,98,2.04,357,7.44,28,0.58,27,0.56,47,0.98,26,0.54,3,0.06,2,0.04,-,-,11,1.22,-,-,-,-,5,0.33,-,-,-,-,56,0.78
2026,04,大分県,1676,28.90,13,0.36,24,0.67,139,3.86,467,12.97,13,0.36,2,0.06,9,0.25,17,0.47,-,-,4,0.11,-,-,3,0.60,-,-,-,-,1,0.09,-,-,-,-,33,0.57
2026,04,宮崎県,822,29.36,13,0.87,27,1.80,38,2.53,164,10.93,7,0.47,4,0.27,8,0.53,8,0.53,-,-,-,-,-,-,9,1.50,-,-,-,-,1,0.14,-,-,-,-,24,0.86
2026,04,鹿児島県,2006,35.19,41,1.32,28,0.90,118,3.81,251,8.10,19,0.61,-,-,56,1.81,12,0.39,-,-,-,-,-,-,6,0.86,-,-,-,-,3,0.25,-,-,-,-,16,0.28
2026,04,沖縄県,721,16.02,2,0.08,8,0.32,35,1.40,127,5.08,25,1.00,1,0.04,4,0.16,5,0.20,1,0.04,-,-,-,-,28,3.11,-,-,1,0.14,-,-,-,-,-,-,26,0.58
2026,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
