年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,06,総数,37,0.01,824,0.26,409,0.13,997,0.32,14269,4.55,180,0.06,422,0.13,38,0.01,716,0.23,69,0.02,54,0.02,1,0.00,83,0.12,6,0.01,4,0.01,4,0.01,-,-,3,0.01
2022,06,北海道,-,-,63,0.46,12,0.09,73,0.53,127,0.92,5,0.04,6,0.04,-,-,15,0.11,-,-,-,-,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-
2022,06,青森県,-,-,-,-,2,0.05,4,0.10,152,3.71,6,0.15,3,0.07,1,0.02,12,0.29,1,0.02,3,0.07,-,-,-,-,-,-,-,-,-,-,-,-,1,0.17
2022,06,岩手県,-,-,19,0.48,10,0.25,35,0.88,226,5.65,2,0.05,1,0.03,-,-,13,0.33,2,0.05,-,-,-,-,1,0.07,-,-,-,-,-,-,-,-,-,-
2022,06,宮城県,3,0.03,18,0.31,10,0.17,19,0.33,281,4.84,2,0.03,2,0.03,1,0.02,22,0.38,5,0.09,-,-,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
2022,06,秋田県,-,-,5,0.15,2,0.06,11,0.32,125,3.68,2,0.06,-,-,-,-,2,0.06,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,山形県,-,-,-,-,5,0.17,16,0.55,221,7.62,-,-,2,0.07,2,0.07,8,0.28,2,0.07,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
2022,06,福島県,-,-,3,0.06,20,0.40,21,0.42,284,5.68,1,0.02,8,0.16,-,-,24,0.48,-,-,1,0.02,-,-,3,0.23,-,-,-,-,-,-,-,-,-,-
2022,06,茨城県,7,0.06,1,0.01,2,0.03,11,0.15,337,4.49,3,0.04,1,0.01,-,-,7,0.09,-,-,-,-,-,-,2,0.12,1,0.08,-,-,2,0.17,-,-,-,-
2022,06,栃木県,-,-,11,0.23,5,0.10,17,0.35,153,3.19,-,-,12,0.25,-,-,17,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,群馬県,-,-,5,0.09,4,0.07,1,0.02,284,5.26,3,0.06,10,0.19,-,-,14,0.26,-,-,3,0.06,-,-,4,0.29,-,-,-,-,-,-,-,-,-,-
2022,06,埼玉県,-,-,1,0.01,5,0.03,24,0.15,775,4.94,12,0.08,4,0.03,6,0.04,44,0.28,-,-,3,0.02,1,0.03,2,0.05,-,-,-,-,-,-,-,-,-,-
2022,06,千葉県,1,0.00,-,-,3,0.02,20,0.15,584,4.49,5,0.04,8,0.06,1,0.01,17,0.13,4,0.03,3,0.02,-,-,3,0.09,1,0.11,-,-,1,0.11,-,-,-,-
2022,06,東京都,-,-,4,0.02,12,0.05,21,0.08,1246,4.98,11,0.04,25,0.10,2,0.01,55,0.22,1,0.00,6,0.02,-,-,3,0.08,-,-,-,-,1,0.04,-,-,-,-
2022,06,神奈川県,1,0.00,1,0.00,10,0.05,33,0.15,837,3.80,15,0.07,16,0.07,-,-,47,0.21,6,0.03,8,0.04,-,-,13,0.25,-,-,-,-,-,-,-,-,-,-
2022,06,新潟県,-,-,-,-,20,0.35,54,0.95,150,2.63,2,0.04,39,0.68,-,-,9,0.16,6,0.11,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,富山県,-,-,62,2.14,23,0.79,15,0.52,188,6.48,1,0.03,1,0.03,1,0.03,4,0.14,2,0.07,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,06,石川県,-,-,2,0.07,14,0.48,20,0.69,167,5.76,4,0.14,-,-,-,-,2,0.07,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,06,福井県,-,-,12,0.52,7,0.30,5,0.22,170,7.39,4,0.17,26,1.13,2,0.09,6,0.26,4,0.17,-,-,-,-,1,0.33,1,0.17,-,-,-,-,-,-,-,-
2022,06,山梨県,-,-,3,0.13,-,-,2,0.08,81,3.38,1,0.04,3,0.13,-,-,5,0.21,-,-,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
2022,06,長野県,-,-,3,0.06,5,0.09,6,0.11,196,3.63,5,0.09,3,0.06,1,0.02,5,0.09,5,0.09,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,岐阜県,-,-,5,0.09,10,0.19,3,0.06,153,2.89,1,0.02,4,0.08,-,-,5,0.09,-,-,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,静岡県,-,-,4,0.04,11,0.12,9,0.10,545,6.12,7,0.08,4,0.04,4,0.04,18,0.20,2,0.02,1,0.01,-,-,4,0.18,-,-,1,0.10,-,-,-,-,-,-
2022,06,愛知県,3,0.02,33,0.18,8,0.04,60,0.33,700,3.85,9,0.05,7,0.04,-,-,32,0.18,1,0.01,3,0.02,-,-,5,0.14,1,0.07,-,-,-,-,-,-,-,-
2022,06,三重県,-,-,-,-,7,0.16,6,0.14,270,6.14,2,0.05,7,0.16,1,0.02,10,0.23,-,-,-,-,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
2022,06,滋賀県,1,0.02,3,0.08,2,0.06,11,0.31,122,3.39,1,0.03,5,0.14,1,0.03,9,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,京都府,4,0.03,4,0.05,7,0.09,11,0.14,161,2.12,-,-,3,0.04,1,0.01,6,0.08,-,-,1,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,大阪府,4,0.01,18,0.09,26,0.13,35,0.18,519,2.63,2,0.01,5,0.03,2,0.01,35,0.18,3,0.02,1,0.01,-,-,2,0.04,-,-,-,-,-,-,-,-,-,-
2022,06,兵庫県,-,-,7,0.06,6,0.05,14,0.11,708,5.57,3,0.02,19,0.15,1,0.01,22,0.17,4,0.03,2,0.02,-,-,5,0.14,-,-,2,0.14,-,-,-,-,-,-
2022,06,奈良県,-,-,6,0.18,1,0.03,3,0.09,130,3.82,4,0.12,2,0.06,1,0.03,7,0.21,-,-,-,-,-,-,1,0.10,-,-,-,-,-,-,-,-,-,-
2022,06,和歌山県,-,-,-,-,1,0.03,8,0.27,111,3.70,-,-,4,0.13,1,0.03,7,0.23,-,-,-,-,-,-,-,-,1,0.09,1,0.09,-,-,-,-,-,-
2022,06,鳥取県,-,-,3,0.16,8,0.42,63,3.32,71,3.74,-,-,31,1.63,3,0.16,3,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,島根県,-,-,5,0.22,2,0.09,2,0.09,115,5.00,2,0.09,24,1.04,-,-,8,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.13
2022,06,岡山県,7,0.08,3,0.06,5,0.09,6,0.11,309,5.72,1,0.02,14,0.26,1,0.02,10,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,06,広島県,-,-,29,0.40,15,0.21,11,0.15,291,3.99,2,0.03,24,0.33,1,0.01,14,0.19,5,0.07,1,0.01,-,-,2,0.11,-,-,-,-,-,-,-,-,-,-
2022,06,山口県,-,-,1,0.02,10,0.22,25,0.54,167,3.63,1,0.02,6,0.13,-,-,17,0.37,4,0.09,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
2022,06,徳島県,-,-,1,0.04,8,0.35,5,0.22,75,3.26,3,0.13,4,0.17,-,-,9,0.39,-,-,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
