年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2026,12,総数,37043,9.75,1240,0.54,537,0.23,6049,2.63,12759,5.54,781,0.34,139,0.06,225,0.10,427,0.19,33,0.01,55,0.02,9,0.01,210,0.30,9,0.02,13,0.03,101,0.21,4,0.01,36,0.07,4079,1.07
2026,12,北海道,3583,21.58,71,0.71,22,0.22,675,6.75,306,3.06,77,0.77,-,-,15,0.15,14,0.14,1,0.01,3,0.03,-,-,2,0.07,-,-,-,-,1,0.04,1,0.04,3,0.13,229,1.38
2026,12,青森県,738,14.19,15,0.44,11,0.32,50,1.47,71,2.09,12,0.35,-,-,2,0.06,5,0.15,-,-,-,-,-,-,-,-,-,-,-,-,6,1.00,-,-,-,-,148,2.85
2026,12,岩手県,616,14.67,13,0.48,8,0.30,94,3.48,142,5.26,3,0.11,2,0.07,7,0.26,3,0.11,1,0.04,-,-,-,-,1,0.07,1,0.05,-,-,1,0.05,-,-,1,0.05,168,4.00
2026,12,宮城県,403,7.33,15,0.48,3,0.10,62,2.00,125,4.03,10,0.32,-,-,2,0.06,1,0.03,-,-,2,0.06,-,-,1,0.08,-,-,-,-,1,0.10,-,-,-,-,129,2.35
2026,12,秋田県,258,10.32,3,0.23,-,-,30,2.31,83,6.38,7,0.54,-,-,1,0.08,2,0.15,-,-,1,0.08,-,-,4,0.57,-,-,-,-,1,0.13,-,-,-,-,74,2.96
2026,12,山形県,538,13.79,46,1.77,4,0.15,119,4.58,158,6.08,17,0.65,-,-,3,0.12,11,0.42,-,-,-,-,-,-,5,0.63,-,-,-,-,-,-,-,-,-,-,67,1.72
2026,12,福島県,545,11.35,12,0.43,3,0.11,52,1.86,150,5.36,7,0.25,-,-,5,0.18,6,0.21,1,0.04,-,-,-,-,4,0.31,-,-,1,0.14,3,0.43,-,-,-,-,104,2.17
2026,12,茨城県,483,7.21,10,0.27,4,0.11,141,3.81,243,6.57,7,0.19,3,0.08,1,0.03,9,0.24,1,0.03,-,-,-,-,12,0.71,-,-,-,-,2,0.15,-,-,1,0.08,124,1.85
2026,12,栃木県,409,8.89,12,0.46,2,0.08,67,2.58,128,4.92,7,0.27,-,-,2,0.08,5,0.19,-,-,-,-,-,-,4,0.33,1,0.14,-,-,1,0.14,1,0.14,1,0.14,56,1.22
2026,12,群馬県,552,12.27,8,0.32,5,0.20,53,2.12,232,9.28,2,0.08,-,-,2,0.08,9,0.36,-,-,-,-,-,-,-,-,-,-,-,-,6,0.67,-,-,3,0.33,53,1.18
2026,12,埼玉県,1775,10.14,30,0.28,22,0.20,274,2.51,607,5.57,58,0.53,5,0.05,8,0.07,15,0.14,3,0.03,2,0.02,1,0.02,8,0.19,-,-,1,0.08,4,0.33,-,-,2,0.17,254,1.45
2026,12,千葉県,1339,7.32,27,0.24,5,0.05,281,2.53,452,4.07,36,0.32,1,0.01,5,0.05,16,0.14,1,0.01,6,0.05,-,-,16,0.47,-,-,-,-,1,0.11,-,-,-,-,213,1.16
2026,12,東京都,3158,7.57,42,0.16,19,0.07,371,1.42,1652,6.31,99,0.38,9,0.03,6,0.02,52,0.20,-,-,6,0.02,-,-,9,0.23,1,0.04,1,0.04,1,0.04,1,0.04,5,0.20,416,1.00
2026,12,神奈川県,2021,8.28,51,0.36,15,0.11,248,1.75,802,5.65,48,0.34,-,-,2,0.01,27,0.19,3,0.02,4,0.03,2,0.04,15,0.31,1,0.08,-,-,1,0.08,-,-,4,0.33,383,1.57
