年,週,月,開始日,終了日,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,16,4,2025-04-14,2025-04-20,山口県,3885,61.67
2025,16,4,2025-04-14,2025-04-20,徳島県,1368,40.24
2025,16,4,2025-04-14,2025-04-20,香川県,2280,57.0
2025,16,4,2025-04-14,2025-04-20,愛媛県,2854,75.11
2025,16,4,2025-04-14,2025-04-20,高知県,1212,31.89
2025,16,4,2025-04-14,2025-04-20,福岡県,5305,43.84
2025,16,4,2025-04-14,2025-04-20,佐賀県,1460,63.48
2025,16,4,2025-04-14,2025-04-20,長崎県,3677,73.54
2025,16,4,2025-04-14,2025-04-20,熊本県,3890,53.29
2025,16,4,2025-04-14,2025-04-20,大分県,2895,49.91
2025,16,4,2025-04-14,2025-04-20,宮崎県,1751,62.54
2025,16,4,2025-04-14,2025-04-20,鹿児島県,3287,57.67
2025,16,4,2025-04-14,2025-04-20,沖縄県,2343,52.07
2025,17,4,2025-04-21,2025-04-27,総数,237731,62.18
2025,17,4,2025-04-21,2025-04-27,北海道,10307,62.47
2025,17,4,2025-04-21,2025-04-27,青森県,3093,59.48
2025,17,4,2025-04-21,2025-04-27,岩手県,4218,95.86
2025,17,4,2025-04-21,2025-04-27,宮城県,4351,80.57
2025,17,4,2025-04-21,2025-04-27,秋田県,1555,64.79
2025,17,4,2025-04-21,2025-04-27,山形県,3309,87.08
2025,17,4,2025-04-21,2025-04-27,福島県,3740,77.92
2025,17,4,2025-04-21,2025-04-27,茨城県,5147,75.69
2025,17,4,2025-04-21,2025-04-27,栃木県,4959,105.51
2025,17,4,2025-04-21,2025-04-27,群馬県,3887,86.38
2025,17,4,2025-04-21,2025-04-27,埼玉県,13822,80.83
2025,17,4,2025-04-21,2025-04-27,千葉県,13126,74.58
2025,17,4,2025-04-21,2025-04-27,東京都,24415,58.83
2025,17,4,2025-04-21,2025-04-27,神奈川県,17092,72.73
2025,17,4,2025-04-21,2025-04-27,新潟県,3584,70.27
2025,17,4,2025-04-21,2025-04-27,富山県,4081,85.02
2025,17,4,2025-04-21,2025-04-27,石川県,2705,56.35
2025,17,4,2025-04-21,2025-04-27,福井県,2013,51.62
2025,17,4,2025-04-21,2025-04-27,山梨県,1597,45.63
2025,17,4,2025-04-21,2025-04-27,長野県,5023,62.01
2025,17,4,2025-04-21,2025-04-27,岐阜県,1794,39.87
2025,17,4,2025-04-21,2025-04-27,静岡県,6380,46.23
2025,17,4,2025-04-21,2025-04-27,愛知県,12672,77.74
2025,17,4,2025-04-21,2025-04-27,三重県,3329,46.89
2025,17,4,2025-04-21,2025-04-27,滋賀県,3338,57.55
2025,17,4,2025-04-21,2025-04-27,京都府,3683,58.46
2025,17,4,2025-04-21,2025-04-27,大阪府,12468,42.7
2025,17,4,2025-04-21,2025-04-27,兵庫県,9207,56.83
2025,17,4,2025-04-21,2025-04-27,奈良県,1857,45.29
2025,17,4,2025-04-21,2025-04-27,和歌山県,2065,45.89
2025,17,4,2025-04-21,2025-04-27,鳥取県,1634,56.34
2025,17,4,2025-04-21,2025-04-27,島根県,1134,56.7
2025,17,4,2025-04-21,2025-04-27,岡山県,3846,76.92
2025,17,4,2025-04-21,2025-04-27,広島県,4889,52.01
2025,17,4,2025-04-21,2025-04-27,山口県,4137,65.67
2025,17,4,2025-04-21,2025-04-27,徳島県,1526,44.88
2025,17,4,2025-04-21,2025-04-27,香川県,2147,53.68
2025,17,4,2025-04-21,2025-04-27,愛媛県,2998,78.89
2025,17,4,2025-04-21,2025-04-27,高知県,1220,32.11
2025,17,4,2025-04-21,2025-04-27,福岡県,5914,48.48
2025,17,4,2025-04-21,2025-04-27,佐賀県,1443,65.59
2025,17,4,2025-04-21,2025-04-27,長崎県,3462,69.24
2025,17,4,2025-04-21,2025-04-27,熊本県,3739,51.22
2025,17,4,2025-04-21,2025-04-27,大分県,3146,54.24
2025,17,4,2025-04-21,2025-04-27,宮崎県,1475,52.68
2025,17,4,2025-04-21,2025-04-27,鹿児島県,3474,60.95
2025,17,4,2025-04-21,2025-04-27,沖縄県,2730,60.67
2025,18,4,2025-04-28,2025-05-04,総数,214921,56.51
2025,18,4,2025-04-28,2025-05-04,北海道,9607,58.58
2025,18,4,2025-04-28,2025-05-04,青森県,2839,54.6
2025,18,4,2025-04-28,2025-05-04,岩手県,3736,84.91
2025,18,4,2025-04-28,2025-05-04,宮城県,4213,78.02
2025,18,4,2025-04-28,2025-05-04,秋田県,1381,55.24
2025,18,4,2025-04-28,2025-05-04,山形県,2624,72.89
2025,18,4,2025-04-28,2025-05-04,福島県,3323,69.23
2025,18,4,2025-04-28,2025-05-04,茨城県,4187,61.57
2025,18,4,2025-04-28,2025-05-04,栃木県,4203,89.43
2025,18,4,2025-04-28,2025-05-04,群馬県,3665,81.44
2025,18,4,2025-04-28,2025-05-04,埼玉県,13019,77.96
2025,18,4,2025-04-28,2025-05-04,千葉県,10821,64.41
2025,18,4,2025-04-28,2025-05-04,東京都,20711,50.03
2025,18,4,2025-04-28,2025-05-04,神奈川県,14015,60.67
2025,18,4,2025-04-28,2025-05-04,新潟県,3449,67.63
2025,18,4,2025-04-28,2025-05-04,富山県,3370,70.21
2025,18,4,2025-04-28,2025-05-04,石川県,2466,51.38
2025,18,4,2025-04-28,2025-05-04,福井県,1670,42.82
2025,18,4,2025-04-28,2025-05-04,山梨県,1394,39.83
2025,18,4,2025-04-28,2025-05-04,長野県,4604,57.55
2025,18,4,2025-04-28,2025-05-04,岐阜県,2180,48.44
2025,18,4,2025-04-28,2025-05-04,静岡県,6287,45.23
2025,18,4,2025-04-28,2025-05-04,愛知県,11413,70.45
2025,18,4,2025-04-28,2025-05-04,三重県,2698,38.0
2025,18,4,2025-04-28,2025-05-04,滋賀県,3110,53.62
2025,18,4,2025-04-28,2025-05-04,京都府,3426,53.53
2025,18,4,2025-04-28,2025-05-04,大阪府,11490,39.35
2025,18,4,2025-04-28,2025-05-04,兵庫県,8397,52.16
2025,18,4,2025-04-28,2025-05-04,奈良県,1790,43.66
2025,18,4,2025-04-28,2025-05-04,和歌山県,1989,45.2
2025,18,4,2025-04-28,2025-05-04,鳥取県,1603,55.28
2025,18,4,2025-04-28,2025-05-04,島根県,1261,63.05
2025,18,4,2025-04-28,2025-05-04,岡山県,3356,67.12
2025,18,4,2025-04-28,2025-05-04,広島県,4550,48.4
2025,18,4,2025-04-28,2025-05-04,山口県,4066,64.54
2025,18,4,2025-04-28,2025-05-04,徳島県,1374,40.41
2025,18,4,2025-04-28,2025-05-04,香川県,2215,55.38
2025,18,4,2025-04-28,2025-05-04,愛媛県,2803,73.76
2025,18,4,2025-04-28,2025-05-04,高知県,1135,29.87
2025,18,4,2025-04-28,2025-05-04,福岡県,5296,43.77
2025,18,4,2025-04-28,2025-05-04,佐賀県,1379,59.96
2025,18,4,2025-04-28,2025-05-04,長崎県,3308,64.86
2025,18,4,2025-04-28,2025-05-04,熊本県,3789,51.9
2025,18,4,2025-04-28,2025-05-04,大分県,3248,56.0
2025,18,4,2025-04-28,2025-05-04,宮崎県,1459,52.11
2025,18,4,2025-04-28,2025-05-04,鹿児島県,3375,59.21
2025,18,4,2025-04-28,2025-05-04,沖縄県,2627,58.38
2025,19,5,2025-05-05,2025-05-11,総数,182709,47.63
2025,19,5,2025-05-05,2025-05-11,北海道,7225,43.26
2025,19,5,2025-05-05,2025-05-11,青森県,2429,48.58
