"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025年04週(01月20日～01月26日)","2025年01月29日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"長野県","1412","16.05","28","0.52","12","0.22","92","1.70","191","3.54","9","0.17","15","0.28","63","1.17","6","0.11","-","-","-","-","-","-","18","1.80","-","-","-","-","6","0.50","-","-","-","-","790","8.98"
"岐阜県","829","9.53","32","0.60","8","0.15","57","1.08","189","3.57","5","0.09","2","0.04","8","0.15","9","0.17","-","-","2","0.04","-","-","-","-","-","-","1","0.20","6","1.20","-","-","-","-","669","7.69"
"静岡県","1840","13.24","35","0.39","24","0.27","93","1.04","414","4.65","3","0.03","1","0.01","39","0.44","15","0.17","-","-","3","0.03","-","-","3","0.14","-","-","-","-","2","0.20","-","-","-","-","1083","7.79"
"愛知県","2343","12.08","67","0.37","38","0.21","235","1.30","770","4.25","14","0.08","6","0.03","29","0.16","17","0.09","-","-","8","0.04","3","0.09","8","0.23","-","-","1","0.07","8","0.53","-","-","-","-","1515","7.81"
"三重県","591","8.21","81","1.80","4","0.09","124","2.76","264","5.87","8","0.18","-","-","5","0.11","11","0.24","-","-","1","0.02","-","-","-","-","-","-","-","-","7","0.78","-","-","-","-","462","6.42"
"滋賀県","532","8.87","17","0.47","4","0.11","51","1.42","199","5.53","12","0.33","2","0.06","8","0.22","2","0.06","-","-","3","0.08","-","-","-","-","-","-","-","-","1","0.14","-","-","-","-","296","4.93"
"京都府","1236","10.05","36","0.49","58","0.78","132","1.78","346","4.68","15","0.20","5","0.07","37","0.50","10","0.14","1","0.01","1","0.01","1","0.06","6","0.35","-","-","-","-","2","0.29","-","-","-","-","571","4.64"
"大阪府","2005","6.66","310","1.61","64","0.33","292","1.51","1167","6.05","27","0.14","20","0.10","42","0.22","36","0.19","-","-","3","0.02","-","-","13","0.25","-","-","2","0.11","8","0.44","-","-","1","0.06","1154","3.83"
"兵庫県","1783","9.01","161","1.26","60","0.47","188","1.47","870","6.80","28","0.22","16","0.13","35","0.27","21","0.16","3","0.02","4","0.03","5","0.14","22","0.63","-","-","-","-","33","2.36","-","-","-","-","976","4.93"
"奈良県","726","13.20","50","1.47","7","0.21","39","1.15","250","7.35","5","0.15","1","0.03","10","0.29","5","0.15","-","-","1","0.03","-","-","6","0.60","-","-","-","-","2","0.33","-","-","1","0.17","327","5.95"
"和歌山県","602","12.54","35","1.21","5","0.17","24","0.83","161","5.55","12","0.41","2","0.07","4","0.14","6","0.21","-","-","1","0.03","-","-","1","0.25","-","-","-","-","7","0.64","-","-","2","0.18","263","5.48"
"鳥取県","262","9.03","2","0.11","8","0.42","83","4.37","72","3.79","1","0.05","2","0.11","9","0.47","4","0.21","-","-","-","-","-","-","-","-","-","-","-","-","3","0.60","-","-","1","0.20","251","8.66"
