年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,32,総数,161935,44.08
2026,32,北海道,5097,31.66
2026,32,青森県,2031,39.06
2026,32,岩手県,2590,61.67
2026,32,宮城県,3078,57
2026,32,秋田県,795,31.8
2026,32,山形県,2164,56.95
2026,32,福島県,2331,48.56
2026,32,茨城県,3189,46.9
2026,32,栃木県,2876,61.19
2026,32,群馬県,3357,74.6
2026,32,埼玉県,10856,62.75
2026,32,千葉県,8343,47.4
2026,32,東京都,16407,41.02
2026,32,神奈川県,12266,53.33
2026,32,新潟県,2439,47.82
2026,32,富山県,2290,48.72
2026,32,石川県,2260,48.09
2026,32,福井県,1072,27.49
2026,32,山梨県,967,27.63
2026,32,長野県,2577,51.54
2026,32,岐阜県,1689,37.53
2026,32,静岡県,4141,38.34
2026,32,愛知県,8732,53.57
2026,32,三重県,2416,36.61
2026,32,滋賀県,1419,36.38
2026,32,京都府,2471,39.85
2026,32,大阪府,8151,28.6
2026,32,兵庫県,6515,40.97
2026,32,奈良県,1160,29
2026,32,和歌山県,1485,33.75
2026,32,鳥取県,1316,45.38
2026,32,島根県,1009,50.45
2026,32,岡山県,2051,41.02
2026,32,広島県,3514,38.2
2026,32,山口県,3246,53.21
2026,32,徳島県,1030,32.19
2026,32,香川県,898,39.04
2026,32,愛媛県,2056,54.11
2026,32,高知県,1360,36.76
2026,32,福岡県,5384,44.13
2026,32,佐賀県,1168,48.67
2026,32,長崎県,2634,52.68
2026,32,熊本県,3002,42.89
2026,32,大分県,2738,47.21
2026,32,宮崎県,944,33.71
2026,32,鹿児島県,2687,47.14
2026,32,沖縄県,1734,39.41
