年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,17,総数,210290,56.35
2026,17,北海道,8682,52.3
2026,17,青森県,2632,50.62
2026,17,岩手県,3542,84.33
2026,17,宮城県,4048,73.6
2026,17,秋田県,925,37
2026,17,山形県,2504,65.89
2026,17,福島県,3096,64.5
2026,17,茨城県,4070,60.75
2026,17,栃木県,3604,76.68
2026,17,群馬県,3771,83.8
2026,17,埼玉県,13590,77.66
2026,17,千葉県,12075,66.71
2026,17,東京都,24483,58.71
2026,17,神奈川県,16600,69.75
2026,17,新潟県,3005,57.79
2026,17,富山県,3399,70.81
2026,17,石川県,2764,58.81
2026,17,福井県,1414,36.26
2026,17,山梨県,1306,37.31
2026,17,長野県,3472,69.44
2026,17,岐阜県,1794,39.87
2026,17,静岡県,4747,42.38
2026,17,愛知県,11099,68.09
2026,17,三重県,2567,37.2
2026,17,滋賀県,1955,50.13
2026,17,京都府,3361,55.1
2026,17,大阪府,11385,39.67
2026,17,兵庫県,8172,50.44
2026,17,奈良県,1833,43.64
2026,17,和歌山県,1782,39.6
2026,17,鳥取県,1484,51.17
2026,17,島根県,1170,58.5
2026,17,岡山県,2954,59.08
2026,17,広島県,4640,49.89
2026,17,山口県,3646,59.77
2026,17,徳島県,1067,32.33
2026,17,香川県,794,34.52
2026,17,愛媛県,2482,65.32
2026,17,高知県,1139,29.97
2026,17,福岡県,6543,53.63
2026,17,佐賀県,1305,54.38
2026,17,長崎県,2883,56.53
2026,17,熊本県,3705,52.18
2026,17,大分県,2899,49.98
2026,17,宮崎県,1122,40.07
2026,17,鹿児島県,2693,47.25
2026,17,沖縄県,2087,47.43
