年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,28,総数,194438,52.25
2026,28,北海道,5956,36.1
2026,28,青森県,1905,36.63
2026,28,岩手県,2341,55.74
2026,28,宮城県,3203,58.24
2026,28,秋田県,799,31.96
2026,28,山形県,2029,53.39
2026,28,福島県,2699,56.23
2026,28,茨城県,3760,55.29
2026,28,栃木県,2958,62.94
2026,28,群馬県,3332,74.04
2026,28,埼玉県,13443,76.38
2026,28,千葉県,10715,59.86
2026,28,東京都,22168,53.03
2026,28,神奈川県,15418,64.24
2026,28,新潟県,2356,45.31
2026,28,富山県,2508,53.36
2026,28,石川県,2218,47.19
2026,28,福井県,1087,27.87
2026,28,山梨県,1228,35.09
2026,28,長野県,2582,51.64
2026,28,岐阜県,1761,39.13
2026,28,静岡県,5150,47.69
2026,28,愛知県,11170,68.53
2026,28,三重県,2933,44.44
2026,28,滋賀県,1760,45.13
2026,28,京都府,3124,50.39
2026,28,大阪府,11079,38.87
2026,28,兵庫県,8019,49.81
2026,28,奈良県,1641,39.07
2026,28,和歌山県,1844,40.98
2026,28,鳥取県,1423,49.07
2026,28,島根県,1054,52.7
2026,28,岡山県,2545,50.9
2026,28,広島県,4248,45.68
2026,28,山口県,3743,61.36
2026,28,徳島県,1079,32.7
2026,28,香川県,927,40.3
2026,28,愛媛県,2637,69.39
2026,28,高知県,1334,36.05
2026,28,福岡県,6152,50.43
2026,28,佐賀県,1374,57.25
2026,28,長崎県,2895,56.76
2026,28,熊本県,3498,50.7
2026,28,大分県,3545,61.12
2026,28,宮崎県,1131,40.39
2026,28,鹿児島県,3453,60.58
2026,28,沖縄県,2214,50.32
