年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,10,総数,227769,60.08
2026,10,北海道,11863,71.04
2026,10,青森県,3482,66.96
2026,10,岩手県,4485,106.79
2026,10,宮城県,4182,76.04
2026,10,秋田県,1212,48.48
2026,10,山形県,2952,77.68
2026,10,福島県,3209,66.85
2026,10,茨城県,4429,66.1
2026,10,栃木県,3693,78.57
2026,10,群馬県,3890,86.44
2026,10,埼玉県,13662,78.07
2026,10,千葉県,11095,60.96
2026,10,東京都,22719,54.35
2026,10,神奈川県,15374,64.33
2026,10,新潟県,3807,73.21
2026,10,富山県,4067,84.73
2026,10,石川県,3786,80.55
2026,10,福井県,1918,49.18
2026,10,山梨県,1140,32.57
2026,10,長野県,4489,89.78
2026,10,岐阜県,2137,47.49
2026,10,静岡県,6000,43.17
2026,10,愛知県,11330,69.51
2026,10,三重県,3069,44.48
2026,10,滋賀県,3226,55.62
2026,10,京都府,3582,55.97
2026,10,大阪府,11195,38.74
2026,10,兵庫県,8898,54.26
2026,10,奈良県,1790,42.62
2026,10,和歌山県,1813,40.29
2026,10,鳥取県,1985,68.45
2026,10,島根県,1140,60
2026,10,岡山県,3047,60.94
2026,10,広島県,4771,51.3
2026,10,山口県,4650,73.81
2026,10,徳島県,1372,41.58
2026,10,香川県,1077,46.83
2026,10,愛媛県,2520,68.11
2026,10,高知県,1511,39.76
2026,10,福岡県,7603,62.32
2026,10,佐賀県,1238,51.58
2026,10,長崎県,3641,71.39
2026,10,熊本県,4553,63.24
2026,10,大分県,3618,62.38
2026,10,宮崎県,1186,42.36
2026,10,鹿児島県,2926,51.33
2026,10,沖縄県,2437,54.16
