年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,18,総数,212929,57.69
2026,18,北海道,8722,53.18
2026,18,青森県,2782,53.5
2026,18,岩手県,3586,85.38
2026,18,宮城県,4062,73.85
2026,18,秋田県,1115,44.6
2026,18,山形県,2432,64
2026,18,福島県,3082,64.21
2026,18,茨城県,4313,64.37
2026,18,栃木県,3576,76.09
2026,18,群馬県,4038,89.73
2026,18,埼玉県,13622,80.13
2026,18,千葉県,11381,66.56
2026,18,東京都,23350,57.23
2026,18,神奈川県,16299,70.25
2026,18,新潟県,3232,62.15
2026,18,富山県,3605,75.1
2026,18,石川県,2704,57.53
2026,18,福井県,1394,35.74
2026,18,山梨県,1286,36.74
2026,18,長野県,3595,71.9
2026,18,岐阜県,1734,38.53
2026,18,静岡県,4762,44.09
2026,18,愛知県,12109,74.29
2026,18,三重県,2773,40.19
2026,18,滋賀県,2069,53.05
2026,18,京都府,3385,56.42
2026,18,大阪府,10456,36.69
2026,18,兵庫県,8210,50.68
2026,18,奈良県,1752,41.71
2026,18,和歌山県,1752,38.93
2026,18,鳥取県,1682,58
2026,18,島根県,1182,59.1
2026,18,岡山県,3135,62.7
2026,18,広島県,4798,52.15
2026,18,山口県,3787,62.08
2026,18,徳島県,1174,35.58
2026,18,香川県,982,42.7
2026,18,愛媛県,2595,68.29
2026,18,高知県,1332,35.05
2026,18,福岡県,6859,56.69
2026,18,佐賀県,1304,54.33
2026,18,長崎県,3070,60.2
2026,18,熊本県,4048,57.01
2026,18,大分県,3370,58.1
2026,18,宮崎県,1199,42.82
2026,18,鹿児島県,2961,51.95
2026,18,沖縄県,2273,51.66
