年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,15,総数,162008,43.47
2026,15,北海道,7151,43.34
2026,15,青森県,2318,44.58
2026,15,岩手県,2879,68.55
2026,15,宮城県,3038,55.24
2026,15,秋田県,956,38.24
2026,15,山形県,1924,50.63
2026,15,福島県,2329,48.52
2026,15,茨城県,3209,47.9
2026,15,栃木県,2971,63.21
2026,15,群馬県,2887,64.16
2026,15,埼玉県,9654,54.85
2026,15,千葉県,8611,47.57
2026,15,東京都,18167,43.67
2026,15,神奈川県,11964,50.27
2026,15,新潟県,2469,47.48
2026,15,富山県,2982,63.45
2026,15,石川県,2309,49.13
2026,15,福井県,1289,33.05
2026,15,山梨県,937,26.77
2026,15,長野県,2524,50.48
2026,15,岐阜県,1589,36.11
2026,15,静岡県,3726,33.27
2026,15,愛知県,8398,51.52
2026,15,三重県,2091,30.3
2026,15,滋賀県,1358,34.82
2026,15,京都府,2350,38.52
2026,15,大阪府,8277,28.94
2026,15,兵庫県,6119,37.77
2026,15,奈良県,1329,31.64
2026,15,和歌山県,1189,26.42
2026,15,鳥取県,1332,45.93
2026,15,島根県,1012,50.6
2026,15,岡山県,2061,41.22
2026,15,広島県,3588,38.58
2026,15,山口県,2916,47.8
2026,15,徳島県,904,27.39
2026,15,香川県,732,31.83
2026,15,愛媛県,1957,52.89
2026,15,高知県,949,24.97
2026,15,福岡県,4992,40.92
2026,15,佐賀県,1009,42.04
2026,15,長崎県,2718,53.29
2026,15,熊本県,3351,47.2
2026,15,大分県,2428,41.86
2026,15,宮崎県,949,33.89
2026,15,鹿児島県,2384,41.82
2026,15,沖縄県,1732,39.36
