年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,34,総数,133148,36.3
2026,34,北海道,4455,27.16
2026,34,青森県,1777,34.17
2026,34,岩手県,1984,47.24
2026,34,宮城県,2676,48.65
2026,34,秋田県,671,26.84
2026,34,山形県,1517,39.92
2026,34,福島県,1878,39.13
2026,34,茨城県,3241,47.66
2026,34,栃木県,2540,54.04
2026,34,群馬県,2404,55.91
2026,34,埼玉県,9103,54.18
2026,34,千葉県,6965,38.91
2026,34,東京都,13340,34.74
2026,34,神奈川県,9834,42.21
2026,34,新潟県,1945,37.4
2026,34,富山県,2011,41.9
2026,34,石川県,1685,35.85
2026,34,福井県,1055,27.05
2026,34,山梨県,900,25.71
2026,34,長野県,2112,42.24
2026,34,岐阜県,1434,31.87
2026,34,静岡県,3302,30.57
2026,34,愛知県,6839,41.96
2026,34,三重県,1711,25.92
2026,34,滋賀県,1395,35.77
2026,34,京都府,1881,30.84
2026,34,大阪府,6391,22.42
2026,34,兵庫県,4963,30.83
2026,34,奈良県,998,23.76
2026,34,和歌山県,1280,28.44
2026,34,鳥取県,1155,39.83
2026,34,島根県,822,41.1
2026,34,岡山県,1716,34.32
2026,34,広島県,2947,31.69
2026,34,山口県,2189,35.89
2026,34,徳島県,782,23.7
2026,34,香川県,731,31.78
2026,34,愛媛県,1419,38.35
2026,34,高知県,1256,33.95
2026,34,福岡県,4600,37.7
2026,34,佐賀県,1013,42.21
2026,34,長崎県,2116,42.32
2026,34,熊本県,2624,37.49
2026,34,大分県,2303,39.71
2026,34,宮崎県,907,32.39
2026,34,鹿児島県,2358,41.37
2026,34,沖縄県,1923,43.7
