年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,20,総数,177315,47.59
2026,20,北海道,7416,44.67
2026,20,青森県,2445,47.02
2026,20,岩手県,3152,75.05
2026,20,宮城県,3186,57.93
2026,20,秋田県,993,39.72
2026,20,山形県,1965,51.71
2026,20,福島県,2557,53.27
2026,20,茨城県,3573,53.33
2026,20,栃木県,2967,63.13
2026,20,群馬県,2829,62.87
2026,20,埼玉県,11249,64.65
2026,20,千葉県,9657,53.35
2026,20,東京都,19000,45.45
2026,20,神奈川県,13493,56.69
2026,20,新潟県,2506,48.19
2026,20,富山県,2867,59.73
2026,20,石川県,2164,47.04
2026,20,福井県,1119,28.69
2026,20,山梨県,1117,31.91
2026,20,長野県,2794,55.88
2026,20,岐阜県,1643,36.51
2026,20,静岡県,4143,38.36
2026,20,愛知県,9673,59.34
2026,20,三重県,2311,33.49
2026,20,滋賀県,1708,43.79
2026,20,京都府,2806,46
2026,20,大阪府,9394,32.85
2026,20,兵庫県,6956,42.94
2026,20,奈良県,1575,37.5
2026,20,和歌山県,1615,35.89
2026,20,鳥取県,1342,46.28
2026,20,島根県,921,46.05
2026,20,岡山県,2409,48.18
2026,20,広島県,3799,40.85
2026,20,山口県,2989,49
2026,20,徳島県,1021,30.94
2026,20,香川県,829,36.04
2026,20,愛媛県,2029,53.39
2026,20,高知県,1247,32.82
2026,20,福岡県,5836,47.84
2026,20,佐賀県,1131,47.13
2026,20,長崎県,2408,47.22
2026,20,熊本県,3496,49.24
2026,20,大分県,2669,46.02
2026,20,宮崎県,1202,42.93
2026,20,鹿児島県,2929,51.39
2026,20,沖縄県,2185,49.66
