年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,30,総数,159679,42.87
2026,30,北海道,4812,29.16
2026,30,青森県,1904,36.62
2026,30,岩手県,2070,50.49
2026,30,宮城県,2911,52.93
2026,30,秋田県,732,29.28
2026,30,山形県,1711,45.03
2026,30,福島県,2188,45.58
2026,30,茨城県,3288,48.35
2026,30,栃木県,2935,62.45
2026,30,群馬県,2805,63.75
2026,30,埼玉県,11301,64.21
2026,30,千葉県,8340,46.33
2026,30,東京都,16594,39.7
2026,30,神奈川県,12662,52.54
2026,30,新潟県,2000,38.46
2026,30,富山県,2252,47.91
2026,30,石川県,2078,44.21
2026,30,福井県,1150,29.49
2026,30,山梨県,908,25.94
2026,30,長野県,2285,45.7
2026,30,岐阜県,1504,33.42
2026,30,静岡県,4284,39.67
2026,30,愛知県,8956,54.94
2026,30,三重県,2473,36.37
2026,30,滋賀県,1603,41.1
2026,30,京都府,2428,38.54
2026,30,大阪府,8295,29.11
2026,30,兵庫県,6373,39.34
2026,30,奈良県,1353,32.21
2026,30,和歌山県,1440,32
2026,30,鳥取県,1184,40.83
2026,30,島根県,760,38
2026,30,岡山県,2120,42.4
2026,30,広島県,3412,36.69
2026,30,山口県,2795,45.82
2026,30,徳島県,997,30.21
2026,30,香川県,840,36.52
2026,30,愛媛県,2190,57.63
2026,30,高知県,1113,30.08
2026,30,福岡県,5569,45.65
2026,30,佐賀県,1120,46.67
2026,30,長崎県,2340,45.88
2026,30,熊本県,3275,47.46
2026,30,大分県,2694,46.45
2026,30,宮崎県,1154,41.21
2026,30,鹿児島県,2527,44.33
2026,30,沖縄県,1954,44.41
