年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,26,総数,176883,47.47
2026,26,北海道,6338,38.18
2026,26,青森県,2053,39.48
2026,26,岩手県,2431,59.29
2026,26,宮城県,3092,56.22
2026,26,秋田県,917,36.68
2026,26,山形県,1806,47.53
2026,26,福島県,2605,54.27
2026,26,茨城県,3362,49.44
2026,26,栃木県,2879,61.26
2026,26,群馬県,2904,64.53
2026,26,埼玉県,11733,67.43
2026,26,千葉県,9813,55.13
2026,26,東京都,20431,48.88
2026,26,神奈川県,13881,57.36
2026,26,新潟県,1911,36.75
2026,26,富山県,2640,55
2026,26,石川県,2127,45.26
2026,26,福井県,993,25.46
2026,26,山梨県,1035,29.57
2026,26,長野県,2548,50.96
2026,26,岐阜県,1573,34.96
2026,26,静岡県,4068,37.67
2026,26,愛知県,9192,56.39
2026,26,三重県,2172,31.48
2026,26,滋賀県,1524,39.08
2026,26,京都府,2626,43.05
2026,26,大阪府,9226,32.37
2026,26,兵庫県,6982,43.1
2026,26,奈良県,1459,34.74
2026,26,和歌山県,1528,33.96
2026,26,鳥取県,1363,47
2026,26,島根県,939,46.95
2026,26,岡山県,2339,46.78
2026,26,広島県,3793,40.78
2026,26,山口県,3521,57.72
2026,26,徳島県,943,28.58
2026,26,香川県,819,35.61
2026,26,愛媛県,2419,63.66
2026,26,高知県,1099,29.7
2026,26,福岡県,6521,53.45
2026,26,佐賀県,1229,51.21
2026,26,長崎県,2780,54.51
2026,26,熊本県,3591,50.58
2026,26,大分県,3135,54.05
2026,26,宮崎県,1251,44.68
2026,26,鹿児島県,3329,58.4
2026,26,沖縄県,1963,44.61
