年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,31,総数,167420,44.96
2026,31,北海道,5987,36.28
2026,31,青森県,2067,39.75
2026,31,岩手県,2502,59.57
2026,31,宮城県,3008,54.69
2026,31,秋田県,738,29.52
2026,31,山形県,2025,53.29
2026,31,福島県,2318,48.29
2026,31,茨城県,3469,51.01
2026,31,栃木県,3020,64.26
2026,31,群馬県,3247,72.16
2026,31,埼玉県,11617,66.01
2026,31,千葉県,8750,48.61
2026,31,東京都,17914,42.96
2026,31,神奈川県,12498,52.51
2026,31,新潟県,2326,44.73
2026,31,富山県,2402,51.11
2026,31,石川県,2335,49.68
2026,31,福井県,1130,28.97
2026,31,山梨県,975,27.86
2026,31,長野県,2615,52.3
2026,31,岐阜県,1599,35.53
2026,31,静岡県,4395,40.69
2026,31,愛知県,9308,57.1
2026,31,三重県,2560,37.65
2026,31,滋賀県,1624,41.64
2026,31,京都府,2526,40.1
2026,31,大阪府,8533,29.94
2026,31,兵庫県,6614,40.83
2026,31,奈良県,1324,31.52
2026,31,和歌山県,1511,33.58
2026,31,鳥取県,1209,41.69
2026,31,島根県,932,46.6
2026,31,岡山県,2292,45.84
2026,31,広島県,3574,38.43
2026,31,山口県,3156,51.74
2026,31,徳島県,949,28.76
2026,31,香川県,917,39.87
2026,31,愛媛県,2138,56.26
2026,31,高知県,1370,37.03
2026,31,福岡県,4805,39.39
2026,31,佐賀県,1144,47.67
2026,31,長崎県,2562,50.24
2026,31,熊本県,3094,44.2
2026,31,大分県,2669,46.02
2026,31,宮崎県,1012,36.14
2026,31,鹿児島県,2632,46.18
2026,31,沖縄県,2028,46.09
