年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,07,総数,353864,93.17
2026,07,北海道,11630,69.23
2026,07,青森県,3515,67.6
2026,07,岩手県,5566,132.52
2026,07,宮城県,6329,115.07
2026,07,秋田県,1665,66.6
2026,07,山形県,3555,93.55
2026,07,福島県,5551,115.65
2026,07,茨城県,7769,115.96
2026,07,栃木県,6106,129.91
2026,07,群馬県,5154,114.53
2026,07,埼玉県,24608,139.82
2026,07,千葉県,19686,108.76
2026,07,東京都,37529,89.78
2026,07,神奈川県,26754,109.2
2026,07,新潟県,4164,80.08
2026,07,富山県,4776,101.62
2026,07,石川県,4226,89.91
2026,07,福井県,1917,49.15
2026,07,山梨県,2437,69.63
2026,07,長野県,5635,112.7
2026,07,岐阜県,3487,77.49
2026,07,静岡県,10270,73.88
2026,07,愛知県,17947,110.1
2026,07,三重県,6065,87.9
2026,07,滋賀県,4494,77.48
2026,07,京都府,5712,89.25
2026,07,大阪府,18654,64.32
2026,07,兵庫県,14520,88.54
2026,07,奈良県,3423,83.49
2026,07,和歌山県,3186,70.8
2026,07,鳥取県,1889,65.14
2026,07,島根県,1616,80.8
2026,07,岡山県,4200,84
2026,07,広島県,6666,71.68
2026,07,山口県,7198,114.25
2026,07,徳島県,2221,67.3
2026,07,香川県,1859,80.83
2026,07,愛媛県,4061,109.76
2026,07,高知県,2036,53.58
2026,07,福岡県,11744,96.26
2026,07,佐賀県,1716,71.5
2026,07,長崎県,5526,108.35
2026,07,熊本県,8038,111.64
2026,07,大分県,7618,131.34
2026,07,宮崎県,2494,89.07
2026,07,鹿児島県,5701,100.02
2026,07,沖縄県,2951,65.58
