年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,06,総数,387947,102.39
2026,06,北海道,11673,69.48
2026,06,青森県,3502,67.35
2026,06,岩手県,5579,132.83
2026,06,宮城県,7282,134.85
2026,06,秋田県,1644,65.76
2026,06,山形県,3667,96.5
2026,06,福島県,6170,128.54
2026,06,茨城県,8729,130.28
2026,06,栃木県,6735,143.3
2026,06,群馬県,5509,122.42
2026,06,埼玉県,25761,147.21
2026,06,千葉県,22679,124.61
2026,06,東京都,41540,99.86
2026,06,神奈川県,30772,128.22
2026,06,新潟県,4373,84.1
2026,06,富山県,4720,100.43
2026,06,石川県,3567,75.89
2026,06,福井県,2059,52.79
2026,06,山梨県,3235,92.43
2026,06,長野県,5664,113.28
2026,06,岐阜県,3550,78.89
2026,06,静岡県,12601,90.65
2026,06,愛知県,20737,127.22
2026,06,三重県,7316,107.59
2026,06,滋賀県,4886,84.24
2026,06,京都府,6225,98.81
2026,06,大阪府,20323,70.08
2026,06,兵庫県,17042,103.91
2026,06,奈良県,3783,90.07
2026,06,和歌山県,3900,86.67
2026,06,鳥取県,2186,75.38
2026,06,島根県,2039,101.95
2026,06,岡山県,4524,90.48
2026,06,広島県,7370,79.25
2026,06,山口県,7273,115.44
2026,06,徳島県,2401,72.76
2026,06,香川県,1514,65.83
2026,06,愛媛県,4568,123.46
2026,06,高知県,2360,62.11
2026,06,福岡県,11812,96.82
2026,06,佐賀県,1908,79.5
2026,06,長崎県,5877,115.24
2026,06,熊本県,8239,114.43
2026,06,大分県,8197,141.33
2026,06,宮崎県,2772,99
2026,06,鹿児島県,6820,119.65
2026,06,沖縄県,2864,63.64
