年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,12,総数,199051,52.51
2026,12,北海道,10202,61.46
2026,12,青森県,3032,58.31
2026,12,岩手県,3446,82.05
2026,12,宮城県,3153,57.33
2026,12,秋田県,1071,42.84
2026,12,山形県,2533,66.66
2026,12,福島県,3044,63.42
2026,12,茨城県,4056,60.54
2026,12,栃木県,3219,69.98
2026,12,群馬県,3436,76.36
2026,12,埼玉県,12269,70.11
2026,12,千葉県,9446,51.9
2026,12,東京都,19917,47.76
2026,12,神奈川県,13832,56.46
2026,12,新潟県,3323,63.9
2026,12,富山県,3900,82.98
2026,12,石川県,3434,73.06
2026,12,福井県,1618,41.49
2026,12,山梨県,1035,29.57
2026,12,長野県,3394,67.88
2026,12,岐阜県,1803,40.07
2026,12,静岡県,5547,39.91
2026,12,愛知県,10169,62.39
2026,12,三重県,2504,35.77
2026,12,滋賀県,2843,49.02
2026,12,京都府,2793,45.79
2026,12,大阪府,9619,33.28
2026,12,兵庫県,7853,47.88
2026,12,奈良県,1445,34.4
2026,12,和歌山県,1709,37.98
2026,12,鳥取県,1667,57.48
2026,12,島根県,1302,65.1
2026,12,岡山県,2613,52.26
2026,12,広島県,4204,45.2
2026,12,山口県,3574,56.73
2026,12,徳島県,1217,36.88
2026,12,香川県,902,39.22
2026,12,愛媛県,2377,64.24
2026,12,高知県,1307,34.39
2026,12,福岡県,6732,55.18
2026,12,佐賀県,985,41.04
2026,12,長崎県,3009,59
2026,12,熊本県,3732,52.56
2026,12,大分県,3285,56.64
2026,12,宮崎県,1128,40.29
2026,12,鹿児島県,2933,51.46
2026,12,沖縄県,2439,54.2
