年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,24,総数,173896,47.05
2026,24,北海道,6954,41.89
2026,24,青森県,2285,44.8
2026,24,岩手県,2800,66.67
2026,24,宮城県,3447,62.67
2026,24,秋田県,806,32.24
2026,24,山形県,2019,53.13
2026,24,福島県,2677,55.77
2026,24,茨城県,3718,54.68
2026,24,栃木県,2780,59.15
2026,24,群馬県,3057,67.93
2026,24,埼玉県,11136,64.37
2026,24,千葉県,9631,54.11
2026,24,東京都,19155,45.83
2026,24,神奈川県,13387,56.01
2026,24,新潟県,2061,39.63
2026,24,富山県,2801,58.35
2026,24,石川県,2202,46.85
2026,24,福井県,1016,26.05
2026,24,山梨県,946,27.03
2026,24,長野県,2757,55.14
2026,24,岐阜県,1567,34.82
2026,24,静岡県,3107,38.36
2026,24,愛知県,8599,52.75
2026,24,三重県,2183,31.64
2026,24,滋賀県,1595,40.9
2026,24,京都府,2796,44.38
2026,24,大阪府,9564,33.56
2026,24,兵庫県,6921,42.72
2026,24,奈良県,1485,35.36
2026,24,和歌山県,1494,33.2
2026,24,鳥取県,1224,42.21
2026,24,島根県,846,42.3
2026,24,岡山県,2298,45.96
2026,24,広島県,3890,41.83
2026,24,山口県,3113,51.03
2026,24,徳島県,908,27.52
2026,24,香川県,727,31.61
2026,24,愛媛県,2219,58.39
2026,24,高知県,1025,27.7
2026,24,福岡県,6155,50.45
2026,24,佐賀県,1153,48.04
2026,24,長崎県,2875,57.5
2026,24,熊本県,4041,56.92
2026,24,大分県,2624,45.24
2026,24,宮崎県,993,35.46
2026,24,鹿児島県,2786,48.88
2026,24,沖縄県,2073,47.11
