年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,35,総数,150196,40.48
2026,35,北海道,4754,28.81
2026,35,青森県,1949,37.48
2026,35,岩手県,2336,55.62
2026,35,宮城県,2669,48.53
2026,35,秋田県,743,29.72
2026,35,山形県,1609,42.34
2026,35,福島県,2132,44.42
2026,35,茨城県,3387,50.55
2026,35,栃木県,2548,54.21
2026,35,群馬県,2772,61.6
2026,35,埼玉県,10281,59.43
2026,35,千葉県,7622,42.34
2026,35,東京都,16449,40.02
2026,35,神奈川県,11979,50.33
2026,35,新潟県,2200,42.31
2026,35,富山県,2259,47.06
2026,35,石川県,1837,39.09
2026,35,福井県,1109,28.44
2026,35,山梨県,962,27.49
2026,35,長野県,2369,47.38
2026,35,岐阜県,1356,30.13
2026,35,静岡県,3712,34.37
2026,35,愛知県,7292,44.74
2026,35,三重県,2039,29.99
2026,35,滋賀県,1287,33
2026,35,京都府,2224,35.87
2026,35,大阪府,7030,24.67
2026,35,兵庫県,5412,33.83
2026,35,奈良県,1090,25.95
2026,35,和歌山県,1352,30.04
2026,35,鳥取県,1262,43.52
2026,35,島根県,1022,51.1
2026,35,岡山県,1914,38.28
2026,35,広島県,3144,34.17
2026,35,山口県,3207,52.57
2026,35,徳島県,877,26.58
2026,35,香川県,736,32
2026,35,愛媛県,1737,45.71
2026,35,高知県,1348,36.43
2026,35,福岡県,5142,42.15
2026,35,佐賀県,1102,45.92
2026,35,長崎県,2546,50.92
2026,35,熊本県,3110,44.43
2026,35,大分県,2912,50.21
2026,35,宮崎県,1060,37.86
2026,35,鹿児島県,2360,41.4
2026,35,沖縄県,1957,44.48
