年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,21,総数,174467,46.81
2026,21,北海道,8076,48.65
2026,21,青森県,2385,45.87
2026,21,岩手県,2977,70.88
2026,21,宮城県,3529,64.16
2026,21,秋田県,1038,41.52
2026,21,山形県,1952,51.37
2026,21,福島県,2566,53.46
2026,21,茨城県,3506,52.33
2026,21,栃木県,2888,61.45
2026,21,群馬県,3042,67.6
2026,21,埼玉県,11081,63.32
2026,21,千葉県,9401,52.81
2026,21,東京都,18677,44.79
2026,21,神奈川県,13635,56.34
2026,21,新潟県,2636,50.69
2026,21,富山県,3062,63.79
2026,21,石川県,2599,55.3
2026,21,福井県,1116,28.62
2026,21,山梨県,1020,29.14
2026,21,長野県,2944,58.88
2026,21,岐阜県,1604,35.64
2026,21,静岡県,4007,37.1
2026,21,愛知県,9087,55.75
2026,21,三重県,2100,30.43
2026,21,滋賀県,1552,39.79
2026,21,京都府,2572,42.16
2026,21,大阪府,9025,31.56
2026,21,兵庫県,6757,41.71
2026,21,奈良県,1505,35.83
2026,21,和歌山県,1534,34.86
2026,21,鳥取県,1383,47.69
2026,21,島根県,880,44
2026,21,岡山県,2061,41.22
2026,21,広島県,3737,40.18
2026,21,山口県,2796,45.84
2026,21,徳島県,902,27.33
2026,21,香川県,780,33.91
2026,21,愛媛県,1957,51.5
2026,21,高知県,1068,28.11
2026,21,福岡県,5605,45.94
2026,21,佐賀県,1022,42.58
2026,21,長崎県,2412,47.29
2026,21,熊本県,3323,46.8
2026,21,大分県,2573,44.36
2026,21,宮崎県,1093,39.04
2026,21,鹿児島県,2775,48.68
2026,21,沖縄県,2227,50.61
