年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,19,総数,135274,36.32
2026,19,北海道,4874,29.36
2026,19,青森県,1529,29.98
2026,19,岩手県,2324,55.33
2026,19,宮城県,2634,47.89
2026,19,秋田県,799,31.96
2026,19,山形県,1339,36.19
2026,19,福島県,2036,42.42
2026,19,茨城県,2813,41.99
2026,19,栃木県,2343,49.85
2026,19,群馬県,2418,53.73
2026,19,埼玉県,10045,57.73
2026,19,千葉県,7033,38.86
2026,19,東京都,14400,34.45
2026,19,神奈川県,10272,42.62
2026,19,新潟県,1919,36.9
2026,19,富山県,1946,40.54
2026,19,石川県,1779,37.85
2026,19,福井県,910,23.33
2026,19,山梨県,808,23.09
2026,19,長野県,2288,45.76
2026,19,岐阜県,1313,29.18
2026,19,静岡県,3141,29.08
2026,19,愛知県,7639,46.87
2026,19,三重県,1559,22.59
2026,19,滋賀県,1436,36.82
2026,19,京都府,2008,32.39
2026,19,大阪府,6607,23.1
2026,19,兵庫県,4878,30.3
2026,19,奈良県,1074,26.2
2026,19,和歌山県,1297,30.88
2026,19,鳥取県,1048,36.14
2026,19,島根県,767,38.35
2026,19,岡山県,1828,36.56
2026,19,広島県,2920,31.4
2026,19,山口県,2180,35.74
2026,19,徳島県,894,27.09
2026,19,香川県,585,25.43
2026,19,愛媛県,1642,43.21
2026,19,高知県,973,25.61
2026,19,福岡県,4706,38.57
2026,19,佐賀県,872,36.33
2026,19,長崎県,1869,36.65
2026,19,熊本県,2679,37.73
2026,19,大分県,2348,40.48
2026,19,宮崎県,768,27.43
2026,19,鹿児島県,2077,36.44
2026,19,沖縄県,1657,37.66
