年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,14,総数,161916,43.4
2026,14,北海道,7820,47.11
2026,14,青森県,2580,49.62
2026,14,岩手県,3086,73.48
2026,14,宮城県,3153,57.33
2026,14,秋田県,893,35.72
2026,14,山形県,2057,54.13
2026,14,福島県,2163,44.14
2026,14,茨城県,3318,49.52
2026,14,栃木県,3044,64.77
2026,14,群馬県,2994,66.53
2026,14,埼玉県,9581,55.38
2026,14,千葉県,8387,46.34
2026,14,東京都,16676,39.99
2026,14,神奈川県,11403,47.91
2026,14,新潟県,2547,48.98
2026,14,富山県,3183,66.31
2026,14,石川県,2291,48.74
2026,14,福井県,1330,34.1
2026,14,山梨県,881,25.17
2026,14,長野県,2710,54.2
2026,14,岐阜県,1514,33.64
2026,14,静岡県,3829,34.19
2026,14,愛知県,8610,52.82
2026,14,三重県,1965,28.48
2026,14,滋賀県,2288,40.14
2026,14,京都府,2419,39.66
2026,14,大阪府,8084,28.17
2026,14,兵庫県,6070,37.47
2026,14,奈良県,1342,31.95
2026,14,和歌山県,1296,28.8
2026,14,鳥取県,1270,43.79
2026,14,島根県,1002,50.1
2026,14,岡山県,2188,43.76
2026,14,広島県,3384,36.78
2026,14,山口県,2889,45.86
2026,14,徳島県,960,29.09
2026,14,香川県,701,30.48
2026,14,愛媛県,2095,56.62
2026,14,高知県,1078,28.37
2026,14,福岡県,5192,42.91
2026,14,佐賀県,965,40.21
2026,14,長崎県,2605,51.08
2026,14,熊本県,3135,43.54
2026,14,大分県,2634,45.41
2026,14,宮崎県,937,33.46
2026,14,鹿児島県,2347,41.18
2026,14,沖縄県,1020,39.23
