年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,23,総数,169196,45.32
2026,23,北海道,7335,44.19
2026,23,青森県,2351,45.21
2026,23,岩手県,2692,64.1
2026,23,宮城県,3418,62.15
2026,23,秋田県,808,32.32
2026,23,山形県,1823,47.97
2026,23,福島県,2479,51.65
2026,23,茨城県,3350,49.26
2026,23,栃木県,2797,59.51
2026,23,群馬県,2921,64.91
2026,23,埼玉県,11315,65.03
2026,23,千葉県,9190,51.06
2026,23,東京都,18943,45.21
2026,23,神奈川県,13604,55.98
2026,23,新潟県,2208,42.46
2026,23,富山県,2932,61.08
2026,23,石川県,2426,51.62
2026,23,福井県,1100,28.21
2026,23,山梨県,990,28.29
2026,23,長野県,2619,52.38
2026,23,岐阜県,1374,30.53
2026,23,静岡県,3857,35.71
2026,23,愛知県,8562,52.53
2026,23,三重県,2126,30.81
2026,23,滋賀県,1458,37.38
2026,23,京都府,2606,41.37
2026,23,大阪府,8763,30.75
2026,23,兵庫県,6386,39.42
2026,23,奈良県,1397,33.26
2026,23,和歌山県,1406,31.24
2026,23,鳥取県,1226,42.28
2026,23,島根県,828,41.4
2026,23,岡山県,2080,41.6
2026,23,広島県,3797,40.83
2026,23,山口県,2912,47.74
2026,23,徳島県,846,25.64
2026,23,香川県,626,27.22
2026,23,愛媛県,2015,53.03
2026,23,高知県,1051,28.41
2026,23,福岡県,5706,46.77
2026,23,佐賀県,980,40.83
2026,23,長崎県,2574,50.47
2026,23,熊本県,3543,49.9
2026,23,大分県,2361,40.71
2026,23,宮崎県,878,31.36
2026,23,鹿児島県,2572,45.12
2026,23,沖縄県,1965,44.66
