年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,05,総数,328879,86.68
2026,05,北海道,10169,60.53
2026,05,青森県,3512,67.54
2026,05,岩手県,4488,106.86
2026,05,宮城県,6759,122.89
2026,05,秋田県,1398,55.92
2026,05,山形県,3275,86.18
2026,05,福島県,5176,107.83
2026,05,茨城県,7115,106.19
2026,05,栃木県,5954,126.68
2026,05,群馬県,4750,105.56
2026,05,埼玉県,21711,124.06
2026,05,千葉県,19586,107.62
2026,05,東京都,33334,79.75
2026,05,神奈川県,25058,103.98
2026,05,新潟県,3903,75.06
2026,05,富山県,3985,84.79
2026,05,石川県,3005,63.94
2026,05,福井県,1842,47.23
2026,05,山梨県,2663,76.09
2026,05,長野県,4688,93.76
2026,05,岐阜県,3151,70.02
2026,05,静岡県,11702,84.19
2026,05,愛知県,18361,112.64
2026,05,三重県,6322,91.62
2026,05,滋賀県,4287,73.91
2026,05,京都府,5126,81.37
2026,05,大阪府,16285,56.16
2026,05,兵庫県,14368,87.61
2026,05,奈良県,2978,70.9
2026,05,和歌山県,3409,75.76
2026,05,鳥取県,1814,62.55
2026,05,島根県,1802,90.1
2026,05,岡山県,3867,77.34
2026,05,広島県,6704,72.09
2026,05,山口県,6021,95.57
2026,05,徳島県,1934,58.61
2026,05,香川県,1191,51.78
2026,05,愛媛県,3780,102.16
2026,05,高知県,2217,58.34
2026,05,福岡県,9997,81.94
2026,05,佐賀県,1840,76.67
2026,05,長崎県,4737,92.88
2026,05,熊本県,6709,93.18
2026,05,大分県,6867,118.4
2026,05,宮崎県,2190,78.21
2026,05,鹿児島県,5739,100.68
2026,05,沖縄県,3110,69.11
