年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,22,総数,175999,47.18
2026,22,北海道,8295,49.97
2026,22,青森県,2454,47.19
2026,22,岩手県,2950,70.24
2026,22,宮城県,3768,68.51
2026,22,秋田県,1012,40.48
2026,22,山形県,1903,50.08
2026,22,福島県,2938,61.21
2026,22,茨城県,3844,57.37
2026,22,栃木県,2922,62.17
2026,22,群馬県,3208,71.29
2026,22,埼玉県,11702,66.87
2026,22,千葉県,10013,55.63
2026,22,東京都,19993,47.83
2026,22,神奈川県,14205,58.7
2026,22,新潟県,2617,50.33
2026,22,富山県,2876,61.19
2026,22,石川県,2376,50.55
2026,22,福井県,1049,26.9
2026,22,山梨県,965,27.57
2026,22,長野県,2743,54.86
2026,22,岐阜県,1460,32.44
2026,22,静岡県,4214,39.02
2026,22,愛知県,8782,53.88
2026,22,三重県,2146,31.1
2026,22,滋賀県,1580,40.51
2026,22,京都府,2566,42.07
2026,22,大阪府,8563,29.94
2026,22,兵庫県,6566,40.53
2026,22,奈良県,1344,32
2026,22,和歌山県,1363,30.29
2026,22,鳥取県,1346,46.41
2026,22,島根県,788,39.4
2026,22,岡山県,2062,41.24
2026,22,広島県,3547,38.14
2026,22,山口県,2739,44.9
2026,22,徳島県,884,26.79
2026,22,香川県,715,31.09
2026,22,愛媛県,2046,53.84
2026,22,高知県,1055,27.76
2026,22,福岡県,5364,43.97
2026,22,佐賀県,982,40.92
2026,22,長崎県,2363,46.33
2026,22,熊本県,3481,49.03
2026,22,大分県,2381,41.05
2026,22,宮崎県,926,33.07
2026,22,鹿児島県,2570,45.09
2026,22,沖縄県,2333,53.02
