年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,25,総数,181538,48.68
2026,25,北海道,6566,39.79
2026,25,青森県,2428,46.69
2026,25,岩手県,2641,62.88
2026,25,宮城県,3179,57.8
2026,25,秋田県,793,31.72
2026,25,山形県,1835,49.59
2026,25,福島県,2823,58.81
2026,25,茨城県,3788,55.71
2026,25,栃木県,2701,57.47
2026,25,群馬県,3121,69.36
2026,25,埼玉県,11720,67.36
2026,25,千葉県,9845,55.31
2026,25,東京都,20120,48.13
2026,25,神奈川県,14126,57.89
2026,25,新潟県,2219,42.67
2026,25,富山県,2696,56.17
2026,25,石川県,2210,47.02
2026,25,福井県,1078,27.64
2026,25,山梨県,1062,30.34
2026,25,長野県,2729,54.58
2026,25,岐阜県,1553,34.51
2026,25,静岡県,4387,40.62
2026,25,愛知県,9304,57.08
2026,25,三重県,2360,34.2
2026,25,滋賀県,1674,42.92
2026,25,京都府,3075,48.81
2026,25,大阪府,10014,35.14
2026,25,兵庫県,7201,44.45
2026,25,奈良県,1557,37.07
2026,25,和歌山県,1613,35.84
2026,25,鳥取県,1288,44.41
2026,25,島根県,904,45.2
2026,25,岡山県,2399,47.98
2026,25,広島県,4001,43.02
2026,25,山口県,3514,57.61
2026,25,徳島県,1009,30.58
2026,25,香川県,854,37.13
2026,25,愛媛県,2246,59.11
2026,25,高知県,1185,32.03
2026,25,福岡県,6393,52.4
2026,25,佐賀県,1115,46.46
2026,25,長崎県,2875,56.37
2026,25,熊本県,4136,58.25
2026,25,大分県,2852,49.17
2026,25,宮崎県,1175,41.96
2026,25,鹿児島県,2996,52.56
2026,25,沖縄県,2178,49.5
