年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,16,総数,186273,49.95
2026,16,北海道,7437,45.07
2026,16,青森県,2484,47.77
2026,16,岩手県,3378,80.43
2026,16,宮城県,3403,61.87
2026,16,秋田県,932,37.28
2026,16,山形県,2274,59.84
2026,16,福島県,2772,57.75
2026,16,茨城県,3671,54.79
2026,16,栃木県,3233,68.79
2026,16,群馬県,3148,69.96
2026,16,埼玉県,10935,62.13
2026,16,千葉県,9441,52.45
2026,16,東京都,21581,51.75
2026,16,神奈川県,14015,59.14
2026,16,新潟県,2788,53.62
2026,16,富山県,3150,65.63
2026,16,石川県,2359,50.19
2026,16,福井県,1350,34.62
2026,16,山梨県,1163,33.23
2026,16,長野県,3230,64.6
2026,16,岐阜県,1770,39.33
2026,16,静岡県,4520,40.36
2026,16,愛知県,10427,63.97
2026,16,三重県,2433,35.26
2026,16,滋賀県,1798,46.1
2026,16,京都府,2750,45.08
2026,16,大阪府,10241,35.68
2026,16,兵庫県,7339,45.3
2026,16,奈良県,1764,42
2026,16,和歌山県,1510,33.56
2026,16,鳥取県,1391,47.97
2026,16,島根県,1086,54.3
2026,16,岡山県,2574,51.48
2026,16,広島県,4266,45.87
2026,16,山口県,3096,50.75
2026,16,徳島県,1028,31.15
2026,16,香川県,850,36.96
2026,16,愛媛県,2238,60.49
2026,16,高知県,1111,29.24
2026,16,福岡県,6054,49.62
2026,16,佐賀県,1226,51.08
2026,16,長崎県,2616,51.29
2026,16,熊本県,3396,47.83
2026,16,大分県,2644,45.59
2026,16,宮崎県,1016,36.29
2026,16,鹿児島県,2491,43.7
2026,16,沖縄県,1894,43.05
