年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,36,総数,179995,48.41
2026,36,北海道,6156,37.54
2026,36,青森県,2093,41.04
2026,36,岩手県,2952,70.29
2026,36,宮城県,3625,65.91
2026,36,秋田県,814,32.56
2026,36,山形県,2215,58.29
2026,36,福島県,2885,60.1
2026,36,茨城県,3771,55.46
2026,36,栃木県,3085,65.64
2026,36,群馬県,3295,73.22
2026,36,埼玉県,12941,73.95
2026,36,千葉県,9373,52.36
2026,36,東京都,20691,49.74
2026,36,神奈川県,15531,64.44
2026,36,新潟県,2659,51.13
2026,36,富山県,2561,53.35
2026,36,石川県,2204,46.89
2026,36,福井県,1095,28.08
2026,36,山梨県,1127,32.2
2026,36,長野県,2972,59.44
2026,36,岐阜県,1650,36.67
2026,36,静岡県,4651,43.06
2026,36,愛知県,8819,54.1
2026,36,三重県,2310,33.97
2026,36,滋賀県,1522,39.03
2026,36,京都府,2708,44.39
2026,36,大阪府,8497,29.92
2026,36,兵庫県,6282,38.78
2026,36,奈良県,1282,30.52
2026,36,和歌山県,1629,36.2
2026,36,鳥取県,1363,47
2026,36,島根県,1035,51.75
2026,36,岡山県,2091,41.82
2026,36,広島県,3488,37.91
2026,36,山口県,3375,55.33
2026,36,徳島県,996,30.18
2026,36,香川県,877,38.13
2026,36,愛媛県,1951,51.34
2026,36,高知県,1386,37.46
2026,36,福岡県,5861,48.04
2026,36,佐賀県,1121,46.71
2026,36,長崎県,2844,56.88
2026,36,熊本県,3380,48.29
2026,36,大分県,2811,48.47
2026,36,宮崎県,1029,36.75
2026,36,鹿児島県,2823,49.53
2026,36,沖縄県,2169,49.3
