年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,04,総数,247260,65.15
2026,04,北海道,7696,45.81
2026,04,青森県,2830,54.42
2026,04,岩手県,3469,82.6
2026,04,宮城県,4900,89.09
2026,04,秋田県,1193,47.72
2026,04,山形県,2654,69.84
2026,04,福島県,3692,76.92
2026,04,茨城県,5076,75.76
2026,04,栃木県,4414,93.91
2026,04,群馬県,3756,83.47
2026,04,埼玉県,15584,88.55
2026,04,千葉県,14031,77.09
2026,04,東京都,24862,59.48
2026,04,神奈川県,17629,73.15
2026,04,新潟県,3071,59.06
2026,04,富山県,3111,66.19
2026,04,石川県,2750,58.51
2026,04,福井県,1556,39.9
2026,04,山梨県,1969,56.26
2026,04,長野県,3609,72.18
2026,04,岐阜県,2356,52.36
2026,04,静岡県,8136,58.53
2026,04,愛知県,13237,81.21
2026,04,三重県,4421,64.07
2026,04,滋賀県,3298,56.86
2026,04,京都府,4037,64.08
2026,04,大阪府,12702,43.8
2026,04,兵庫県,10776,65.71
2026,04,奈良県,2022,48.14
2026,04,和歌山県,2701,60.02
2026,04,鳥取県,1577,54.38
2026,04,島根県,1398,69.9
2026,04,岡山県,3362,67.24
2026,04,広島県,5681,61.09
2026,04,山口県,4517,71.7
2026,04,徳島県,1534,46.48
2026,04,香川県,1016,44.17
2026,04,愛媛県,2975,80.41
2026,04,高知県,1814,47.74
2026,04,福岡県,7556,61.93
2026,04,佐賀県,1381,57.54
2026,04,長崎県,3883,76.14
2026,04,熊本県,4416,61.33
2026,04,大分県,4953,85.4
2026,04,宮崎県,1840,65.71
2026,04,鹿児島県,5004,87.79
2026,04,沖縄県,2815,62.56
