年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,13,総数,192531,50.87
2026,13,北海道,9353,56.01
2026,13,青森県,2953,56.79
2026,13,岩手県,3140,80.51
2026,13,宮城県,3344,60.8
2026,13,秋田県,968,38.72
2026,13,山形県,2305,60.66
2026,13,福島県,2677,55.77
2026,13,茨城県,4160,62.09
2026,13,栃木県,3429,72.96
2026,13,群馬県,3353,74.51
2026,13,埼玉県,11498,65.33
2026,13,千葉県,9789,53.79
2026,13,東京都,19606,47.13
2026,13,神奈川県,13709,57.12
2026,13,新潟県,3026,58.19
2026,13,富山県,3750,79.79
2026,13,石川県,2951,62.79
2026,13,福井県,1619,41.51
2026,13,山梨県,1115,31.86
2026,13,長野県,3263,65.26
2026,13,岐阜県,1701,37.8
2026,13,静岡県,4947,35.59
2026,13,愛知県,10197,62.56
2026,13,三重県,2440,35.36
2026,13,滋賀県,2782,47.97
2026,13,京都府,2983,48.11
2026,13,大阪府,9541,33.01
2026,13,兵庫県,7328,44.96
2026,13,奈良県,1412,33.62
2026,13,和歌山県,1626,36.13
2026,13,鳥取県,1639,56.52
2026,13,島根県,1208,60.4
2026,13,岡山県,2252,45.04
2026,13,広島県,4114,44.24
2026,13,山口県,3374,53.56
2026,13,徳島県,1144,34.67
2026,13,香川県,922,40.09
2026,13,愛媛県,2373,64.14
2026,13,高知県,1110,29.21
2026,13,福岡県,6208,50.89
2026,13,佐賀県,1053,43.88
2026,13,長崎県,3068,60.16
2026,13,熊本県,3840,53.33
2026,13,大分県,2930,50.52
2026,13,宮崎県,1106,39.5
2026,13,鹿児島県,2697,47.32
2026,13,沖縄県,2528,56.18
